dh_sys,id_ds_vrs,cd_evn,dh_evn,data_type,save_date,technical_instrument_id,deal_date,issue_date,fst_coupon_start_date_1,fst_coupon_start_date_2,fst_coupon_mat_date_1,fst_coupon_mat_date_2,amortiz_start_date_1,amortiz_start_date_2,maturity_date_2,last_coupon_maturity_1,last_coupon_maturity_2,next_coupon_maturity_1,next_coupon_maturity_2,next_amortiz_date_1,next_amortiz_date_2,fixing_type_1,fixing_type_2,redemption_type_1,redemption_type_2,redemption_type_1_str,redemption_type_2_str,coupon_frequency_1,coupon_frequency_2,coupon_frequency_lirf,amort_frequency_1,amort_frequency_2,coupon_rate_1,coupon_rate_2,ctd_price_factor,coupon_fixed_1,coupon_fixed_2,coupon_fixed_1_str,coupon_fixed_2_str,spread_1,spread_2,rate_type_1,rate_type_2,rate_type_1_str,rate_type_2_str,capitalisation_type_1,capitalisation_type_2,capitalization_type_1_str,capitalization_type_2_str,daycount_1,daycount_2,daycount_1_str,daycount_2_str,issue_price,redemption_price,outstanding_amount_1,outstanding_amount_2,flag_quotation_1,flag_quotation_2,ctmp,tmp,option_ratio,bcy_ccy_factor,contract_life,future_coupon_rate,index_1,index_2,ex_amt,counterpart,counterpart_str,tax_rate,last_dividend,pcy_amount_2,ccy_2,ccy_str_2,instrument_price_factor,long_position,issuer_2,issuer_2_str,issuer_category_2,issuer_category_2_str,userdef_extcode,settl_interest_1,settl_interest_2,technical_dw_id,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2006-05-04 03:51:45.000000,0,0,1994-01-14 01:34:43.000000,S,2010-01-12 02:18:45.000000,0,2011-07-02 04:49:17.000000,1993-07-31 21:50:11.000000,1974-02-22 22:50:54.000000,2004-10-20 06:48:47.000000,1980-04-25 06:00:53.000000,1977-05-14 12:41:35.000000,2013-04-05 16:53:10.000000,2018-05-10 20:18:55.000000,2005-05-07 05:46:14.000000,1976-07-16 13:14:20.000000,1986-05-12 15:46:47.000000,1984-03-27 05:49:27.000000,1988-11-12 02:29:23.000000,2008-07-04 06:35:52.000000,2007-05-02 14:37:06.000000,0,0,0,0,S,I,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0,0,B,K,0.00000000000,0.00000000000,0,0,K,N,0,0,N,E,0,0,U,M,0.00000000000,0.00000000000,0.00000000000,0.00000000000,B,Y,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,L,T,N,K,V,0.00000000000,0.00000000000,0.00000000000,0,R,0.00000000000,G,G,U,0,V,T,0.00000000000,0.00000000000,0,1981-01-28 16:00:30.000000,M,G,T,1979-01-15 17:47:19.000000,Z,L,M
1973-03-28 22:57:07.000000,1,1,1996-01-10 22:46:09.000000,G,2006-04-22 10:29:07.000000,1,1989-03-29 13:45:58.000000,1984-01-01 09:01:45.000000,2008-10-22 09:37:52.000000,2009-05-30 06:55:57.000000,1978-11-09 20:00:37.000000,2000-10-01 20:24:35.000000,2022-05-22 09:06:11.000000,2005-10-29 12:01:35.000000,2001-12-04 15:26:07.000000,2017-11-11 15:15:57.000000,2001-07-28 22:39:17.000000,2008-10-04 14:10:30.000000,1999-01-24 03:09:26.000000,2002-01-31 06:49:42.000000,1998-01-03 07:30:58.000000,1,1,1,1,S,S,1,1,1,1,1,1.00000000000,1.00000000000,1.00000000000,1,1,R,B,1.00000000000,1.00000000000,1,1,T,M,1,1,A,T,1,1,K,S,1.00000000000,1.00000000000,1.00000000000,1.00000000000,Z,C,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,O,M,H,S,B,1.00000000000,1.00000000000,1.00000000000,1,B,1.00000000000,M,S,F,1,A,L,1.00000000000,1.00000000000,1,1984-11-12 16:13:26.000000,J,E,A,2008-06-10 07:09:08.000000,H,T,T
2010-09-21 07:58:12.000000,2,2,2014-12-16 21:20:01.000000,D,1971-07-13 17:37:28.000000,2,1977-01-08 17:47:48.000000,1999-12-06 10:54:04.000000,2017-07-19 17:36:14.000000,2006-10-19 21:36:50.000000,2001-12-23 18:47:46.000000,1977-01-02 07:15:08.000000,2017-05-18 08:27:14.000000,1990-09-13 14:40:39.000000,1998-06-05 11:35:32.000000,1984-07-17 14:26:24.000000,1972-06-23 03:12:55.000000,1977-05-23 04:36:05.000000,2002-10-11 21:00:15.000000,2013-06-23 13:30:24.000000,2006-09-25 18:37:47.000000,2,2,2,2,M,V,2,2,2,2,2,2.00000000000,2.00000000000,2.00000000000,2,2,G,K,2.00000000000,2.00000000000,2,2,U,L,2,2,V,S,2,2,L,S,2.00000000000,2.00000000000,2.00000000000,2.00000000000,T,G,2.00000000000,2.00000000000,2.00000000000,2.00000000000,2.00000000000,2.00000000000,I,T,C,B,A,2.00000000000,2.00000000000,2.00000000000,2,C,2.00000000000,E,A,S,2,T,N,2.00000000000,2.00000000000,2,2019-11-20 13:27:42.000000,S,M,Z,1994-03-28 13:21:43.000000,F,B,D
2012-08-29 22:55:32.000000,3,3,2016-06-13 06:52:59.000000,T,2013-11-25 14:31:00.000000,3,2012-07-08 01:41:09.000000,1994-08-25 10:47:53.000000,1991-01-27 06:50:57.000000,1975-12-07 02:35:48.000000,2009-02-14 15:29:53.000000,2009-03-16 03:12:29.000000,1989-10-05 12:38:22.000000,2019-11-22 08:54:16.000000,1984-04-12 07:21:36.000000,2015-01-29 21:03:04.000000,2014-05-27 10:48:33.000000,1997-02-17 23:49:30.000000,1973-06-01 10:16:28.000000,1984-12-14 23:27:16.000000,2022-10-09 15:37:15.000000,3,3,3,3,M,M,3,3,3,3,3,3.00000000000,3.00000000000,3.00000000000,3,3,K,S,3.00000000000,3.00000000000,3,3,B,S,3,3,F,E,3,3,D,P,3.00000000000,3.00000000000,3.00000000000,3.00000000000,U,N,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,C,V,K,L,T,3.00000000000,3.00000000000,3.00000000000,3,C,3.00000000000,L,G,K,3,B,T,3.00000000000,3.00000000000,3,1989-04-25 21:19:57.000000,K,P,G,1982-09-06 14:20:39.000000,C,S,C
1975-12-05 09:13:09.000000,4,4,2021-11-18 01:44:12.000000,J,2018-02-21 07:20:55.000000,4,2006-10-30 09:17:44.000000,1987-07-19 07:20:02.000000,1982-10-22 17:08:47.000000,1998-06-13 16:44:18.000000,1970-09-28 16:16:30.000000,2006-06-05 13:35:42.000000,2000-05-23 14:30:35.000000,1995-07-15 13:01:02.000000,1982-10-09 09:04:05.000000,1997-10-15 06:20:32.000000,2006-11-29 03:13:53.000000,1974-08-25 18:02:32.000000,2009-09-28 19:15:15.000000,2004-10-21 02:49:01.000000,1988-09-15 15:19:34.000000,4,4,4,4,O,M,4,4,4,4,4,4.00000000000,4.00000000000,4.00000000000,4,4,V,C,4.00000000000,4.00000000000,4,4,C,F,4,4,K,T,4,4,R,L,4.00000000000,4.00000000000,4.00000000000,4.00000000000,I,B,4.00000000000,4.00000000000,4.00000000000,4.00000000000,4.00000000000,4.00000000000,H,B,A,V,M,4.00000000000,4.00000000000,4.00000000000,4,T,4.00000000000,R,I,U,4,K,A,4.00000000000,4.00000000000,4,1977-02-16 00:35:02.000000,V,C,L,1999-06-24 03:37:44.000000,L,N,U
1974-07-17 09:31:49.000000,5,5,2007-12-20 05:28:18.000000,G,2013-08-22 15:02:03.000000,5,1979-11-08 06:57:08.000000,1978-05-08 23:19:20.000000,1981-10-30 04:03:34.000000,1971-10-31 06:23:32.000000,2023-03-07 05:40:02.000000,2004-10-30 16:50:13.000000,1985-04-23 13:20:14.000000,1977-09-14 21:08:45.000000,1992-07-11 23:57:44.000000,1986-11-08 11:25:32.000000,1989-07-30 05:34:45.000000,1974-08-25 23:13:36.000000,1973-09-07 00:16:12.000000,2003-03-11 09:51:59.000000,2003-12-26 21:38:57.000000,5,5,5,5,L,J,5,5,5,5,5,5.00000000000,5.00000000000,5.00000000000,5,5,M,V,5.00000000000,5.00000000000,5,5,C,J,5,5,N,S,5,5,B,L,5.00000000000,5.00000000000,5.00000000000,5.00000000000,P,B,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,K,F,T,U,N,5.00000000000,5.00000000000,5.00000000000,5,A,5.00000000000,K,S,P,5,T,P,5.00000000000,5.00000000000,5,2022-05-08 05:11:42.000000,C,S,B,1970-09-11 23:34:49.000000,I,E,C
1981-12-08 22:39:22.000000,6,6,1984-09-07 20:43:58.000000,I,1972-04-30 07:45:39.000000,6,2004-08-17 10:06:48.000000,1973-09-28 19:51:12.000000,2012-04-24 05:33:44.000000,1990-05-12 18:31:49.000000,2017-10-05 21:28:33.000000,2017-02-19 08:43:59.000000,1993-08-22 16:47:10.000000,1994-06-25 19:43:46.000000,1973-04-01 01:31:28.000000,1989-06-20 02:47:08.000000,1999-12-05 05:34:15.000000,1996-09-28 16:00:00.000000,2011-12-29 09:24:49.000000,1994-09-16 21:58:07.000000,1983-01-29 18:16:47.000000,6,6,6,6,T,M,6,6,6,6,6,6.00000000000,6.00000000000,6.00000000000,6,6,B,M,6.00000000000,6.00000000000,6,6,C,T,6,6,P,S,6,6,J,E,6.00000000000,6.00000000000,6.00000000000,6.00000000000,C,K,6.00000000000,6.00000000000,6.00000000000,6.00000000000,6.00000000000,6.00000000000,M,N,S,A,V,6.00000000000,6.00000000000,6.00000000000,6,T,6.00000000000,F,I,C,6,T,M,6.00000000000,6.00000000000,6,2000-03-04 05:43:13.000000,F,K,S,2011-04-05 23:06:01.000000,C,Z,G
2020-09-07 15:43:31.000000,7,7,1998-06-22 19:56:29.000000,M,2016-10-06 20:03:07.000000,7,1995-09-11 10:47:37.000000,1999-06-25 16:26:38.000000,1970-10-16 05:41:35.000000,2019-12-08 19:39:31.000000,1999-11-15 22:41:17.000000,2011-09-08 23:39:29.000000,1998-10-28 20:01:36.000000,2005-06-06 11:39:05.000000,2009-09-30 22:36:12.000000,1979-09-02 19:49:47.000000,2018-12-02 00:52:07.000000,2006-11-05 11:48:34.000000,1976-12-13 12:44:05.000000,2001-10-14 01:17:59.000000,2004-08-02 04:29:40.000000,7,7,7,7,A,B,7,7,7,7,7,7.00000000000,7.00000000000,7.00000000000,7,7,S,S,7.00000000000,7.00000000000,7,7,L,N,7,7,L,U,7,7,M,N,7.00000000000,7.00000000000,7.00000000000,7.00000000000,N,L,7.00000000000,7.00000000000,7.00000000000,7.00000000000,7.00000000000,7.00000000000,E,B,U,L,S,7.00000000000,7.00000000000,7.00000000000,7,P,7.00000000000,R,M,H,7,U,F,7.00000000000,7.00000000000,7,2005-11-10 22:46:44.000000,S,N,Z,1970-06-25 09:19:33.000000,L,P,D
2010-12-01 14:24:34.000000,8,8,2007-10-31 07:37:27.000000,B,1998-05-27 17:49:58.000000,8,2008-11-18 22:25:02.000000,1977-12-08 14:01:29.000000,2000-01-30 16:41:58.000000,2016-08-08 01:19:44.000000,2001-08-24 07:52:26.000000,1997-11-23 07:37:32.000000,2011-05-19 00:19:19.000000,2019-02-22 18:58:43.000000,1992-11-23 22:03:41.000000,1980-09-16 09:35:30.000000,2001-07-04 00:56:09.000000,2012-04-17 16:22:12.000000,1995-07-19 23:50:30.000000,1986-10-01 13:59:32.000000,2003-10-29 16:19:32.000000,8,8,8,8,K,S,8,8,8,8,8,8.00000000000,8.00000000000,8.00000000000,8,8,P,M,8.00000000000,8.00000000000,8,8,P,N,8,8,Z,P,8,8,Q,E,8.00000000000,8.00000000000,8.00000000000,8.00000000000,K,R,8.00000000000,8.00000000000,8.00000000000,8.00000000000,8.00000000000,8.00000000000,S,M,S,E,S,8.00000000000,8.00000000000,8.00000000000,8,N,8.00000000000,R,Z,R,8,S,S,8.00000000000,8.00000000000,8,2003-06-23 00:10:55.000000,R,N,G,1983-11-01 05:55:07.000000,K,B,F
2014-08-20 01:16:31.000000,9,9,1987-06-02 07:46:55.000000,H,2003-04-15 14:50:45.000000,9,1986-01-25 01:24:55.000000,1976-10-09 06:54:16.000000,1971-01-21 21:39:15.000000,1971-06-23 03:04:24.000000,2001-12-12 03:24:13.000000,1988-11-09 03:56:21.000000,1986-03-16 02:45:54.000000,2002-11-20 22:25:17.000000,2002-07-06 22:04:33.000000,1975-02-25 13:49:25.000000,2017-01-03 08:39:37.000000,2005-12-21 13:55:30.000000,2009-12-10 07:12:22.000000,1977-03-04 18:18:03.000000,1973-05-22 14:59:12.000000,9,9,9,9,K,K,9,9,9,9,9,9.00000000000,9.00000000000,9.00000000000,9,9,S,M,9.00000000000,9.00000000000,9,9,J,D,9,9,E,N,9,9,O,I,9.00000000000,9.00000000000,9.00000000000,9.00000000000,A,M,9.00000000000,9.00000000000,9.00000000000,9.00000000000,9.00000000000,9.00000000000,P,M,T,L,H,9.00000000000,9.00000000000,9.00000000000,9,D,9.00000000000,I,S,P,9,B,M,9.00000000000,9.00000000000,9,2012-12-18 13:59:54.000000,A,Q,S,2009-08-27 16:46:44.000000,M,H,N
