dh_sys,id_ds_vrs,cd_evn,dh_evn,no_seq,bu_code,cd_position_mf,lb_position_mf,cd_type_asset_mf,lb_type_asset_mf,yn_resultat_change,yn_volume_change,yn_volume_interco,cd_cat_pos_change_mf_lvl1,lb_cat_pos_change_mf_lvl1,cd_cat_pos_change_mf_lvl2,lb_cat_pos_change_mf_lvl2,cd_cat_pos_change_mf_lvl3,lb_cat_pos_change_mf_lvl3,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1980-02-15 00:39:42.000000,0,0,2010-02-13 16:01:02.000000,0,T,U,D,U,R,A,T,L,B,I,E,C,Z,C,2013-07-24 09:37:34.000000,V,E,S,1981-11-14 08:30:31.000000,F,I,L
2013-05-12 00:19:46.000000,1,1,1984-11-06 11:44:30.000000,1,B,D,B,I,N,M,H,Y,A,S,S,E,G,L,1989-10-19 20:53:03.000000,B,S,K,2016-12-06 01:48:38.000000,B,I,P
2014-03-09 08:53:08.000000,2,2,2021-05-06 09:58:40.000000,2,S,H,M,I,E,L,F,M,P,S,C,D,D,R,1985-11-05 10:04:05.000000,G,G,L,1990-06-20 05:00:17.000000,A,I,I
1970-02-02 18:52:41.000000,3,3,2003-11-13 06:43:17.000000,3,S,D,G,C,M,T,U,B,F,E,K,B,N,L,2002-02-28 21:57:03.000000,D,S,R,1999-02-09 15:36:14.000000,C,U,K
1991-10-28 14:30:49.000000,4,4,2008-12-13 02:24:49.000000,4,A,A,G,C,K,K,G,P,J,M,G,S,C,P,2001-01-30 07:26:49.000000,A,T,G,1992-12-08 00:23:32.000000,B,N,C
2018-06-26 20:58:19.000000,5,5,2019-05-21 01:56:59.000000,5,N,D,L,F,K,I,B,B,N,M,T,H,C,K,2014-08-20 12:29:08.000000,U,B,C,1999-08-26 11:57:15.000000,D,M,N
2021-02-11 16:39:20.000000,6,6,2017-05-10 19:18:41.000000,6,G,K,G,A,E,C,L,S,M,S,P,D,B,L,1992-08-25 06:14:53.000000,A,S,E,1989-12-01 16:57:30.000000,T,M,B
2017-12-23 19:09:19.000000,7,7,2016-09-10 18:12:39.000000,7,M,B,C,L,A,R,L,S,J,N,P,J,B,N,2014-12-07 15:28:44.000000,Z,H,I,2020-05-08 18:05:12.000000,K,K,G
1981-06-07 09:05:59.000000,8,8,2018-04-06 14:10:53.000000,8,G,B,B,G,G,D,H,B,D,M,V,N,E,S,2012-08-27 11:00:41.000000,R,T,N,1971-01-21 09:20:00.000000,A,I,L
2012-08-30 14:08:07.000000,9,9,1984-09-26 17:37:23.000000,9,N,V,B,B,K,N,A,M,J,P,M,G,I,A,2003-05-31 23:23:15.000000,T,J,S,2003-11-21 10:13:43.000000,B,F,B
1972-04-27 09:35:17.000000,10,10,2021-12-11 17:14:41.000000,10,M,A,T,S,K,T,K,S,S,D,I,T,V,S,1973-12-01 13:43:17.000000,B,K,A,2011-11-17 14:46:45.000000,C,L,M
1980-03-18 21:13:39.000000,11,11,1977-06-04 15:06:38.000000,11,B,P,S,C,D,P,I,D,M,K,M,D,P,L,2011-12-20 19:22:51.000000,B,W,K,1990-06-24 11:31:24.000000,K,B,P
2008-04-22 20:30:30.000000,12,12,1998-12-28 08:53:18.000000,12,G,R,H,M,B,N,D,F,S,M,I,P,T,M,1976-01-09 03:26:23.000000,D,M,I,2021-10-11 16:17:39.000000,E,L,L
2003-02-13 13:20:52.000000,13,13,1971-06-25 11:05:16.000000,13,N,P,M,M,C,C,T,T,K,T,W,T,I,P,1977-01-24 17:11:28.000000,F,C,M,1972-12-18 11:25:43.000000,I,O,A
2009-06-01 16:01:54.000000,14,14,1980-06-22 20:21:11.000000,14,C,B,A,C,K,T,I,M,S,F,H,Z,A,J,1988-05-01 06:53:16.000000,S,C,S,2007-05-05 05:24:26.000000,B,C,I
2010-10-18 17:13:25.000000,15,15,2011-12-23 15:57:00.000000,15,P,L,F,N,C,T,P,J,S,S,S,B,B,K,1992-09-17 09:39:19.000000,P,I,B,2019-02-07 15:02:28.000000,P,A,B
1994-11-17 23:10:58.000000,16,16,2003-01-05 16:19:08.000000,16,I,D,G,H,B,K,M,J,V,R,M,T,N,E,1981-06-27 22:28:50.000000,S,D,K,2001-10-24 03:04:25.000000,B,H,N
1973-06-30 20:18:29.000000,17,17,1979-10-08 17:00:04.000000,17,P,F,B,Q,B,M,T,A,Z,I,L,D,T,M,1976-07-30 17:03:53.000000,B,K,M,2017-07-18 15:12:20.000000,A,M,E
2016-11-28 04:46:51.000000,18,18,2008-02-06 01:23:11.000000,18,H,R,N,T,K,B,T,M,K,J,B,M,A,B,2020-07-07 11:19:13.000000,U,E,B,1999-02-09 05:34:38.000000,B,C,C
1975-09-06 17:00:23.000000,19,19,2016-06-03 22:11:08.000000,19,M,K,B,S,A,F,W,B,T,K,D,I,L,A,1984-04-17 08:29:26.000000,J,V,K,2004-06-03 00:57:49.000000,S,B,A
1995-08-02 20:30:17.000000,20,20,2006-10-21 00:51:47.000000,20,D,P,K,H,P,B,M,S,C,T,B,L,G,S,1973-01-31 15:44:59.000000,I,J,B,1985-12-06 19:37:03.000000,N,T,T
2015-12-24 18:53:30.000000,21,21,1996-10-20 23:57:30.000000,21,M,B,S,F,G,M,A,T,D,D,G,L,D,M,1988-08-28 15:25:15.000000,S,V,B,2000-10-27 02:04:01.000000,P,T,A
2003-03-21 01:32:08.000000,22,22,2012-09-24 06:04:16.000000,22,N,J,M,C,C,J,F,C,B,I,M,B,I,L,1986-10-16 06:15:57.000000,D,M,B,1978-09-05 00:39:11.000000,A,S,S
1980-08-21 02:40:38.000000,23,23,1992-05-14 03:46:47.000000,23,S,G,L,F,K,R,V,M,A,G,B,P,B,M,1988-04-21 11:55:16.000000,P,S,N,1988-05-31 07:04:29.000000,C,M,Z
2011-08-11 16:56:30.000000,24,24,1984-09-18 02:25:25.000000,24,T,T,C,B,P,B,S,T,T,R,G,Z,B,V,1997-05-08 08:00:58.000000,B,K,L,1999-04-23 16:51:05.000000,E,K,N
1997-11-05 01:07:15.000000,25,25,2009-06-23 00:11:07.000000,25,G,A,P,P,G,K,G,B,S,N,N,P,S,A,1998-11-15 02:35:39.000000,A,S,B,1990-10-25 05:11:50.000000,S,B,E
1983-03-24 09:25:38.000000,26,26,2017-12-24 01:22:05.000000,26,L,D,L,A,J,F,A,P,F,M,M,S,I,A,1987-08-30 16:24:38.000000,I,M,T,1980-06-07 21:48:49.000000,K,B,Z
2022-02-27 19:31:54.000000,27,27,1998-09-08 05:16:13.000000,27,M,T,D,F,S,B,I,V,R,P,T,T,V,B,1973-03-01 10:08:50.000000,P,C,B,2003-03-31 21:57:43.000000,A,B,B
1995-05-28 09:16:22.000000,28,28,2022-08-14 04:21:27.000000,28,B,S,Z,R,S,N,S,T,P,I,B,P,T,B,1978-07-16 10:40:35.000000,T,W,S,2022-05-24 16:46:47.000000,D,C,T
1981-10-04 12:50:47.000000,29,29,1980-03-29 15:48:23.000000,29,F,C,M,H,K,K,U,G,C,M,D,J,L,J,1981-03-13 16:10:05.000000,B,C,S,2005-01-23 22:01:33.000000,K,N,J
2003-05-03 14:31:15.000000,30,30,1993-11-25 17:15:46.000000,30,G,R,B,C,I,A,P,M,C,B,T,C,A,K,2004-12-01 21:27:48.000000,N,T,B,1985-03-20 20:44:28.000000,D,U,P
2004-05-29 22:29:38.000000,31,31,2020-08-24 08:42:49.000000,31,C,K,G,M,D,E,E,R,A,Z,H,S,G,M,2003-05-21 23:22:43.000000,M,N,I,2019-05-17 04:57:37.000000,I,B,E
2006-05-20 01:43:19.000000,32,32,1975-04-27 13:14:32.000000,32,N,S,C,O,I,S,L,G,J,S,G,T,O,P,2015-10-03 19:27:45.000000,A,M,T,2014-06-27 20:07:46.000000,S,S,A
1988-06-03 19:22:20.000000,33,33,1987-06-12 19:12:41.000000,33,B,E,A,L,J,S,A,H,L,T,F,R,L,T,1987-11-24 00:51:54.000000,B,Z,B,1979-10-12 13:25:27.000000,B,V,B
1985-12-13 21:29:28.000000,34,34,2007-01-03 10:23:45.000000,34,T,U,J,M,B,V,M,K,I,E,C,L,F,R,2022-10-05 13:45:16.000000,L,D,S,1984-12-18 11:14:09.000000,S,M,N
2004-02-21 23:14:06.000000,35,35,1972-06-19 06:52:43.000000,35,S,V,K,E,V,I,B,P,V,K,H,M,C,T,2008-10-30 10:34:39.000000,T,B,S,2000-10-09 19:57:25.000000,J,R,A
2012-12-26 05:18:31.000000,36,36,2005-11-04 09:14:49.000000,36,B,J,N,I,S,K,K,V,C,M,S,L,L,B,1974-09-16 15:44:43.000000,N,C,S,2004-04-26 23:48:42.000000,Z,T,L
1971-05-15 09:26:52.000000,37,37,1976-08-19 17:46:45.000000,37,S,M,D,H,Z,R,L,R,C,S,F,S,V,A,2020-01-29 01:00:35.000000,P,G,C,2003-07-03 23:34:15.000000,S,C,R
2009-05-03 04:30:36.000000,38,38,2012-03-23 01:42:14.000000,38,E,M,B,V,N,I,G,O,T,T,S,G,N,S,2012-03-19 06:51:41.000000,P,N,P,2001-07-29 00:47:29.000000,U,N,P
1978-03-27 14:38:11.000000,39,39,1986-01-22 23:37:34.000000,39,G,A,V,S,S,B,C,V,K,N,P,M,P,C,1997-08-31 02:05:23.000000,I,I,B,1994-07-24 11:24:05.000000,S,G,G
1972-12-29 02:58:08.000000,40,40,1994-10-16 05:45:46.000000,40,K,G,M,S,S,L,N,G,Y,M,L,G,G,G,1978-09-16 18:49:28.000000,S,T,I,1981-09-19 15:02:26.000000,B,B,P
2003-03-02 09:11:43.000000,41,41,1989-04-22 01:15:22.000000,41,B,S,P,L,G,S,C,F,B,A,B,K,M,K,2014-03-29 10:45:48.000000,S,B,D,1990-06-20 16:30:35.000000,D,U,U
