dh_sys,id_ds_vrs,cd_evn,dh_evn,bu_id,extraction_date,meta_code_tab_name,naming_prefix,id,intl_id,user_id,name,text_xx,text,text_ge,text_fr,text_it,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1977-03-28 09:51:26.000000,0,0,1983-07-11 19:56:41.000000,0,2016-04-19 05:59:08.000000,C,I,0,Z,D,M,J,A,A,T,J,C,1971-03-15 13:28:52.000000,2004-08-09 23:06:38.000000,B,L,P,1992-08-29 04:59:24.000000,C,C,B
1998-10-27 22:51:20.000000,1,1,1973-06-05 07:01:52.000000,1,2022-02-24 02:08:14.000000,I,C,1,G,L,Z,H,P,M,G,I,C,1991-10-20 20:09:09.000000,1976-06-09 13:49:55.000000,F,D,M,1988-01-07 11:32:17.000000,M,B,A
1999-07-03 00:57:35.000000,2,2,2010-09-05 04:56:07.000000,2,1988-03-26 08:18:46.000000,M,J,2,C,A,A,C,Z,U,V,T,S,1977-12-01 15:57:49.000000,1972-07-04 06:45:08.000000,P,N,E,1974-03-22 07:03:29.000000,S,P,C
2002-09-12 17:01:02.000000,3,3,1974-12-08 04:42:47.000000,3,1983-09-10 12:08:25.000000,A,B,3,B,T,K,G,P,H,C,Z,G,1979-11-16 03:49:25.000000,2000-09-05 23:04:32.000000,B,G,F,2022-07-03 17:18:54.000000,T,J,J
1979-12-13 22:06:36.000000,4,4,1985-07-09 07:03:38.000000,4,1993-04-16 04:14:47.000000,B,N,4,S,T,B,D,T,B,S,S,F,1970-04-17 20:42:40.000000,2008-05-24 20:01:40.000000,H,T,B,1984-10-31 21:03:59.000000,E,H,I
2005-10-01 12:27:31.000000,5,5,2017-01-19 16:58:26.000000,5,2008-03-07 21:50:32.000000,D,R,5,K,B,E,N,M,D,M,Q,R,2001-05-26 23:59:57.000000,1995-05-22 00:17:04.000000,A,D,B,1987-08-31 23:04:34.000000,C,T,P
1985-02-12 02:04:23.000000,6,6,1979-04-01 12:48:57.000000,6,2013-06-06 17:40:36.000000,K,N,6,N,K,C,D,K,C,M,T,U,1986-09-20 14:31:41.000000,1990-02-14 21:10:26.000000,S,T,I,2015-12-15 02:04:11.000000,B,S,C
2018-09-22 21:58:41.000000,7,7,1994-10-30 19:14:08.000000,7,2005-06-18 10:05:23.000000,S,K,7,Z,M,P,U,G,G,E,S,T,1991-01-08 16:53:54.000000,1998-01-15 14:23:32.000000,E,U,U,2017-01-29 00:09:08.000000,A,B,C
1996-01-28 09:49:57.000000,8,8,1982-02-01 06:29:13.000000,8,2017-04-13 00:05:42.000000,M,E,8,M,A,N,A,C,L,T,M,I,2010-06-25 13:54:04.000000,2000-06-10 16:45:26.000000,S,P,L,1972-03-15 08:23:20.000000,U,B,M
1998-10-10 18:50:31.000000,9,9,1973-10-02 04:12:48.000000,9,2020-05-22 14:07:50.000000,R,B,9,L,M,E,D,I,N,R,A,T,1993-04-20 17:54:56.000000,1992-06-01 15:38:58.000000,N,H,G,2017-12-26 19:30:31.000000,B,B,M
2000-09-11 09:01:44.000000,10,10,1997-09-30 08:24:44.000000,10,1974-11-18 15:43:44.000000,D,I,10,U,T,K,M,P,I,M,H,K,2018-02-24 22:02:02.000000,2002-03-28 20:07:45.000000,I,P,I,1986-01-05 15:16:32.000000,L,A,B
1971-11-21 20:39:55.000000,11,11,2012-04-28 10:15:01.000000,11,1981-11-11 12:56:20.000000,F,K,11,P,B,P,G,T,N,I,C,B,1990-09-20 15:23:50.000000,1982-10-31 11:25:49.000000,A,B,A,2022-04-14 06:54:37.000000,A,D,G
