dh_sys,id_ds_vrs,cd_evn,dh_evn,bu_id,bu_name,obj_id,hist_status_id,hist_status_name,hist_status_intl_cd,hist_status_user_cd,date_valid,date_valid_to,lang_id,lang_name,lang_intl_cd,lang_user_cd,name_long,name,name_abbr,time_id,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1984-10-14 09:37:34.000000,0,0,2013-11-23 21:07:34.000000,0,M,0,0,T,G,M,2005-02-08 01:02:03.000000,1981-08-08 16:43:02.000000,0,L,U,L,K,S,R,E,1970-01-20 15:59:34.000000,G,S,E,1972-10-16 01:11:56.000000,K,C,I
2003-04-16 08:22:26.000000,1,1,1973-11-22 17:56:02.000000,1,I,1,1,C,S,L,1971-01-16 19:55:46.000000,1999-08-19 13:33:56.000000,1,B,M,B,G,S,H,N,2006-04-04 03:05:48.000000,C,A,M,1993-12-26 09:38:09.000000,U,L,K
2003-09-30 20:15:41.000000,2,2,2006-05-19 20:26:40.000000,2,M,2,2,T,P,M,1976-05-07 14:55:04.000000,1991-12-14 03:17:59.000000,2,Q,Y,B,C,T,I,Z,1982-03-18 18:24:02.000000,N,S,S,2015-01-07 09:51:50.000000,E,U,B
2002-09-15 13:35:56.000000,3,3,1981-01-12 16:32:03.000000,3,P,3,3,E,U,A,2001-02-14 13:11:29.000000,1990-10-07 23:08:06.000000,3,A,S,T,T,T,A,P,1996-09-23 01:12:22.000000,I,N,K,2010-12-23 02:50:48.000000,E,K,S
2021-10-25 00:55:03.000000,4,4,2008-10-09 06:30:06.000000,4,B,4,4,K,T,P,2007-04-09 05:24:06.000000,1992-11-21 23:10:35.000000,4,S,S,L,I,A,L,R,2011-08-25 05:11:46.000000,C,G,S,2020-10-12 22:05:51.000000,C,C,P
1990-08-10 04:15:43.000000,5,5,1989-01-05 05:23:46.000000,5,L,5,5,D,A,D,2008-04-23 17:39:34.000000,2005-09-12 17:14:35.000000,5,Z,A,T,S,A,P,L,1985-05-30 08:40:44.000000,U,C,E,2005-01-30 12:38:25.000000,L,B,E
1993-08-28 23:04:30.000000,6,6,1995-12-16 05:20:33.000000,6,B,6,6,M,T,M,1976-04-11 12:01:11.000000,2008-11-07 08:31:20.000000,6,S,P,I,P,N,A,R,2003-01-20 08:18:45.000000,T,G,M,1989-01-02 13:49:55.000000,U,M,K
2011-02-10 21:28:51.000000,7,7,2011-01-09 17:25:09.000000,7,D,7,7,M,I,G,1984-10-07 20:51:00.000000,1999-03-16 16:29:13.000000,7,U,T,R,H,G,S,G,2016-11-10 23:06:37.000000,B,K,B,2014-10-18 23:30:36.000000,N,L,U
1988-02-28 21:18:33.000000,8,8,2003-02-28 07:02:46.000000,8,L,8,8,U,C,P,1991-05-14 10:02:16.000000,2021-11-27 13:29:44.000000,8,L,G,V,K,S,T,B,2012-09-01 11:56:58.000000,N,M,G,2001-09-11 22:28:05.000000,D,Q,P
1987-05-10 18:17:20.000000,9,9,2007-12-12 13:49:26.000000,9,P,9,9,B,M,F,1979-06-10 11:59:59.000000,1981-10-17 18:50:03.000000,9,H,T,I,D,M,P,G,2001-09-23 14:50:01.000000,M,E,C,1983-02-24 05:28:20.000000,G,L,P
