dh_sys,id_ds_vrs,cd_evn,dh_evn,ips_id,ips_id_key,ips_sym_key,ips_name,aa_type,aa_valid_from,aa_valid_to,saa_id,saa_sym_key,saa_name,taa_id,taa_sym_key,taa_name,bmrk_id,bmrk_sym_key,bmrk_name,mpf_ovr_id,mpf_ovr_sym_key,mpf_ovr_name,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2006-08-07 21:20:05.000000,0,0,2019-10-17 00:58:19.000000,0,R,L,J,B,2014-07-22 14:43:32.000000,1981-03-16 07:53:13.000000,0,M,M,0,S,K,0,A,K,0,G,M,D,1980-10-14 11:57:24.000000,1991-09-07 04:55:03.000000,W,K,G,2019-06-08 23:02:31.000000,I,S,I
1981-10-05 11:01:40.000000,1,1,1985-03-06 11:19:30.000000,1,T,B,C,L,2020-04-27 13:25:07.000000,1993-07-16 22:49:52.000000,1,I,T,1,L,N,1,B,P,1,M,B,M,1999-11-03 16:43:02.000000,1996-11-10 04:30:18.000000,J,C,L,2022-08-25 09:01:53.000000,P,G,M
1988-04-06 02:21:16.000000,2,2,1980-02-05 02:04:19.000000,2,B,A,C,T,2009-08-23 09:16:00.000000,2011-08-20 01:07:42.000000,2,S,A,2,F,T,2,M,S,2,B,C,B,2017-08-15 15:33:16.000000,1999-06-25 18:15:29.000000,C,U,T,2020-04-23 13:33:13.000000,N,B,C
2007-07-14 13:42:21.000000,3,3,1981-06-26 13:01:51.000000,3,T,E,H,C,1973-08-14 11:37:09.000000,1979-01-11 16:23:07.000000,3,M,Z,3,L,B,3,K,P,3,B,T,B,1979-12-10 02:15:41.000000,1991-06-17 12:25:58.000000,B,L,L,2003-07-06 13:37:37.000000,B,C,E
1983-04-14 22:40:49.000000,4,4,1995-09-30 01:28:12.000000,4,M,J,M,K,2008-06-19 01:42:14.000000,2003-11-12 04:54:44.000000,4,C,C,4,S,C,4,F,T,4,N,L,V,2006-11-03 06:00:16.000000,2006-07-22 13:14:31.000000,E,C,V,2012-05-06 01:00:50.000000,M,U,T
1978-08-22 01:27:22.000000,5,5,1983-01-30 00:45:31.000000,5,T,R,T,S,1975-07-18 11:30:34.000000,2004-08-27 02:02:59.000000,5,F,F,5,P,C,5,M,S,5,I,U,D,2010-09-24 05:14:38.000000,1987-02-08 19:03:38.000000,D,S,T,2000-06-19 22:15:22.000000,M,P,R
2001-02-28 07:01:08.000000,6,6,2006-02-08 08:57:12.000000,6,L,G,T,A,1983-10-14 13:49:42.000000,2002-09-30 00:04:34.000000,6,S,J,6,T,A,6,M,B,6,B,S,C,2011-09-11 20:10:02.000000,2004-05-13 00:18:04.000000,A,L,P,2019-07-16 09:24:25.000000,E,J,U
2023-02-24 05:15:07.000000,7,7,2011-10-04 10:20:16.000000,7,K,C,M,I,2006-02-27 19:14:58.000000,2013-10-07 16:42:54.000000,7,T,B,7,V,B,7,M,V,7,C,M,S,1986-06-08 03:44:41.000000,2004-12-21 09:13:15.000000,G,M,C,1992-10-30 00:09:47.000000,L,T,S
2014-10-01 21:01:31.000000,8,8,1973-08-20 18:42:42.000000,8,S,C,M,S,1974-07-27 05:07:54.000000,1974-07-11 09:00:38.000000,8,H,J,8,B,Z,8,M,V,8,B,A,P,1990-06-02 15:11:52.000000,1990-10-25 04:52:21.000000,S,K,G,1978-12-17 00:55:43.000000,U,D,L
2002-08-14 01:52:27.000000,9,9,2022-03-09 13:42:19.000000,9,B,U,G,S,2004-01-04 16:15:26.000000,1997-04-08 23:18:07.000000,9,C,B,9,M,B,9,M,T,9,S,P,P,2006-02-14 05:43:23.000000,1989-06-08 15:39:44.000000,G,P,S,1991-03-17 17:26:42.000000,V,K,U
1986-06-19 13:08:43.000000,10,10,1979-02-15 06:54:53.000000,10,S,M,T,G,1991-11-01 23:27:53.000000,2018-03-02 09:25:12.000000,10,T,T,10,A,I,10,N,N,10,G,H,S,1991-03-27 22:45:08.000000,2002-05-31 23:39:26.000000,C,K,Z,1975-08-13 01:51:12.000000,Z,D,B
2001-01-07 07:17:29.000000,11,11,2015-04-13 10:30:19.000000,11,C,A,G,G,2018-11-21 22:54:43.000000,1991-01-21 02:44:11.000000,11,O,B,11,A,J,11,A,C,11,A,T,I,2016-08-16 20:10:13.000000,1973-08-25 05:52:41.000000,A,G,G,2020-04-30 07:39:49.000000,N,T,B
1974-11-18 19:39:23.000000,12,12,1974-08-06 00:17:41.000000,12,I,B,S,M,1970-08-05 04:49:56.000000,1981-12-06 00:43:57.000000,12,F,L,12,G,V,12,U,A,12,C,B,P,1983-07-13 14:34:47.000000,1982-04-27 12:06:20.000000,G,I,S,1997-10-24 01:01:27.000000,B,U,C
1971-06-29 12:50:00.000000,13,13,2014-02-27 04:09:56.000000,13,A,A,C,H,1987-11-11 11:19:25.000000,2005-05-22 05:31:31.000000,13,S,A,13,F,G,13,H,O,13,I,G,D,1990-11-29 16:59:13.000000,1985-05-08 17:00:31.000000,S,I,B,2011-06-25 08:07:17.000000,A,D,I
2002-03-23 03:32:28.000000,14,14,1999-04-23 23:28:17.000000,14,P,K,N,S,1989-06-16 06:51:41.000000,2010-06-10 23:13:45.000000,14,M,R,14,T,N,14,I,F,14,T,G,K,2001-05-28 12:39:03.000000,1981-11-05 00:57:37.000000,B,S,T,1977-06-23 21:53:05.000000,L,C,B
1989-09-18 03:45:11.000000,15,15,1987-05-05 12:09:24.000000,15,L,P,Z,K,2007-12-05 22:14:44.000000,1970-11-12 01:35:15.000000,15,Z,K,15,C,C,15,B,V,15,S,A,M,2004-04-17 09:58:52.000000,1988-10-03 08:14:13.000000,L,Z,E,2010-05-16 01:23:07.000000,U,G,M
2009-01-26 04:34:14.000000,16,16,1993-02-19 09:34:40.000000,16,C,K,G,A,1981-03-08 07:10:08.000000,2004-11-27 04:06:14.000000,16,B,M,16,A,P,16,S,S,16,M,T,A,1996-11-26 21:29:54.000000,1979-06-13 08:25:52.000000,N,E,C,1970-07-05 23:53:06.000000,C,S,V
2003-02-21 23:29:24.000000,17,17,2013-01-18 12:02:39.000000,17,B,C,G,B,1974-11-24 11:15:01.000000,2022-01-30 19:02:50.000000,17,R,M,17,C,M,17,C,S,17,T,I,M,1991-08-26 01:49:55.000000,1997-04-10 16:00:38.000000,I,T,M,1982-03-22 05:16:43.000000,L,Z,S
1982-07-02 08:54:01.000000,18,18,1986-02-27 19:14:38.000000,18,K,T,C,I,2015-06-27 10:10:08.000000,1996-02-28 02:54:50.000000,18,B,K,18,A,C,18,E,R,18,S,J,I,2018-03-27 02:24:12.000000,1979-01-21 05:01:41.000000,K,B,G,2003-02-13 11:58:32.000000,S,S,I
1971-12-10 21:41:37.000000,19,19,1985-11-22 02:37:22.000000,19,P,P,N,L,2007-11-10 09:19:55.000000,1992-04-17 05:14:27.000000,19,A,Z,19,L,I,19,S,R,19,I,M,A,2012-09-24 20:02:37.000000,1980-08-28 15:55:03.000000,A,Z,G,1971-04-14 23:17:10.000000,M,M,L
2010-12-24 17:32:48.000000,20,20,1974-07-19 00:33:01.000000,20,S,S,C,E,2017-04-20 03:58:43.000000,1985-08-02 05:29:25.000000,20,M,E,20,M,K,20,L,M,20,P,S,G,1993-10-16 19:56:01.000000,1996-12-01 22:32:15.000000,S,L,T,2015-06-21 20:56:06.000000,A,N,J
1999-11-23 01:18:02.000000,21,21,1973-10-21 18:26:00.000000,21,F,M,S,G,2001-11-12 20:58:39.000000,1986-08-26 21:07:01.000000,21,I,S,21,Z,B,21,O,I,21,G,S,C,2020-07-14 10:30:47.000000,1994-07-28 12:45:39.000000,T,F,P,2012-01-21 20:52:06.000000,R,M,H
1985-01-10 16:11:39.000000,22,22,2012-11-10 02:44:59.000000,22,A,A,M,L,2012-01-06 14:40:59.000000,2000-11-24 20:59:04.000000,22,M,S,22,E,G,22,N,B,22,M,P,B,1977-04-08 06:04:33.000000,1978-10-25 15:36:09.000000,N,J,S,1995-05-31 15:41:56.000000,S,B,U
1989-03-26 23:23:14.000000,23,23,1989-04-29 09:20:00.000000,23,M,G,V,N,1994-09-18 00:01:13.000000,2003-09-16 12:07:24.000000,23,S,C,23,E,S,23,L,K,23,K,M,O,1973-11-20 03:52:33.000000,2006-02-04 10:40:45.000000,P,U,N,2016-05-11 20:53:00.000000,P,K,T
1997-06-05 13:58:16.000000,24,24,1989-06-17 02:19:16.000000,24,K,B,N,P,2007-03-08 00:11:12.000000,1979-11-14 22:47:00.000000,24,B,B,24,M,C,24,D,S,24,B,V,T,1998-11-06 06:19:05.000000,2013-10-07 12:31:55.000000,P,L,C,1989-12-27 06:48:23.000000,P,G,V
1990-05-10 18:33:16.000000,25,25,1976-10-31 02:03:02.000000,25,S,B,K,B,2018-01-02 17:17:24.000000,1994-07-22 09:47:45.000000,25,C,S,25,R,M,25,F,K,25,M,I,C,1979-09-12 03:25:32.000000,2005-06-10 19:57:49.000000,L,S,S,2014-02-25 20:04:27.000000,U,I,E
2001-06-09 15:52:58.000000,26,26,2011-03-27 10:56:26.000000,26,L,Z,I,N,1973-02-23 09:51:57.000000,1972-08-24 10:14:23.000000,26,J,E,26,M,T,26,H,T,26,B,Y,C,2016-10-17 05:04:58.000000,1999-02-10 19:26:59.000000,B,B,A,1990-01-17 01:41:48.000000,D,C,C
2021-04-23 06:33:37.000000,27,27,1995-10-25 23:39:49.000000,27,M,C,P,B,2019-12-20 09:47:32.000000,1983-12-23 00:02:23.000000,27,B,H,27,M,S,27,G,U,27,L,S,N,1980-04-19 22:56:11.000000,1991-07-26 18:49:07.000000,U,M,B,1984-10-21 16:08:32.000000,C,K,U
2001-01-16 08:49:37.000000,28,28,1975-05-19 06:14:00.000000,28,W,M,D,R,2010-12-20 01:37:54.000000,2008-12-12 08:15:06.000000,28,J,S,28,P,A,28,C,J,28,B,A,S,2020-09-28 04:35:28.000000,2011-02-16 14:28:39.000000,D,K,S,1979-03-25 07:17:03.000000,C,A,B
1983-11-05 06:49:08.000000,29,29,1973-02-16 06:13:50.000000,29,A,S,G,S,2013-04-11 09:12:58.000000,1999-10-17 23:41:18.000000,29,S,G,29,T,G,29,M,C,29,L,M,M,1985-01-12 03:27:00.000000,2021-02-03 21:50:15.000000,G,B,J,1995-07-18 13:18:39.000000,A,M,D
1997-04-18 03:01:22.000000,30,30,2012-02-19 22:34:21.000000,30,L,G,S,Z,1999-09-26 01:35:56.000000,2016-08-01 06:49:18.000000,30,T,B,30,Q,J,30,V,A,30,M,E,G,1978-03-20 01:16:17.000000,1991-11-14 18:09:09.000000,M,K,I,2006-08-31 04:24:34.000000,K,B,E
2011-05-22 08:31:27.000000,31,31,2011-01-18 22:16:55.000000,31,G,P,M,E,1971-08-05 08:50:36.000000,1970-04-23 05:03:32.000000,31,A,R,31,C,P,31,F,M,31,R,F,M,2004-01-01 12:12:37.000000,2008-02-02 05:22:36.000000,N,S,B,1996-04-28 04:33:19.000000,L,G,A
2013-12-20 12:22:41.000000,32,32,1992-09-10 01:11:03.000000,32,T,G,Q,B,1981-07-23 13:54:17.000000,1993-08-09 10:39:03.000000,32,S,C,32,V,L,32,P,A,32,M,I,B,1986-06-08 04:30:40.000000,1989-02-28 07:08:48.000000,B,P,N,1987-03-04 06:37:40.000000,A,M,B
1993-12-29 07:10:05.000000,33,33,2000-09-12 02:18:20.000000,33,A,A,B,M,1976-12-20 11:54:41.000000,2008-02-05 00:01:31.000000,33,U,M,33,P,S,33,L,A,33,A,B,A,2021-01-05 09:49:51.000000,1988-10-30 18:24:34.000000,C,S,H,2018-07-22 15:14:28.000000,D,Z,V
1992-07-23 18:05:31.000000,34,34,1981-11-21 12:04:07.000000,34,P,C,T,L,2009-06-30 02:56:18.000000,1981-04-21 18:06:14.000000,34,S,V,34,N,M,34,G,C,34,D,M,C,1972-01-06 05:01:54.000000,2022-12-31 07:06:36.000000,T,S,R,1982-04-18 08:50:17.000000,D,B,S
1999-11-06 09:30:41.000000,35,35,1986-10-15 03:53:13.000000,35,K,B,G,A,2006-12-02 11:56:03.000000,1993-07-26 08:50:28.000000,35,I,P,35,Q,G,35,V,H,35,S,S,C,2000-01-15 02:15:40.000000,2005-06-29 04:36:29.000000,I,B,V,2022-08-26 19:00:25.000000,C,K,C
1996-12-21 08:14:45.000000,36,36,1974-12-28 04:46:32.000000,36,P,J,T,S,2011-08-08 14:45:28.000000,2005-11-19 02:53:05.000000,36,A,C,36,M,B,36,S,Z,36,L,C,G,1998-06-26 15:25:10.000000,2005-12-19 16:44:06.000000,B,E,V,2015-08-11 20:04:44.000000,G,C,G
2003-08-21 21:21:49.000000,37,37,2008-10-24 20:48:05.000000,37,E,S,K,G,2013-09-28 22:37:04.000000,1971-08-30 11:15:17.000000,37,I,C,37,M,D,37,I,N,37,S,A,V,1979-10-20 21:59:53.000000,1987-09-19 05:20:11.000000,G,G,S,1987-11-14 14:54:24.000000,K,C,B
