dh_sys,id_ds_vrs,cd_evn,dh_evn,ips_id,ips_id_key,ips_sym_key,ips_name,cont_id,cont_num_key,cont_sym_key,cont_clt_key,cont_ips_type,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2011-07-03 10:44:51.000000,0,0,2014-02-04 22:56:01.000000,0,A,L,V,0,B,N,L,E,C,1973-07-11 11:59:48.000000,2013-01-16 13:44:04.000000,K,V,F,1974-09-26 14:37:44.000000,F,A,G
1978-02-23 07:49:15.000000,1,1,1999-07-16 21:23:09.000000,1,J,A,S,1,S,F,M,M,K,2007-08-01 09:55:57.000000,2022-04-13 21:37:29.000000,A,M,H,2014-03-30 15:13:54.000000,S,I,S
1976-02-29 03:00:38.000000,2,2,2010-07-26 19:26:20.000000,2,R,J,K,2,S,Z,C,C,P,2005-05-17 14:39:48.000000,2020-03-14 22:56:25.000000,B,K,Z,1996-08-11 14:51:29.000000,P,C,C
1973-10-29 04:34:18.000000,3,3,1989-03-13 06:25:32.000000,3,T,G,U,3,C,C,N,E,K,1983-12-30 08:30:18.000000,2011-08-10 00:24:50.000000,A,C,N,1997-11-07 08:46:05.000000,P,U,E
1999-09-05 00:31:18.000000,4,4,1982-08-04 03:18:09.000000,4,E,M,K,4,E,E,L,T,G,1991-03-02 16:58:18.000000,1984-01-03 14:39:52.000000,J,T,M,2022-09-28 17:58:12.000000,C,S,R
2007-09-07 16:39:10.000000,5,5,1977-01-10 00:26:15.000000,5,P,L,C,5,S,H,G,S,P,1971-01-19 15:12:57.000000,1990-11-30 16:52:31.000000,C,H,S,2012-10-28 19:58:20.000000,W,N,A
2020-01-31 22:04:53.000000,6,6,2008-04-23 04:03:30.000000,6,G,K,T,6,I,F,E,L,P,1996-09-17 22:43:31.000000,1982-12-24 02:59:54.000000,G,S,M,2014-05-21 11:53:02.000000,P,A,M
1975-12-26 16:43:30.000000,7,7,1990-03-19 03:42:00.000000,7,K,C,M,7,V,L,M,A,C,2015-04-20 03:54:49.000000,2012-12-05 01:36:26.000000,G,U,C,1987-08-22 22:12:29.000000,E,L,D
1993-06-03 06:24:32.000000,8,8,1984-07-04 09:09:30.000000,8,L,A,B,8,C,F,T,A,S,1970-04-13 02:28:42.000000,2014-11-10 22:20:48.000000,G,B,S,1984-08-01 22:30:00.000000,M,M,P
1970-07-11 13:45:00.000000,9,9,2019-12-26 04:09:45.000000,9,B,S,U,9,G,S,I,A,D,2013-09-09 11:18:45.000000,1988-01-17 22:19:22.000000,I,L,C,2022-05-26 08:31:05.000000,V,N,M
1999-07-09 07:21:31.000000,10,10,2006-12-09 10:03:44.000000,10,T,T,M,10,N,C,Q,P,S,1997-11-11 04:17:28.000000,2019-10-05 12:30:28.000000,N,G,B,1996-01-09 07:09:51.000000,T,N,F
2016-06-20 06:18:01.000000,11,11,2006-07-17 21:44:48.000000,11,R,B,M,11,T,M,T,B,B,2008-02-21 23:45:52.000000,2007-10-29 02:44:11.000000,B,C,C,1999-06-13 17:32:57.000000,C,C,S
1990-09-20 03:46:30.000000,12,12,1981-12-28 11:33:32.000000,12,V,C,F,12,M,S,L,G,M,2020-07-30 19:19:27.000000,1971-02-08 13:54:04.000000,A,I,B,1989-06-05 01:10:37.000000,Y,N,S
1977-09-15 17:05:05.000000,13,13,1977-11-28 21:07:48.000000,13,I,A,G,13,C,B,B,D,B,2022-10-13 11:17:07.000000,1984-02-29 04:23:48.000000,K,M,N,1996-08-10 17:24:35.000000,V,C,M
1980-09-02 19:21:55.000000,14,14,2014-08-22 09:46:16.000000,14,S,E,L,14,H,T,R,T,P,2019-09-15 17:26:48.000000,1974-07-08 07:08:46.000000,G,L,T,2017-03-09 13:36:12.000000,K,Z,K
2018-02-18 10:15:24.000000,15,15,1989-12-23 09:45:00.000000,15,C,T,F,15,A,K,M,E,F,2000-06-19 07:45:26.000000,2019-02-10 21:04:40.000000,S,A,T,1984-03-17 02:33:26.000000,T,B,P
