dh_sys,id_ds_vrs,cd_evn,dh_evn,pos_id,name,sort_nr,sort_alpha,ref_date,curr_price,curr_price_curry,curr_price_quote_type,curr_val_pos,curr_pos_ref_curry,curr_val_ref,curr_val_ref_curry,curr_val_bu,accr_pos,accr_comm_pos,accr_ref,accr_comm_ref,accr_bu,accr_comm_bu,curr_price_xrate,curr_xrate,qty,maturity,open_date,close_date,asset_id,asset_isin,asset_tkn,asset_name,asset_type_id,asset_type,ass_group_intl_id,ass_group,asset_option_type_id,asset_option_type,asset_price,asset_eval_date,contr_size,asset_intr_rate,bp_id,bp_name,bp_sort_nr,bp_sort_alpha,bu_id,bu_name,bu_sort_nr,bu_sort_alpha,cont_id,cont_name,cont_sort_nr,cont_sort_alpha,undrly_id,strike,pos_typ_id,pos_typ,ass_par_val,dflt_cont_nr,is_limit,time_id,pos_twrr_perf,cust_bp_id,cust_cont_id,cred_intr_rate,deb_intr_rate,hist_price_pos,hist_price_ref,issue_price,hist_xrate,ytm,duration,root_pos_id,hist_val_pos,hist_val_ref,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2014-01-05 23:54:16.000000,0,0,1980-02-22 15:25:31.000000,0,C,S,M,2004-04-29 02:12:04.000000,0.000000000000,B,L,0.0000000,M,0.0000000,T,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.00000000000000000000,0.00000000000000000000,0.0000000,2000-12-03 11:57:52.000000,2006-10-25 00:41:22.000000,2006-03-23 12:08:16.000000,0,A,D,A,F,L,S,W,M,I,0.000000000000,1976-08-30 01:45:38.000000,0.0000000,0.00000000000000000000,0,T,0.0000000,G,0,C,0.0000000,H,0,B,0.0000000,Z,0,0.0000000,0,B,0.0000000,T,C,G,0.0000000,0,0,0.00000000000000000000,0.00000000000000000000,0.000000000000,0.000000000000,0.000000000000,D,A,P,0,0.0000000,0.0000000,2012-09-04 10:00:01.000000,B,S,N,1998-04-04 22:15:00.000000,C,M,L
2015-06-16 19:50:40.000000,1,1,2003-05-20 16:16:34.000000,1,K,B,J,2000-11-23 06:04:22.000000,1.000000000000,M,M,1.0000000,L,1.0000000,A,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.00000000000000000000,1.00000000000000000000,1.0000000,2002-09-19 22:12:42.000000,2021-03-19 04:20:32.000000,2019-07-11 12:27:18.000000,1,G,M,M,B,D,A,I,L,M,1.000000000000,1972-04-29 12:36:18.000000,1.0000000,1.00000000000000000000,1,T,1.0000000,C,1,N,1.0000000,J,1,B,1.0000000,E,1,1.0000000,1,S,1.0000000,N,L,C,1.0000000,1,1,1.00000000000000000000,1.00000000000000000000,1.000000000000,1.000000000000,1.000000000000,C,M,B,1,1.0000000,1.0000000,1992-09-20 09:45:00.000000,N,S,R,2020-08-05 00:55:42.000000,M,F,F
1988-07-15 01:14:38.000000,2,2,1993-07-11 20:28:08.000000,2,K,V,K,1971-06-30 11:46:54.000000,2.000000000000,A,I,2.0000000,S,2.0000000,M,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.00000000000000000000,2.00000000000000000000,2.0000000,2002-06-01 19:51:15.000000,1997-01-05 17:03:18.000000,1987-05-15 05:10:28.000000,2,S,T,D,B,I,H,A,K,K,2.000000000000,2003-09-13 04:10:16.000000,2.0000000,2.00000000000000000000,2,T,2.0000000,T,2,G,2.0000000,N,2,N,2.0000000,L,2,2.0000000,2,C,2.0000000,P,C,G,2.0000000,2,2,2.00000000000000000000,2.00000000000000000000,2.000000000000,2.000000000000,2.000000000000,S,K,D,2,2.0000000,2.0000000,2014-07-14 22:14:30.000000,D,G,P,2006-07-06 07:28:08.000000,T,D,G
1972-08-07 02:28:20.000000,3,3,2003-10-02 19:20:43.000000,3,E,N,A,2017-01-17 03:56:25.000000,3.000000000000,O,M,3.0000000,M,3.0000000,M,3.0000000,3.0000000,3.0000000,3.0000000,3.0000000,3.0000000,3.0000000,3.00000000000000000000,3.00000000000000000000,3.0000000,1993-10-24 20:16:35.000000,2008-01-14 15:01:15.000000,1997-06-19 06:38:26.000000,3,L,B,B,P,A,C,L,B,A,3.000000000000,1988-07-07 04:06:55.000000,3.0000000,3.00000000000000000000,3,B,3.0000000,E,3,T,3.0000000,P,3,P,3.0000000,E,3,3.0000000,3,M,3.0000000,B,V,V,3.0000000,3,3,3.00000000000000000000,3.00000000000000000000,3.000000000000,3.000000000000,3.000000000000,T,B,P,3,3.0000000,3.0000000,2023-03-16 21:59:04.000000,N,N,I,1991-06-05 06:38:24.000000,A,R,N
1975-09-23 22:52:51.000000,4,4,2002-07-01 08:38:17.000000,4,E,O,M,1988-07-05 13:11:40.000000,4.000000000000,B,U,4.0000000,A,4.0000000,S,4.0000000,4.0000000,4.0000000,4.0000000,4.0000000,4.0000000,4.0000000,4.00000000000000000000,4.00000000000000000000,4.0000000,1989-06-13 22:32:55.000000,1994-10-28 13:57:41.000000,1981-11-15 09:44:16.000000,4,S,B,M,H,N,V,H,T,H,4.000000000000,2005-05-19 06:57:21.000000,4.0000000,4.00000000000000000000,4,G,4.0000000,K,4,K,4.0000000,C,4,M,4.0000000,C,4,4.0000000,4,C,4.0000000,A,I,S,4.0000000,4,4,4.00000000000000000000,4.00000000000000000000,4.000000000000,4.000000000000,4.000000000000,L,K,T,4,4.0000000,4.0000000,1972-01-25 17:51:26.000000,V,E,D,2019-04-03 02:54:23.000000,S,C,U
1992-09-16 13:16:24.000000,5,5,2013-05-17 09:48:14.000000,5,K,T,S,1979-11-22 20:49:09.000000,5.000000000000,O,A,5.0000000,K,5.0000000,T,5.0000000,5.0000000,5.0000000,5.0000000,5.0000000,5.0000000,5.0000000,5.00000000000000000000,5.00000000000000000000,5.0000000,1993-09-01 20:56:38.000000,1996-02-08 20:09:55.000000,1984-10-16 22:49:03.000000,5,C,D,J,T,M,E,B,T,B,5.000000000000,2017-08-05 15:46:10.000000,5.0000000,5.00000000000000000000,5,K,5.0000000,N,5,B,5.0000000,T,5,D,5.0000000,V,5,5.0000000,5,T,5.0000000,B,T,L,5.0000000,5,5,5.00000000000000000000,5.00000000000000000000,5.000000000000,5.000000000000,5.000000000000,I,T,V,5,5.0000000,5.0000000,2017-02-06 03:01:50.000000,T,M,D,2000-01-18 07:20:44.000000,S,I,G
2004-09-05 09:59:44.000000,6,6,2003-12-28 10:41:54.000000,6,B,S,B,2005-04-22 04:44:19.000000,6.000000000000,H,A,6.0000000,F,6.0000000,L,6.0000000,6.0000000,6.0000000,6.0000000,6.0000000,6.0000000,6.0000000,6.00000000000000000000,6.00000000000000000000,6.0000000,2020-07-29 07:02:00.000000,1985-10-19 04:38:04.000000,2004-04-22 20:42:11.000000,6,S,S,K,D,R,B,P,F,A,6.000000000000,1997-05-02 08:01:38.000000,6.0000000,6.00000000000000000000,6,B,6.0000000,B,6,Z,6.0000000,P,6,B,6.0000000,G,6,6.0000000,6,T,6.0000000,R,S,L,6.0000000,6,6,6.00000000000000000000,6.00000000000000000000,6.000000000000,6.000000000000,6.000000000000,E,C,P,6,6.0000000,6.0000000,1995-11-30 09:04:50.000000,D,T,S,1971-06-19 13:19:32.000000,S,F,D
1993-11-21 10:54:39.000000,7,7,2009-10-15 00:11:12.000000,7,M,M,S,1998-12-21 00:39:45.000000,7.000000000000,E,V,7.0000000,N,7.0000000,I,7.0000000,7.0000000,7.0000000,7.0000000,7.0000000,7.0000000,7.0000000,7.00000000000000000000,7.00000000000000000000,7.0000000,1987-06-05 06:24:58.000000,1992-01-05 13:54:49.000000,2021-06-23 23:22:04.000000,7,J,B,M,T,T,E,R,A,P,7.000000000000,2022-08-24 20:13:09.000000,7.0000000,7.00000000000000000000,7,E,7.0000000,S,7,P,7.0000000,D,7,B,7.0000000,K,7,7.0000000,7,K,7.0000000,Z,S,P,7.0000000,7,7,7.00000000000000000000,7.00000000000000000000,7.000000000000,7.000000000000,7.000000000000,B,C,O,7,7.0000000,7.0000000,1998-11-24 01:21:07.000000,P,T,G,2013-01-19 00:35:38.000000,G,M,R
2014-07-12 05:26:16.000000,8,8,2015-05-16 04:19:49.000000,8,C,B,S,1996-09-25 23:34:34.000000,8.000000000000,D,G,8.0000000,F,8.0000000,A,8.0000000,8.0000000,8.0000000,8.0000000,8.0000000,8.0000000,8.0000000,8.00000000000000000000,8.00000000000000000000,8.0000000,1979-09-11 07:11:20.000000,1981-07-27 07:56:33.000000,1981-01-21 01:59:59.000000,8,V,M,C,R,Z,P,K,I,C,8.000000000000,2022-09-03 07:52:47.000000,8.0000000,8.00000000000000000000,8,I,8.0000000,S,8,G,8.0000000,S,8,A,8.0000000,L,8,8.0000000,8,J,8.0000000,M,A,B,8.0000000,8,8,8.00000000000000000000,8.00000000000000000000,8.000000000000,8.000000000000,8.000000000000,L,Z,N,8,8.0000000,8.0000000,1988-02-07 02:43:31.000000,F,S,M,1992-03-14 14:14:14.000000,B,S,D
1980-08-07 11:15:55.000000,9,9,2009-12-08 22:49:23.000000,9,F,A,M,2005-06-04 03:23:19.000000,9.000000000000,P,U,9.0000000,R,9.0000000,C,9.0000000,9.0000000,9.0000000,9.0000000,9.0000000,9.0000000,9.0000000,9.00000000000000000000,9.00000000000000000000,9.0000000,1980-02-13 06:16:32.000000,1982-07-26 06:37:40.000000,2017-05-08 02:20:01.000000,9,C,S,A,N,H,L,A,V,B,9.000000000000,2010-03-23 04:13:33.000000,9.0000000,9.00000000000000000000,9,S,9.0000000,D,9,U,9.0000000,L,9,F,9.0000000,J,9,9.0000000,9,I,9.0000000,G,L,C,9.0000000,9,9,9.00000000000000000000,9.00000000000000000000,9.000000000000,9.000000000000,9.000000000000,N,S,B,9,9.0000000,9.0000000,2018-03-24 04:07:11.000000,S,U,P,1988-03-28 05:38:24.000000,T,K,M
