dh_sys,id_ds_vrs,cd_evn,dh_evn,curry_id,curry_name,description,termin,unit,xrate_factor,xrate_date,factor,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1988-04-10 19:41:40.000000,0,0,2022-01-24 01:38:40.000000,0,A,G,0.0000000,0.0000000,0.00000000000000000000,2000-04-08 22:10:11.000000,0.0000000,C,1997-12-17 18:20:08.000000,1987-07-20 00:26:57.000000,I,A,S,1974-04-14 20:20:00.000000,L,N,K
1973-09-08 16:05:56.000000,1,1,1970-07-17 15:58:49.000000,1,M,R,1.0000000,1.0000000,1.00000000000000000000,2015-05-11 20:03:14.000000,1.0000000,P,2001-06-21 00:54:53.000000,1972-09-18 15:03:14.000000,C,C,B,1987-07-21 02:40:50.000000,A,G,D
1997-07-18 20:19:27.000000,2,2,1996-01-16 11:01:58.000000,2,T,U,2.0000000,2.0000000,2.00000000000000000000,2002-01-13 03:01:11.000000,2.0000000,P,1998-12-24 20:26:13.000000,1983-04-17 04:07:09.000000,H,E,M,1988-09-14 12:53:04.000000,S,P,L
1996-08-15 00:06:57.000000,3,3,1983-06-08 23:51:26.000000,3,S,N,3.0000000,3.0000000,3.00000000000000000000,2022-12-18 04:12:49.000000,3.0000000,B,2002-10-29 06:55:22.000000,2000-09-27 05:44:03.000000,L,M,E,1974-01-11 08:33:30.000000,A,I,J
1998-01-14 23:22:40.000000,4,4,1999-08-09 06:09:17.000000,4,S,M,4.0000000,4.0000000,4.00000000000000000000,1970-04-24 19:24:57.000000,4.0000000,G,2021-05-07 04:23:48.000000,2015-05-17 00:10:40.000000,A,A,C,1992-05-27 09:33:28.000000,L,M,P
1992-05-03 08:06:35.000000,5,5,1979-12-01 05:26:46.000000,5,L,U,5.0000000,5.0000000,5.00000000000000000000,2012-11-03 09:14:38.000000,5.0000000,U,2008-02-13 04:59:22.000000,2006-08-26 19:10:00.000000,T,T,K,1996-06-09 02:09:38.000000,B,U,M
1986-02-17 05:51:28.000000,6,6,2002-02-13 11:12:53.000000,6,P,M,6.0000000,6.0000000,6.00000000000000000000,1970-02-05 22:11:53.000000,6.0000000,R,2014-05-05 17:07:31.000000,2022-06-07 07:41:49.000000,P,K,G,2004-03-19 13:35:06.000000,T,D,C
1991-02-04 22:53:30.000000,7,7,1996-05-24 06:05:55.000000,7,R,S,7.0000000,7.0000000,7.00000000000000000000,2009-06-21 17:19:09.000000,7.0000000,S,1989-07-16 12:08:19.000000,2010-08-27 02:24:07.000000,Z,L,P,2007-02-20 16:20:10.000000,B,B,T
2013-09-19 23:56:02.000000,8,8,1995-09-26 14:04:18.000000,8,M,C,8.0000000,8.0000000,8.00000000000000000000,2003-11-16 08:41:28.000000,8.0000000,C,1973-07-26 10:14:36.000000,2015-06-17 13:00:40.000000,E,C,Z,1994-10-04 03:50:38.000000,A,P,B
2011-06-27 05:34:43.000000,9,9,1973-03-19 05:16:02.000000,9,S,B,9.0000000,9.0000000,9.00000000000000000000,1994-04-18 12:44:43.000000,9.0000000,G,1984-12-27 16:07:49.000000,1987-08-07 20:08:46.000000,N,L,M,2014-01-08 08:51:41.000000,A,A,M
2018-11-17 12:14:22.000000,10,10,1981-03-10 15:10:27.000000,10,K,H,10.0000000,10.0000000,10.00000000000000000000,2002-07-17 15:58:59.000000,10.0000000,S,2018-04-14 00:17:55.000000,1999-11-15 03:54:38.000000,P,M,N,2020-10-15 10:08:48.000000,J,K,R
2016-08-24 03:59:54.000000,11,11,1971-11-09 14:45:56.000000,11,N,P,11.0000000,11.0000000,11.00000000000000000000,2008-01-16 01:56:36.000000,11.0000000,R,1988-01-31 07:21:28.000000,2000-08-23 06:49:51.000000,T,M,B,2003-08-01 13:01:10.000000,G,L,K
1994-03-30 03:42:54.000000,12,12,1982-12-23 15:11:04.000000,12,A,Z,12.0000000,12.0000000,12.00000000000000000000,2002-10-30 20:21:38.000000,12.0000000,F,2019-08-15 13:54:03.000000,1996-11-19 13:24:29.000000,B,M,V,1971-11-25 22:00:08.000000,K,C,B
1989-03-19 13:52:28.000000,13,13,2009-03-12 05:46:16.000000,13,S,D,13.0000000,13.0000000,13.00000000000000000000,2020-03-25 15:34:32.000000,13.0000000,W,2008-07-17 06:23:01.000000,1998-05-15 10:06:28.000000,B,T,W,1988-09-18 08:31:34.000000,A,S,K
1996-03-21 13:31:46.000000,14,14,1978-09-03 23:24:24.000000,14,O,I,14.0000000,14.0000000,14.00000000000000000000,2017-12-06 01:39:22.000000,14.0000000,K,1984-07-22 19:11:00.000000,2021-07-29 05:18:08.000000,B,T,P,1976-06-04 09:52:05.000000,T,D,K
1985-02-14 06:57:47.000000,15,15,1992-04-08 06:40:08.000000,15,R,A,15.0000000,15.0000000,15.00000000000000000000,1985-04-22 22:49:55.000000,15.0000000,C,2020-09-08 07:45:22.000000,2006-06-19 12:46:03.000000,B,I,S,1998-01-06 03:46:04.000000,T,S,D
1979-09-05 13:46:14.000000,16,16,1984-10-08 16:32:38.000000,16,B,B,16.0000000,16.0000000,16.00000000000000000000,2001-11-07 11:49:42.000000,16.0000000,B,1986-08-10 21:08:12.000000,1983-10-23 21:54:02.000000,S,A,I,1998-05-07 22:30:59.000000,B,P,C
1970-03-03 15:54:36.000000,17,17,1972-03-31 16:42:09.000000,17,C,E,17.0000000,17.0000000,17.00000000000000000000,1992-06-06 21:20:02.000000,17.0000000,T,2015-09-29 04:24:38.000000,1979-04-16 10:32:13.000000,A,J,V,2018-05-08 12:06:36.000000,M,P,C
2010-05-29 06:50:30.000000,18,18,1986-04-23 07:27:05.000000,18,P,B,18.0000000,18.0000000,18.00000000000000000000,1987-02-08 21:29:03.000000,18.0000000,M,1980-03-24 10:25:58.000000,2005-12-06 19:05:50.000000,S,A,D,2015-07-26 18:45:27.000000,K,V,G
2011-02-23 07:20:41.000000,19,19,2017-02-05 04:26:24.000000,19,P,T,19.0000000,19.0000000,19.00000000000000000000,1992-09-05 03:32:30.000000,19.0000000,D,2010-05-30 11:24:33.000000,2015-11-19 09:18:01.000000,U,L,B,1984-05-02 09:54:34.000000,I,H,I
1976-09-30 10:44:17.000000,20,20,1976-01-15 09:43:48.000000,20,P,P,20.0000000,20.0000000,20.00000000000000000000,1977-10-17 21:17:10.000000,20.0000000,P,2009-02-28 02:20:35.000000,2011-11-20 15:05:03.000000,S,M,S,2002-07-19 00:23:40.000000,Z,M,S
2006-04-01 06:31:09.000000,21,21,1980-03-29 04:31:05.000000,21,C,B,21.0000000,21.0000000,21.00000000000000000000,1974-04-29 12:31:31.000000,21.0000000,A,1988-08-05 02:51:10.000000,2017-11-07 23:24:00.000000,P,P,C,2005-10-19 10:21:46.000000,S,S,C
1975-06-21 02:04:20.000000,22,22,2014-01-08 16:21:05.000000,22,B,S,22.0000000,22.0000000,22.00000000000000000000,2019-10-23 09:17:05.000000,22.0000000,U,2004-11-21 21:54:50.000000,1979-04-14 15:00:27.000000,L,P,L,1973-06-27 01:46:39.000000,M,B,C
1984-03-28 09:12:55.000000,23,23,1980-04-19 22:04:55.000000,23,T,K,23.0000000,23.0000000,23.00000000000000000000,2017-03-28 05:33:22.000000,23.0000000,R,2007-07-22 16:52:56.000000,1979-07-17 19:04:37.000000,B,Y,M,2007-08-29 03:35:42.000000,C,M,C
