dh_sys,id_ds_vrs,cd_evn,dh_evn,curry_id,curry_name,description,termin,unit,xrate_factor,xrate_date,factor,time_id,ref_date,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2020-10-06 15:49:27.000000,0,0,1984-02-28 17:11:01.000000,0,F,C,0.0000000000000000000000,0.0000000000000000000000,0.0000000000000000000000,2010-05-22 03:58:18.000000,0.0000000000000000000000,U,2007-08-22 00:31:36.000000,1980-03-04 15:45:18.000000,I,L,A,2018-05-19 16:15:27.000000,B,N,J
2003-07-17 17:23:42.000000,1,1,2019-06-04 22:37:56.000000,1,I,B,1.0000000000000000000000,1.0000000000000000000000,1.0000000000000000000000,1988-12-05 18:59:39.000000,1.0000000000000000000000,B,1983-05-02 09:00:48.000000,1970-10-11 21:41:21.000000,R,L,G,1981-04-20 16:08:02.000000,P,B,E
1993-03-17 14:39:04.000000,2,2,1994-01-15 00:42:46.000000,2,B,E,2.0000000000000000000000,2.0000000000000000000000,2.0000000000000000000000,2015-08-06 03:45:37.000000,2.0000000000000000000000,C,1971-03-16 10:48:22.000000,2000-10-08 16:51:45.000000,M,E,S,1991-01-05 20:32:09.000000,C,S,T
2016-04-18 05:13:29.000000,3,3,1984-05-16 13:30:58.000000,3,T,T,3.0000000000000000000000,3.0000000000000000000000,3.0000000000000000000000,2000-01-28 11:20:53.000000,3.0000000000000000000000,A,1973-02-02 16:16:38.000000,1986-03-14 07:32:05.000000,S,G,V,1975-09-23 16:04:22.000000,R,K,C
1996-03-13 21:39:03.000000,4,4,1978-11-11 06:37:57.000000,4,B,T,4.0000000000000000000000,4.0000000000000000000000,4.0000000000000000000000,2012-05-31 23:46:48.000000,4.0000000000000000000000,V,1982-05-29 12:00:42.000000,2016-02-23 03:21:07.000000,B,K,W,2005-07-16 14:26:42.000000,C,K,A
2019-01-23 03:14:22.000000,5,5,2006-06-26 18:56:27.000000,5,D,C,5.0000000000000000000000,5.0000000000000000000000,5.0000000000000000000000,1992-02-02 22:30:05.000000,5.0000000000000000000000,G,2004-06-28 07:47:29.000000,1982-10-04 09:46:26.000000,E,S,E,2005-04-08 06:20:27.000000,T,P,P
2014-03-15 11:18:34.000000,6,6,1995-02-17 22:53:59.000000,6,K,I,6.0000000000000000000000,6.0000000000000000000000,6.0000000000000000000000,2001-05-28 02:45:03.000000,6.0000000000000000000000,C,2015-12-09 15:45:19.000000,2011-05-19 22:24:37.000000,V,N,J,2003-04-23 01:00:58.000000,P,D,J
1990-12-06 09:26:39.000000,7,7,1986-08-11 11:32:34.000000,7,R,M,7.0000000000000000000000,7.0000000000000000000000,7.0000000000000000000000,1989-03-04 13:26:36.000000,7.0000000000000000000000,U,1994-07-22 23:00:03.000000,1981-04-03 03:53:10.000000,H,A,F,1981-11-22 11:50:02.000000,C,S,P
1997-12-14 03:08:09.000000,8,8,2009-03-12 13:20:46.000000,8,N,O,8.0000000000000000000000,8.0000000000000000000000,8.0000000000000000000000,1987-02-02 15:32:08.000000,8.0000000000000000000000,P,2019-01-24 10:21:01.000000,1991-10-17 03:07:50.000000,G,S,M,1970-08-22 10:12:41.000000,P,N,T
2002-10-04 00:15:19.000000,9,9,2021-01-17 06:37:36.000000,9,U,R,9.0000000000000000000000,9.0000000000000000000000,9.0000000000000000000000,2009-05-01 16:35:25.000000,9.0000000000000000000000,L,2021-10-23 21:57:37.000000,2007-11-20 22:37:17.000000,L,I,B,2018-09-05 23:37:42.000000,J,S,A
2011-03-09 20:47:03.000000,10,10,2006-03-03 23:28:19.000000,10,Z,I,10.0000000000000000000000,10.0000000000000000000000,10.0000000000000000000000,2010-03-29 21:54:56.000000,10.0000000000000000000000,T,2000-01-18 15:22:36.000000,1979-03-28 15:45:34.000000,C,P,T,1982-09-27 18:47:30.000000,T,U,H
1978-05-21 00:21:24.000000,11,11,2000-06-16 18:35:22.000000,11,B,A,11.0000000000000000000000,11.0000000000000000000000,11.0000000000000000000000,2022-02-22 19:16:05.000000,11.0000000000000000000000,A,1972-12-06 13:30:54.000000,1997-06-02 04:34:59.000000,K,D,P,2003-06-23 14:07:27.000000,N,Y,B
1973-03-09 10:19:02.000000,12,12,1973-02-14 09:05:09.000000,12,U,A,12.0000000000000000000000,12.0000000000000000000000,12.0000000000000000000000,1970-09-01 14:13:21.000000,12.0000000000000000000000,N,1995-12-21 08:31:36.000000,1994-01-01 10:28:38.000000,B,D,T,2022-11-07 08:55:03.000000,A,R,C
2014-01-12 04:53:00.000000,13,13,2012-02-03 08:18:02.000000,13,M,G,13.0000000000000000000000,13.0000000000000000000000,13.0000000000000000000000,1993-01-12 13:58:20.000000,13.0000000000000000000000,I,1989-02-18 15:37:02.000000,2010-03-26 19:26:23.000000,I,C,L,1997-07-14 21:50:12.000000,M,U,L
1978-08-01 06:51:36.000000,14,14,1999-04-03 21:58:24.000000,14,G,A,14.0000000000000000000000,14.0000000000000000000000,14.0000000000000000000000,2004-12-19 19:04:26.000000,14.0000000000000000000000,P,2006-05-18 02:47:39.000000,2003-02-28 22:49:08.000000,M,C,G,1984-11-03 22:00:42.000000,L,G,S
1974-08-30 19:41:24.000000,15,15,1976-08-27 01:14:18.000000,15,B,E,15.0000000000000000000000,15.0000000000000000000000,15.0000000000000000000000,2002-10-25 23:24:55.000000,15.0000000000000000000000,S,1996-09-06 17:23:40.000000,2012-11-11 04:11:05.000000,T,C,B,1990-03-10 02:31:41.000000,G,T,R
1981-05-08 13:46:10.000000,16,16,2002-11-24 09:15:04.000000,16,B,C,16.0000000000000000000000,16.0000000000000000000000,16.0000000000000000000000,2014-05-07 10:56:27.000000,16.0000000000000000000000,E,2003-06-11 19:15:33.000000,2000-01-04 20:14:43.000000,R,G,V,2003-10-13 07:07:39.000000,M,P,G
1973-01-06 11:03:24.000000,17,17,2017-04-10 06:56:04.000000,17,J,L,17.0000000000000000000000,17.0000000000000000000000,17.0000000000000000000000,2015-08-12 19:43:35.000000,17.0000000000000000000000,U,1983-10-15 08:39:48.000000,1971-09-18 16:24:38.000000,T,P,G,1974-11-06 19:08:07.000000,B,B,C
1998-04-02 22:14:16.000000,18,18,2014-01-23 00:52:27.000000,18,T,V,18.0000000000000000000000,18.0000000000000000000000,18.0000000000000000000000,2013-09-13 07:05:38.000000,18.0000000000000000000000,Z,1992-06-13 08:26:09.000000,1983-11-13 16:54:38.000000,T,J,B,1973-06-13 17:42:56.000000,L,Y,M
1984-01-10 15:41:08.000000,19,19,2016-08-06 03:53:41.000000,19,S,T,19.0000000000000000000000,19.0000000000000000000000,19.0000000000000000000000,1993-09-09 02:53:28.000000,19.0000000000000000000000,D,2003-12-20 02:28:15.000000,2016-09-01 04:15:24.000000,M,I,E,2015-04-05 02:51:45.000000,M,T,L
2011-07-28 08:21:23.000000,20,20,2022-09-28 23:34:57.000000,20,I,Z,20.0000000000000000000000,20.0000000000000000000000,20.0000000000000000000000,1976-08-25 16:09:20.000000,20.0000000000000000000000,C,2004-10-11 23:36:34.000000,1972-10-28 14:16:23.000000,F,S,M,2014-11-07 08:31:15.000000,L,M,K
