dh_sys,id_ds_vrs,cd_evn,dh_evn,key_period,dt_day,lb_sht_day,lb_day,day,cd_day,lb_day_week,day_week,cd_day_week,id_week,week,cd_week,id_month,month,cd_month,lb_sht_month,lb_month,cd_year_month,id_quarter,quarter,cd_quarter,year,cd_year,yn_last_day_month,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2018-12-16 22:55:17.000000,0,0,2007-04-05 14:46:19.000000,0,2003-03-05,S,U,0,N,G,0,M,0,0,G,0,0,A,S,C,G,0,0,F,0,S,U,1971-08-05 19:05:44.000000,I,P,B,2018-09-26 10:03:46.000000,M,T,T
1992-09-30 20:26:08.000000,1,1,2003-06-07 14:04:59.000000,1,1993-05-09,K,C,1,B,U,1,C,1,1,S,1,1,J,P,S,V,1,1,C,1,B,C,1994-05-21 07:11:40.000000,F,N,A,2009-01-27 20:03:18.000000,N,T,M
1974-10-10 10:07:57.000000,2,2,2019-08-29 06:04:58.000000,2,2015-07-08,M,A,2,P,M,2,S,2,2,K,2,2,M,L,M,C,2,2,V,2,L,L,1986-05-30 17:14:20.000000,I,J,G,1992-04-08 20:11:46.000000,C,P,L
1971-09-21 21:32:03.000000,3,3,2018-02-28 01:00:53.000000,3,2006-01-12,C,E,3,D,S,3,W,3,3,E,3,3,N,B,T,B,3,3,Z,3,B,T,1997-03-22 14:53:06.000000,S,E,V,1990-02-28 20:20:26.000000,R,P,L
1991-11-01 19:55:07.000000,4,4,1971-05-28 03:14:50.000000,4,2017-06-16,O,K,4,C,K,4,F,4,4,T,4,4,T,N,H,B,4,4,P,4,K,S,2022-01-02 02:03:21.000000,B,A,Q,1975-11-09 01:20:08.000000,K,G,K
2008-06-26 04:02:15.000000,5,5,2013-12-06 16:38:48.000000,5,2005-11-04,K,B,5,N,L,5,S,5,5,P,5,5,E,L,E,A,5,5,B,5,C,K,1991-06-20 06:32:23.000000,A,H,B,2001-05-21 22:24:15.000000,L,V,Q
2000-09-26 14:40:33.000000,6,6,1979-10-27 10:05:42.000000,6,1974-01-21,F,A,6,P,S,6,C,6,6,V,6,6,A,G,S,T,6,6,H,6,R,S,1986-03-15 01:08:13.000000,S,M,H,1971-10-11 08:57:06.000000,V,K,V
2007-07-06 13:01:35.000000,7,7,2019-12-09 00:47:26.000000,7,2008-01-15,D,B,7,Y,L,7,K,7,7,M,7,7,L,N,E,N,7,7,L,7,B,E,2007-06-30 21:08:26.000000,M,V,K,1986-03-13 15:41:31.000000,G,L,A
2007-06-05 17:31:16.000000,8,8,1991-11-20 00:33:52.000000,8,2008-12-30,M,M,8,L,K,8,T,8,8,V,8,8,M,O,D,N,8,8,B,8,O,L,2016-11-02 11:22:20.000000,S,C,S,2022-08-10 22:21:21.000000,F,T,B
2021-02-26 03:41:13.000000,9,9,1984-06-05 11:32:04.000000,9,2011-12-19,L,O,9,I,M,9,L,9,9,K,9,9,N,S,P,B,9,9,M,9,S,B,2005-05-19 16:30:24.000000,T,C,S,1994-06-07 07:18:25.000000,S,T,S
2010-01-13 07:16:23.000000,10,10,1985-10-21 21:43:08.000000,10,1978-11-06,G,K,10,S,G,10,P,10,10,T,10,10,L,P,B,P,10,10,E,10,S,Z,2012-06-12 00:34:05.000000,Z,L,C,1994-08-17 01:56:22.000000,M,A,J
1973-10-21 21:25:40.000000,11,11,2019-12-01 22:19:18.000000,11,1999-01-15,S,G,11,M,B,11,P,11,11,T,11,11,S,M,P,L,11,11,Z,11,E,T,2016-03-06 12:43:32.000000,B,U,H,1981-12-28 03:25:11.000000,S,B,E
1973-05-24 19:14:39.000000,12,12,2007-03-26 21:31:59.000000,12,2007-04-22,L,T,12,B,B,12,A,12,12,M,12,12,B,T,V,P,12,12,M,12,N,R,1993-05-13 11:55:24.000000,B,L,B,2003-12-28 13:33:35.000000,T,J,G
1970-09-09 04:01:08.000000,13,13,1997-12-02 17:52:09.000000,13,2010-08-01,E,R,13,M,B,13,C,13,13,T,13,13,D,T,I,R,13,13,N,13,R,M,2017-07-16 16:16:07.000000,J,D,B,1995-11-03 05:55:32.000000,U,G,H
2000-04-13 10:32:26.000000,14,14,1988-06-27 08:41:20.000000,14,2021-08-17,P,B,14,M,U,14,L,14,14,M,14,14,S,P,E,L,14,14,R,14,G,K,1970-03-30 15:10:59.000000,B,C,L,2001-01-29 16:31:59.000000,E,L,P
1993-01-29 12:02:25.000000,15,15,1973-05-23 15:54:13.000000,15,1979-04-04,C,C,15,N,L,15,U,15,15,C,15,15,K,B,C,M,15,15,J,15,R,G,1982-03-30 10:15:08.000000,J,B,M,2011-01-12 22:19:16.000000,M,M,C
2013-01-27 12:42:32.000000,16,16,1979-11-02 06:57:11.000000,16,1996-11-02,B,I,16,G,N,16,B,16,16,Y,16,16,L,A,T,J,16,16,V,16,U,T,1995-12-22 06:09:28.000000,S,B,A,2010-12-28 22:00:10.000000,I,A,L
1979-03-14 05:24:39.000000,17,17,1986-04-04 14:48:08.000000,17,1983-03-27,B,C,17,T,T,17,G,17,17,S,17,17,N,P,B,L,17,17,B,17,S,C,1970-09-10 19:19:59.000000,L,K,L,2018-04-27 11:34:15.000000,G,K,S
2011-07-14 17:28:23.000000,18,18,2023-01-01 22:45:27.000000,18,1991-12-20,M,M,18,P,C,18,L,18,18,U,18,18,B,B,K,L,18,18,E,18,P,B,1988-09-20 01:57:06.000000,K,H,G,1998-02-15 11:58:46.000000,G,L,C
1970-07-10 05:19:00.000000,19,19,1985-11-07 01:30:46.000000,19,2006-03-19,M,G,19,K,L,19,P,19,19,C,19,19,L,K,V,E,19,19,N,19,V,G,2001-12-19 17:37:19.000000,N,C,L,2011-10-25 04:32:35.000000,P,B,S
1976-05-04 12:19:15.000000,20,20,1995-09-18 17:50:59.000000,20,1999-07-25,H,B,20,C,V,20,N,20,20,L,20,20,M,H,A,R,20,20,G,20,T,L,1991-12-18 21:13:29.000000,T,S,N,1978-06-17 01:12:13.000000,P,B,G
1987-11-16 23:52:25.000000,21,21,1983-08-05 06:46:34.000000,21,1970-04-02,U,K,21,P,G,21,B,21,21,E,21,21,B,A,S,T,21,21,C,21,P,B,1979-11-16 13:15:52.000000,M,D,C,1974-06-11 17:27:15.000000,L,B,N
1979-09-17 00:18:04.000000,22,22,2014-05-28 00:00:09.000000,22,1981-08-01,V,K,22,M,B,22,F,22,22,E,22,22,R,A,F,A,22,22,G,22,P,M,1995-09-07 08:49:11.000000,R,Q,G,2019-11-17 14:00:57.000000,K,G,R
2013-05-24 07:32:34.000000,23,23,2001-05-13 22:57:46.000000,23,1992-06-30,I,Z,23,T,L,23,J,23,23,W,23,23,B,T,I,C,23,23,P,23,I,U,2003-03-16 11:25:53.000000,B,E,N,1997-11-21 03:39:44.000000,L,T,J
2005-06-05 21:13:13.000000,24,24,1999-09-08 11:12:35.000000,24,1977-05-29,B,N,24,T,C,24,U,24,24,D,24,24,S,D,C,P,24,24,C,24,U,L,2012-10-16 17:27:59.000000,D,F,P,1971-06-14 05:22:46.000000,M,A,C
1999-08-23 12:40:23.000000,25,25,1991-11-27 09:32:23.000000,25,2020-01-17,G,D,25,B,S,25,I,25,25,B,25,25,D,L,T,T,25,25,S,25,V,S,2010-09-19 18:00:51.000000,B,U,T,2003-06-27 14:03:47.000000,C,G,C
2012-07-09 05:48:10.000000,26,26,1972-12-01 14:06:23.000000,26,2019-11-09,L,P,26,F,U,26,I,26,26,M,26,26,B,S,K,Y,26,26,N,26,T,G,2005-02-24 03:32:29.000000,I,U,S,1996-06-09 02:08:00.000000,L,A,G
1999-03-14 07:03:28.000000,27,27,1995-05-02 19:14:12.000000,27,1987-11-15,I,E,27,M,N,27,L,27,27,L,27,27,P,C,S,B,27,27,V,27,M,S,2007-06-30 05:09:49.000000,S,D,N,2003-05-11 09:05:59.000000,A,N,E
2006-08-17 14:05:22.000000,28,28,1978-05-07 03:26:47.000000,28,1997-01-28,G,B,28,M,S,28,P,28,28,J,28,28,M,B,S,G,28,28,N,28,I,M,1972-02-10 19:10:44.000000,T,D,B,2008-11-02 19:16:12.000000,N,U,M
1996-07-13 11:34:04.000000,29,29,2008-03-02 17:58:56.000000,29,2003-06-01,P,S,29,L,J,29,I,29,29,D,29,29,P,P,U,F,29,29,B,29,G,C,2020-08-02 14:47:25.000000,M,S,M,1997-05-24 22:44:07.000000,A,G,K
1972-12-15 14:25:29.000000,30,30,1972-12-10 14:18:47.000000,30,1997-01-02,R,M,30,V,G,30,P,30,30,G,30,30,S,M,S,R,30,30,P,30,G,S,1973-06-06 03:53:18.000000,T,Z,R,2002-04-15 09:12:49.000000,B,G,P
2021-06-27 00:53:10.000000,31,31,1999-12-04 20:17:43.000000,31,2023-03-04,A,V,31,D,G,31,S,31,31,H,31,31,M,H,B,Z,31,31,Z,31,D,S,2019-04-09 17:47:30.000000,M,K,T,1980-12-26 20:58:42.000000,P,T,T
2015-02-16 07:58:14.000000,32,32,1999-01-23 12:42:54.000000,32,1972-06-25,G,D,32,I,G,32,W,32,32,P,32,32,C,R,V,N,32,32,A,32,G,M,1995-05-22 07:06:38.000000,K,P,T,2022-08-04 17:22:23.000000,B,S,B
2005-01-15 05:59:00.000000,33,33,1971-07-12 09:12:33.000000,33,2022-05-30,K,T,33,F,M,33,K,33,33,S,33,33,G,M,P,F,33,33,S,33,L,A,2011-02-12 06:04:35.000000,E,S,K,1971-10-26 18:05:29.000000,M,A,K
