id_dsf_bsm_operations,dh_sys,id_ds_vrs,cd_evn,dh_evn,time_id,pos_id,doc_id,evt_id,pkt_seq_nr,veri_date,trx_date,val_date,perf_date,bu_id,is_reversal_clc,is_atrx,meta_type_id,meta_type_name,order_type_id,order_type_name,pos_typ,wfc_status_id,wfc_status_name,medium_id,medium_name,bp_id,bp_nr,cont_id,cont_nr,cont_curry_id,cont_curry_iso,macc_nr,macc_curry_iso,cont_type_intl_cd,asset_id,asset_name,isin,mkt_id,mkt_name,mkt_country_id,mkt_country_name,pos_curry_id,pos_curry_iso,book_kind_name,qty,price_curry_id,price_curry_iso,price,gross_amount_pos,fees_pos,net_amount_pos,accr_intr_pos,fx_rate_pos_cont,gross_amount_cont,fees_cont,net_amount_cont,accr_intr_cont,fx_rate_pos_bu,gross_amount_bu,fees_bu,net_amount_bu,accr_intr_bu,is_operation_clc,dt_run,deal_spot_rate,deal_fwd_rate,fx_curry_1_iso,fx_qty_1,fx_curry_2_iso,fx_qty_2,spot_spread,trdr_rate,fwd_bps,pict,mkt_fwd_bps_bu,fwd_spread_bu,spot_spread_bu,strike,fx_gross_amount,fx_gross_curry_iso,fx_net_amount,call_curry_name,call_qty,put_curry_iso,put_qty,prem,prem_qty,prem_calc_type_intl,prem_calc_type_name,spread,spread_qty,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
0,1978-10-23 01:05:20.000000,0,0,1986-07-07 14:27:19.000000,T       ,0,0,0,0.0000000,2014-03-06 16:22:13.000000,1996-03-04 23:59:45.000000,1976-06-16 04:26:44.000000,2013-05-13 12:51:47.000000,0,S,T ,0,G,0,I,M,0,L,0,P,0,S,0,G,0,J,H,E,S,0,M,U,0,J,0,R,0,B,W,0.0000000,0,S,0.000000000000,0.0000000,0.0000000,0.0000000,0.0000000,0.00000000000000000000,0.0000000,0.0000000,0.0000000,0.0000000,0.00000000000000000000,0.0000000,0.0000000,0.0000000,0.0000000,L,1979-05-07,0.00000000000000000000,0.00000000000000000000,P,0.0000000,L,0.0000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.0000000,0.00000000000000000000,0.0000000,T,0.0000000,T,0.0000000,A,0.0000000,0.00000000000000000000,0.00000000000000000000,D,N,0.00000000000000000000,0.00000000000000000000,1974-04-20 03:13:04.000000,N,T,F,1980-03-20 13:14:48.000000,L,M,M
1,1997-09-12 17:11:11.000000,1,1,1989-11-16 13:18:35.000000,B       ,1,1,1,1.0000000,2018-09-09 11:53:33.000000,1996-03-29 15:49:30.000000,2015-05-23 11:35:45.000000,1989-07-31 06:33:57.000000,1,D,L ,1,L,1,N,V,1,G,1,E,1,U,1,T,1,S,S,U,B,1,L,L,1,N,1,G,1,M,M,1.0000000,1,D,1.000000000000,1.0000000,1.0000000,1.0000000,1.0000000,1.00000000000000000000,1.0000000,1.0000000,1.0000000,1.0000000,1.00000000000000000000,1.0000000,1.0000000,1.0000000,1.0000000,S,1997-10-29,1.00000000000000000000,1.00000000000000000000,Z,1.0000000,R,1.0000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1,1.00000000000000000000,1.00000000000000000000,1.0000000,1.00000000000000000000,1.0000000,A,1.0000000,D,1.0000000,V,1.0000000,1.00000000000000000000,1.00000000000000000000,L,I,1.00000000000000000000,1.00000000000000000000,2010-06-23 13:53:31.000000,M,A,N,1974-03-01 06:43:12.000000,U,B,T
2,2013-02-03 11:49:00.000000,2,2,2016-06-19 23:59:41.000000,K       ,2,2,2,2.0000000,1998-11-23 20:08:40.000000,1970-02-15 08:28:49.000000,2019-08-21 01:06:05.000000,1986-01-17 09:19:38.000000,2,A,B ,2,C,2,J,G,2,F,2,U,2,G,2,D,2,I,L,U,B,2,T,T,2,B,2,K,2,T,S,2.0000000,2,L,2.000000000000,2.0000000,2.0000000,2.0000000,2.0000000,2.00000000000000000000,2.0000000,2.0000000,2.0000000,2.0000000,2.00000000000000000000,2.0000000,2.0000000,2.0000000,2.0000000,L,1983-05-29,2.00000000000000000000,2.00000000000000000000,R,2.0000000,G,2.0000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2,2.00000000000000000000,2.00000000000000000000,2.0000000,2.00000000000000000000,2.0000000,R,2.0000000,C,2.0000000,M,2.0000000,2.00000000000000000000,2.00000000000000000000,N,K,2.00000000000000000000,2.00000000000000000000,1996-09-06 06:24:01.000000,V,F,V,2007-02-26 22:22:51.000000,I,M,M
3,1974-07-07 22:02:38.000000,3,3,2011-01-13 22:15:30.000000,Q       ,3,3,3,3.0000000,1975-12-17 06:53:33.000000,1972-12-17 01:15:42.000000,2001-02-24 13:54:08.000000,1988-03-03 16:56:48.000000,3,K,F ,3,S,3,Z,G,3,B,3,K,3,K,3,B,3,H,M,S,M,3,V,H,3,I,3,B,3,B,Y,3.0000000,3,K,3.000000000000,3.0000000,3.0000000,3.0000000,3.0000000,3.00000000000000000000,3.0000000,3.0000000,3.0000000,3.0000000,3.00000000000000000000,3.0000000,3.0000000,3.0000000,3.0000000,P,1993-10-10,3.00000000000000000000,3.00000000000000000000,E,3.0000000,C,3.0000000,3.00000000000000000000,3.00000000000000000000,3.00000000000000000000,3,3.00000000000000000000,3.00000000000000000000,3.0000000,3.00000000000000000000,3.0000000,G,3.0000000,W,3.0000000,Y,3.0000000,3.00000000000000000000,3.00000000000000000000,B,Z,3.00000000000000000000,3.00000000000000000000,1989-11-20 10:36:30.000000,A,U,C,1978-01-01 03:47:34.000000,B,B,T
4,2013-12-03 11:16:04.000000,4,4,1997-07-30 22:49:55.000000,G       ,4,4,4,4.0000000,2009-12-30 20:56:16.000000,2013-10-27 19:47:28.000000,1991-01-15 11:16:23.000000,1995-09-14 14:37:35.000000,4,T,M ,4,Z,4,M,G,4,H,4,N,4,G,4,G,4,D,C,N,C,4,C,M,4,A,4,M,4,G,L,4.0000000,4,P,4.000000000000,4.0000000,4.0000000,4.0000000,4.0000000,4.00000000000000000000,4.0000000,4.0000000,4.0000000,4.0000000,4.00000000000000000000,4.0000000,4.0000000,4.0000000,4.0000000,E,1976-10-26,4.00000000000000000000,4.00000000000000000000,T,4.0000000,S,4.0000000,4.00000000000000000000,4.00000000000000000000,4.00000000000000000000,4,4.00000000000000000000,4.00000000000000000000,4.0000000,4.00000000000000000000,4.0000000,H,4.0000000,S,4.0000000,L,4.0000000,4.00000000000000000000,4.00000000000000000000,M,V,4.00000000000000000000,4.00000000000000000000,1976-03-13 16:53:03.000000,N,M,W,1970-08-15 21:08:50.000000,B,F,K
5,1977-09-26 14:29:59.000000,5,5,2022-05-12 19:56:23.000000,S       ,5,5,5,5.0000000,2022-12-20 22:09:25.000000,1972-12-02 00:57:26.000000,2011-02-03 23:36:35.000000,2020-10-14 01:10:12.000000,5,J,D ,5,C,5,U,C,5,E,5,G,5,K,5,M,5,A,M,G,D,5,K,M,5,B,5,M,5,D,J,5.0000000,5,S,5.000000000000,5.0000000,5.0000000,5.0000000,5.0000000,5.00000000000000000000,5.0000000,5.0000000,5.0000000,5.0000000,5.00000000000000000000,5.0000000,5.0000000,5.0000000,5.0000000,Y,1983-04-28,5.00000000000000000000,5.00000000000000000000,A,5.0000000,C,5.0000000,5.00000000000000000000,5.00000000000000000000,5.00000000000000000000,5,5.00000000000000000000,5.00000000000000000000,5.0000000,5.00000000000000000000,5.0000000,G,5.0000000,H,5.0000000,S,5.0000000,5.00000000000000000000,5.00000000000000000000,M,E,5.00000000000000000000,5.00000000000000000000,2014-06-14 19:04:47.000000,L,N,V,1987-11-30 00:49:08.000000,C,L,L
6,1993-04-28 10:51:35.000000,6,6,1991-05-16 15:53:38.000000,C       ,6,6,6,6.0000000,2017-08-14 18:20:41.000000,2008-07-31 22:30:06.000000,2001-03-04 17:04:18.000000,1985-05-26 05:33:07.000000,6,S,V ,6,J,6,G,N,6,P,6,O,6,N,6,C,6,S,M,B,P,6,N,B,6,S,6,M,6,I,P,6.0000000,6,M,6.000000000000,6.0000000,6.0000000,6.0000000,6.0000000,6.00000000000000000000,6.0000000,6.0000000,6.0000000,6.0000000,6.00000000000000000000,6.0000000,6.0000000,6.0000000,6.0000000,I,1984-04-04,6.00000000000000000000,6.00000000000000000000,L,6.0000000,J,6.0000000,6.00000000000000000000,6.00000000000000000000,6.00000000000000000000,6,6.00000000000000000000,6.00000000000000000000,6.0000000,6.00000000000000000000,6.0000000,P,6.0000000,F,6.0000000,D,6.0000000,6.00000000000000000000,6.00000000000000000000,G,N,6.00000000000000000000,6.00000000000000000000,1999-12-29 11:33:49.000000,C,K,A,2019-12-31 02:09:56.000000,G,D,G
7,1979-07-20 18:59:54.000000,7,7,1993-01-24 10:56:11.000000,S       ,7,7,7,7.0000000,2011-02-12 04:33:55.000000,1988-08-13 19:38:49.000000,1984-12-30 05:53:27.000000,1973-11-19 13:58:54.000000,7,B,N ,7,V,7,T,A,7,D,7,B,7,C,7,E,7,V,S,K,K,7,W,C,7,K,7,C,7,G,N,7.0000000,7,F,7.000000000000,7.0000000,7.0000000,7.0000000,7.0000000,7.00000000000000000000,7.0000000,7.0000000,7.0000000,7.0000000,7.00000000000000000000,7.0000000,7.0000000,7.0000000,7.0000000,G,2021-06-02,7.00000000000000000000,7.00000000000000000000,A,7.0000000,F,7.0000000,7.00000000000000000000,7.00000000000000000000,7.00000000000000000000,7,7.00000000000000000000,7.00000000000000000000,7.0000000,7.00000000000000000000,7.0000000,L,7.0000000,F,7.0000000,T,7.0000000,7.00000000000000000000,7.00000000000000000000,G,P,7.00000000000000000000,7.00000000000000000000,1992-05-27 21:54:09.000000,M,F,V,2017-09-23 04:30:29.000000,L,B,B
8,1989-10-11 08:02:27.000000,8,8,1986-01-15 17:09:18.000000,D       ,8,8,8,8.0000000,2002-01-25 19:22:40.000000,1972-01-27 16:45:32.000000,1971-01-31 07:33:46.000000,1986-05-02 22:24:09.000000,8,B,N ,8,N,8,A,B,8,M,8,C,8,M,8,M,8,C,A,N,P,8,K,A,8,C,8,U,8,R,M,8.0000000,8,Z,8.000000000000,8.0000000,8.0000000,8.0000000,8.0000000,8.00000000000000000000,8.0000000,8.0000000,8.0000000,8.0000000,8.00000000000000000000,8.0000000,8.0000000,8.0000000,8.0000000,V,2006-04-17,8.00000000000000000000,8.00000000000000000000,E,8.0000000,S,8.0000000,8.00000000000000000000,8.00000000000000000000,8.00000000000000000000,8,8.00000000000000000000,8.00000000000000000000,8.0000000,8.00000000000000000000,8.0000000,E,8.0000000,G,8.0000000,L,8.0000000,8.00000000000000000000,8.00000000000000000000,N,N,8.00000000000000000000,8.00000000000000000000,2013-03-17 17:57:46.000000,B,S,I,2000-04-30 03:02:10.000000,I,K,B
9,1976-12-11 17:15:07.000000,9,9,1998-04-11 19:44:42.000000,R       ,9,9,9,9.0000000,2002-01-30 07:28:09.000000,2002-01-26 04:12:30.000000,1998-05-15 10:28:14.000000,1980-12-28 01:35:59.000000,9,N,F ,9,C,9,S,G,9,S,9,E,9,S,9,M,9,G,M,M,A,9,T,C,9,A,9,P,9,N,A,9.0000000,9,T,9.000000000000,9.0000000,9.0000000,9.0000000,9.0000000,9.00000000000000000000,9.0000000,9.0000000,9.0000000,9.0000000,9.00000000000000000000,9.0000000,9.0000000,9.0000000,9.0000000,T,2019-05-24,9.00000000000000000000,9.00000000000000000000,S,9.0000000,D,9.0000000,9.00000000000000000000,9.00000000000000000000,9.00000000000000000000,9,9.00000000000000000000,9.00000000000000000000,9.0000000,9.00000000000000000000,9.0000000,I,9.0000000,C,9.0000000,K,9.0000000,9.00000000000000000000,9.00000000000000000000,S,F,9.00000000000000000000,9.00000000000000000000,1985-03-26 12:17:05.000000,G,S,M,2021-11-02 03:24:41.000000,M,F,E
