id_dsf_bsm_xrate,dh_sys,id_ds_vrs,cd_evn,dh_evn,curry_id,curry_name,description,termin,unit,xrate_factor,xrate_date,factor,time_id,ref_date,dt_run,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
0,2004-06-21 05:43:05.000000,0,0,1995-11-03 05:28:29.000000,0,M,L,0.0000000,0.0000000,0.00000000000000000000,1988-04-02 06:58:22.000000,0.0000000,B,1995-07-03 18:04:33.000000,1972-04-03,2015-04-25 02:48:56.000000,C,M,H,1996-04-19 18:56:51.000000,A,E,T
1,1978-08-19 07:09:57.000000,1,1,1996-01-25 03:51:05.000000,1,H,I,1.0000000,1.0000000,1.00000000000000000000,1972-04-30 17:16:32.000000,1.0000000,P,1997-02-05 23:18:13.000000,2022-05-30,1970-07-13 23:28:34.000000,L,H,P,2001-06-02 17:17:10.000000,H,I,T
2,1998-10-27 12:17:34.000000,2,2,2016-11-11 09:39:49.000000,2,C,N,2.0000000,2.0000000,2.00000000000000000000,1987-09-19 14:57:21.000000,2.0000000,J,1997-12-10 11:25:44.000000,1970-01-17,1987-07-03 12:17:41.000000,H,L,B,1994-08-16 23:09:11.000000,F,K,A
3,1972-06-25 21:31:09.000000,3,3,1975-09-06 16:26:32.000000,3,C,N,3.0000000,3.0000000,3.00000000000000000000,1995-08-05 15:04:46.000000,3.0000000,P,2013-08-14 16:52:51.000000,1983-07-01,1974-02-06 12:19:22.000000,U,Q,S,1985-05-22 10:27:10.000000,A,M,B
4,1987-03-09 10:28:07.000000,4,4,1998-08-06 03:50:43.000000,4,F,C,4.0000000,4.0000000,4.00000000000000000000,1980-03-19 14:33:40.000000,4.0000000,M,2016-08-31 07:19:02.000000,2006-12-21,2006-05-09 04:16:00.000000,U,V,K,1990-09-18 04:23:20.000000,P,N,F
5,2015-05-31 06:42:52.000000,5,5,1984-01-26 05:50:52.000000,5,H,B,5.0000000,5.0000000,5.00000000000000000000,1983-08-14 07:39:32.000000,5.0000000,B,2009-08-24 18:29:34.000000,1973-11-04,2020-11-26 13:22:06.000000,D,A,S,2018-05-13 05:16:33.000000,M,K,Z
6,2001-07-25 03:27:24.000000,6,6,1998-05-06 08:12:50.000000,6,N,E,6.0000000,6.0000000,6.00000000000000000000,2004-09-04 13:20:14.000000,6.0000000,S,2003-01-08 05:40:44.000000,2020-01-23,2008-03-13 08:27:43.000000,N,A,S,2004-08-01 03:42:42.000000,M,V,E
7,2010-05-22 22:22:25.000000,7,7,2017-06-05 22:48:08.000000,7,K,R,7.0000000,7.0000000,7.00000000000000000000,1989-11-23 04:29:47.000000,7.0000000,S,1985-07-23 11:11:06.000000,2022-04-14,2009-03-25 12:37:10.000000,A,V,L,2001-09-22 17:05:32.000000,L,H,L
8,1975-04-21 18:49:35.000000,8,8,1971-11-27 02:08:28.000000,8,J,B,8.0000000,8.0000000,8.00000000000000000000,2009-05-11 11:58:25.000000,8.0000000,L,1971-08-11 04:34:21.000000,2002-08-05,1998-12-19 05:02:42.000000,T,F,S,2019-04-14 06:57:07.000000,B,C,M
9,1978-01-09 06:04:05.000000,9,9,1973-08-21 13:37:17.000000,9,N,G,9.0000000,9.0000000,9.00000000000000000000,1980-10-09 06:20:00.000000,9.0000000,K,2007-08-25 03:14:30.000000,1979-11-07,2017-12-13 20:46:53.000000,W,G,S,1999-02-23 14:20:08.000000,V,K,M
10,2021-07-02 14:59:56.000000,10,10,2009-04-15 07:21:34.000000,10,P,D,10.0000000,10.0000000,10.00000000000000000000,1999-10-28 08:53:02.000000,10.0000000,D,1977-04-29 02:12:44.000000,1973-08-15,2015-06-05 17:12:51.000000,I,D,I,1987-12-25 07:44:05.000000,S,H,M
11,1981-12-18 17:41:46.000000,11,11,1987-07-08 15:47:25.000000,11,M,V,11.0000000,11.0000000,11.00000000000000000000,1982-05-22 19:57:09.000000,11.0000000,B,1973-02-20 13:42:04.000000,1981-08-21,2021-04-07 06:13:32.000000,E,S,C,2000-11-29 20:35:50.000000,K,C,S
