id_dsf_bsm_xrate_eom,dh_sys,id_ds_vrs,cd_evn,dh_evn,curry_id,curry_name,description,termin,unit,xrate_factor,xrate_factor_yly_avg,xrate_date,factor,time_id,ref_date,dt_run,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
0,1984-08-24 06:32:06.000000,0,0,2019-12-14 14:17:07.000000,0,J,S,0.0000000,0.0000000,0.00000000000000000000,0.00000000000000000000,1980-05-04 21:36:11.000000,0.0000000,L,2010-06-18 06:41:29.000000,1977-11-10,2000-02-17 07:36:16.000000,R,B,T,1989-09-03 00:51:37.000000,H,N,P
1,1989-06-25 11:23:59.000000,1,1,2006-06-27 16:53:11.000000,1,A,E,1.0000000,1.0000000,1.00000000000000000000,1.00000000000000000000,1991-03-07 03:22:46.000000,1.0000000,B,2001-03-02 22:46:12.000000,2015-05-06,1986-04-01 00:23:26.000000,L,S,S,1991-04-15 09:58:38.000000,P,L,D
2,2019-12-09 05:59:40.000000,2,2,1999-06-21 13:16:22.000000,2,E,I,2.0000000,2.0000000,2.00000000000000000000,2.00000000000000000000,1981-06-19 04:17:00.000000,2.0000000,I,1981-10-31 04:40:05.000000,2001-03-01,1979-07-01 11:47:03.000000,L,B,D,2022-02-08 12:49:34.000000,T,A,T
3,1973-11-23 03:57:07.000000,3,3,2016-03-30 21:13:14.000000,3,L,T,3.0000000,3.0000000,3.00000000000000000000,3.00000000000000000000,2011-01-07 09:52:28.000000,3.0000000,U,1985-01-20 08:12:23.000000,1976-07-09,1993-05-23 14:06:48.000000,G,L,H,1985-12-20 11:51:21.000000,G,C,N
4,2022-10-21 20:13:10.000000,4,4,1996-10-22 07:23:13.000000,4,A,M,4.0000000,4.0000000,4.00000000000000000000,4.00000000000000000000,1992-10-14 09:57:28.000000,4.0000000,G,2017-02-13 05:11:47.000000,2001-05-05,1981-11-27 11:18:44.000000,L,T,M,1993-01-14 13:06:02.000000,R,C,T
5,1973-01-07 23:03:18.000000,5,5,1981-11-16 15:42:37.000000,5,U,B,5.0000000,5.0000000,5.00000000000000000000,5.00000000000000000000,1995-10-19 06:32:53.000000,5.0000000,C,2007-01-29 13:08:18.000000,1974-04-10,2014-02-18 19:35:54.000000,S,S,S,1976-02-22 03:30:53.000000,T,D,A
6,1983-07-16 22:15:36.000000,6,6,2015-10-31 22:59:08.000000,6,P,E,6.0000000,6.0000000,6.00000000000000000000,6.00000000000000000000,2016-01-31 04:20:22.000000,6.0000000,M,1994-03-16 17:52:19.000000,1971-01-13,1975-12-07 07:29:36.000000,M,A,T,2012-11-25 05:57:38.000000,L,M,C
7,1975-10-14 01:59:04.000000,7,7,1976-04-27 11:14:02.000000,7,D,I,7.0000000,7.0000000,7.00000000000000000000,7.00000000000000000000,2012-04-01 12:08:18.000000,7.0000000,C,2021-06-10 01:38:47.000000,2014-10-18,2011-09-03 18:45:06.000000,S,E,L,2004-10-24 17:16:19.000000,L,H,S
8,1974-07-24 02:09:43.000000,8,8,1995-09-22 18:41:31.000000,8,R,G,8.0000000,8.0000000,8.00000000000000000000,8.00000000000000000000,1984-01-14 03:37:02.000000,8.0000000,H,1993-11-08 09:15:24.000000,1992-05-19,2019-07-25 03:23:32.000000,S,W,T,1987-01-24 15:16:04.000000,U,L,M
9,2011-03-02 01:35:56.000000,9,9,2018-05-12 03:04:50.000000,9,B,B,9.0000000,9.0000000,9.00000000000000000000,9.00000000000000000000,1993-10-28 03:26:27.000000,9.0000000,S,2018-04-06 08:46:59.000000,2014-08-22,1978-08-18 17:40:36.000000,G,P,M,2014-07-11 00:08:44.000000,M,S,M
10,1974-06-29 00:01:13.000000,10,10,2007-11-09 17:16:46.000000,10,T,E,10.0000000,10.0000000,10.00000000000000000000,10.00000000000000000000,1972-03-23 08:19:49.000000,10.0000000,E,1971-04-22 03:53:02.000000,1998-02-21,2001-12-10 06:31:41.000000,A,I,C,1989-05-01 19:52:37.000000,P,N,P
11,2003-03-28 17:29:23.000000,11,11,2000-06-26 02:48:07.000000,11,A,A,11.0000000,11.0000000,11.00000000000000000000,11.00000000000000000000,2019-10-29 10:50:39.000000,11.0000000,T,2017-11-01 06:11:25.000000,1992-07-25,2004-11-11 06:27:07.000000,H,B,L,1991-07-07 16:03:40.000000,G,P,C
12,1992-04-30 11:10:42.000000,12,12,2019-04-29 23:20:41.000000,12,L,C,12.0000000,12.0000000,12.00000000000000000000,12.00000000000000000000,2000-08-21 12:00:54.000000,12.0000000,F,1984-06-03 14:03:49.000000,1996-03-19,1989-11-27 07:31:20.000000,I,G,K,1983-02-09 14:04:18.000000,Z,C,A
13,2010-11-18 12:23:01.000000,13,13,2006-02-25 02:13:36.000000,13,R,S,13.0000000,13.0000000,13.00000000000000000000,13.00000000000000000000,1981-07-17 13:40:14.000000,13.0000000,S,1985-05-19 16:11:26.000000,2001-02-12,2016-09-25 19:43:15.000000,J,E,N,1987-10-05 20:22:13.000000,N,B,L
14,1992-10-18 05:10:34.000000,14,14,2008-09-13 00:11:13.000000,14,C,B,14.0000000,14.0000000,14.00000000000000000000,14.00000000000000000000,1997-09-26 02:09:15.000000,14.0000000,C,2001-08-05 01:48:58.000000,1985-12-25,1975-01-27 10:10:17.000000,S,K,M,2009-09-02 03:47:27.000000,S,S,L
15,1997-05-28 22:58:56.000000,15,15,2019-07-12 22:17:14.000000,15,F,S,15.0000000,15.0000000,15.00000000000000000000,15.00000000000000000000,1991-01-05 18:08:36.000000,15.0000000,M,1999-05-14 16:41:56.000000,1996-04-28,1987-09-04 00:39:56.000000,E,K,O,1971-02-04 15:52:34.000000,T,J,A
16,2022-12-20 11:36:41.000000,16,16,1990-02-27 16:22:26.000000,16,M,D,16.0000000,16.0000000,16.00000000000000000000,16.00000000000000000000,1986-03-26 23:59:30.000000,16.0000000,B,1994-03-10 12:19:57.000000,1990-04-28,2019-12-05 18:57:22.000000,Z,H,A,2011-04-28 19:09:45.000000,B,E,R
17,1975-09-10 18:38:55.000000,17,17,1988-12-25 00:29:44.000000,17,S,I,17.0000000,17.0000000,17.00000000000000000000,17.00000000000000000000,1995-05-05 13:16:14.000000,17.0000000,K,2006-09-06 09:47:25.000000,2016-06-04,1977-06-20 05:09:32.000000,H,B,K,1990-07-23 10:16:16.000000,S,M,M
18,1999-04-23 06:31:29.000000,18,18,1975-07-17 04:04:50.000000,18,C,A,18.0000000,18.0000000,18.00000000000000000000,18.00000000000000000000,1982-08-18 19:13:10.000000,18.0000000,M,1999-07-20 16:01:25.000000,1999-03-05,1970-05-01 21:21:07.000000,T,G,A,1971-09-04 23:51:17.000000,P,K,M
19,1999-12-22 19:47:54.000000,19,19,1982-02-05 23:03:25.000000,19,P,B,19.0000000,19.0000000,19.00000000000000000000,19.00000000000000000000,1971-06-05 03:35:26.000000,19.0000000,T,1983-08-15 07:58:25.000000,2000-12-10,2012-07-11 22:53:48.000000,M,B,A,1987-10-19 10:45:31.000000,B,P,C
20,1983-11-27 13:38:29.000000,20,20,1987-06-18 19:46:23.000000,20,A,G,20.0000000,20.0000000,20.00000000000000000000,20.00000000000000000000,1979-08-09 02:20:52.000000,20.0000000,S,2006-11-18 10:41:33.000000,2014-06-08,2008-05-12 03:08:33.000000,L,M,J,1981-12-05 12:34:13.000000,C,B,A
21,1989-06-01 12:41:07.000000,21,21,1976-11-22 19:00:46.000000,21,L,N,21.0000000,21.0000000,21.00000000000000000000,21.00000000000000000000,1986-12-04 03:46:40.000000,21.0000000,L,1999-05-17 00:52:40.000000,2005-05-20,1972-07-29 17:12:22.000000,T,E,C,2022-10-31 22:18:25.000000,H,U,B
22,1988-06-02 03:27:18.000000,22,22,1973-09-18 11:18:52.000000,22,B,A,22.0000000,22.0000000,22.00000000000000000000,22.00000000000000000000,1974-09-02 23:23:31.000000,22.0000000,C,1996-02-16 22:02:18.000000,2020-02-27,1992-06-14 04:12:26.000000,I,F,L,1986-02-12 15:51:16.000000,E,C,K
23,2016-06-02 14:24:37.000000,23,23,1977-05-10 15:42:29.000000,23,K,L,23.0000000,23.0000000,23.00000000000000000000,23.00000000000000000000,2017-02-28 03:50:18.000000,23.0000000,G,1997-06-25 00:13:39.000000,1993-06-22,1974-11-13 04:23:42.000000,H,S,F,1970-01-05 18:09:55.000000,Z,A,I
24,1997-02-02 02:11:07.000000,24,24,2011-11-14 09:18:32.000000,24,T,B,24.0000000,24.0000000,24.00000000000000000000,24.00000000000000000000,1991-08-06 14:24:05.000000,24.0000000,M,1985-01-27 17:57:24.000000,2011-10-30,2003-05-25 04:45:54.000000,G,M,V,1991-05-11 22:26:24.000000,N,C,G
25,1989-09-08 04:55:34.000000,25,25,1985-07-16 09:19:13.000000,25,M,B,25.0000000,25.0000000,25.00000000000000000000,25.00000000000000000000,2003-07-05 03:55:24.000000,25.0000000,P,1988-03-27 01:17:05.000000,1994-12-05,2001-09-01 04:31:26.000000,L,G,S,1974-12-13 17:49:26.000000,T,L,S
26,2005-05-31 21:50:01.000000,26,26,2017-01-19 23:44:41.000000,26,S,H,26.0000000,26.0000000,26.00000000000000000000,26.00000000000000000000,1983-12-22 02:18:12.000000,26.0000000,G,1996-11-22 08:59:40.000000,2003-03-07,2011-06-19 16:05:12.000000,L,G,M,2017-09-24 22:52:42.000000,K,M,S
27,1970-04-06 03:05:25.000000,27,27,2004-05-19 00:06:13.000000,27,M,S,27.0000000,27.0000000,27.00000000000000000000,27.00000000000000000000,2001-07-20 05:44:02.000000,27.0000000,M,2012-09-15 16:16:42.000000,2022-01-13,1975-07-01 21:44:08.000000,S,C,K,1993-10-29 15:13:26.000000,B,I,B
28,2002-06-05 05:49:13.000000,28,28,1980-12-31 07:17:36.000000,28,R,M,28.0000000,28.0000000,28.00000000000000000000,28.00000000000000000000,1986-11-15 13:20:33.000000,28.0000000,E,2021-12-28 17:26:14.000000,1995-01-22,2015-05-26 06:37:14.000000,T,T,G,2011-08-10 05:30:27.000000,K,P,C
29,1976-09-24 09:06:21.000000,29,29,1997-12-07 10:23:25.000000,29,L,T,29.0000000,29.0000000,29.00000000000000000000,29.00000000000000000000,1999-08-28 08:01:54.000000,29.0000000,K,1970-05-24 01:12:14.000000,2014-11-13,1982-04-24 00:37:41.000000,R,G,J,2022-11-18 00:42:09.000000,D,C,M
30,2005-11-27 17:12:52.000000,30,30,1998-04-05 10:19:42.000000,30,B,V,30.0000000,30.0000000,30.00000000000000000000,30.00000000000000000000,2007-04-28 06:06:13.000000,30.0000000,G,2015-05-01 04:07:15.000000,1992-04-29,1987-09-23 18:54:31.000000,N,B,T,1974-12-27 02:40:13.000000,B,I,S
31,1981-04-27 21:59:31.000000,31,31,1986-10-23 11:29:33.000000,31,N,H,31.0000000,31.0000000,31.00000000000000000000,31.00000000000000000000,1998-04-22 00:36:36.000000,31.0000000,M,2021-05-04 22:20:43.000000,1973-05-16,2009-08-28 18:22:03.000000,T,C,U,2001-02-19 12:45:36.000000,B,G,T
32,1983-11-07 11:14:24.000000,32,32,1973-11-22 19:33:34.000000,32,Z,S,32.0000000,32.0000000,32.00000000000000000000,32.00000000000000000000,2009-08-29 09:14:40.000000,32.0000000,D,1973-03-30 16:47:03.000000,2015-11-02,1995-08-21 23:27:38.000000,B,M,A,1977-11-23 08:15:10.000000,N,B,T
33,2009-01-14 19:37:22.000000,33,33,1994-11-30 05:18:03.000000,33,M,B,33.0000000,33.0000000,33.00000000000000000000,33.00000000000000000000,1974-07-22 11:47:41.000000,33.0000000,L,2007-02-15 18:01:41.000000,1987-12-07,1973-11-19 05:49:19.000000,K,I,L,1976-01-27 07:37:38.000000,N,U,A
34,1976-08-02 02:45:36.000000,34,34,2008-08-14 09:03:27.000000,34,K,S,34.0000000,34.0000000,34.00000000000000000000,34.00000000000000000000,2006-11-20 16:30:13.000000,34.0000000,G,2021-09-14 19:48:44.000000,2009-03-09,2005-07-18 17:43:09.000000,V,C,N,2018-02-09 18:47:06.000000,A,N,I
35,2006-09-01 08:21:43.000000,35,35,1985-07-04 22:37:58.000000,35,E,E,35.0000000,35.0000000,35.00000000000000000000,35.00000000000000000000,1971-06-03 16:57:49.000000,35.0000000,S,2008-09-23 13:20:30.000000,1982-04-21,2003-12-24 20:07:25.000000,B,L,R,1994-12-16 23:05:35.000000,M,B,M
36,2011-11-19 22:08:30.000000,36,36,1984-10-31 08:54:07.000000,36,S,L,36.0000000,36.0000000,36.00000000000000000000,36.00000000000000000000,1992-09-20 15:00:35.000000,36.0000000,A,2008-11-20 01:06:24.000000,1983-12-07,2011-06-22 05:30:21.000000,V,L,S,2004-01-11 07:45:27.000000,E,C,M
37,2013-06-28 13:34:52.000000,37,37,2005-07-22 12:33:29.000000,37,T,S,37.0000000,37.0000000,37.00000000000000000000,37.00000000000000000000,1983-01-06 10:30:45.000000,37.0000000,N,1994-08-10 05:35:40.000000,2014-04-25,2017-11-24 01:44:59.000000,L,V,K,2022-12-21 19:07:05.000000,L,G,T
38,2008-06-15 13:11:52.000000,38,38,1970-06-16 02:43:25.000000,38,K,P,38.0000000,38.0000000,38.00000000000000000000,38.00000000000000000000,2004-06-04 23:42:03.000000,38.0000000,C,1988-12-19 11:09:37.000000,2001-11-15,2001-10-05 22:52:20.000000,N,L,A,1980-10-08 21:50:03.000000,T,H,S
39,2013-07-29 08:10:30.000000,39,39,2004-11-29 07:30:05.000000,39,B,G,39.0000000,39.0000000,39.00000000000000000000,39.00000000000000000000,2008-07-26 16:51:51.000000,39.0000000,K,2010-10-13 06:18:50.000000,1987-11-30,2004-04-17 01:34:06.000000,K,B,D,2002-08-17 18:12:37.000000,S,M,N
40,2021-01-12 21:55:06.000000,40,40,2004-07-29 06:41:19.000000,40,J,S,40.0000000,40.0000000,40.00000000000000000000,40.00000000000000000000,1974-08-29 12:02:33.000000,40.0000000,U,1976-02-07 12:36:12.000000,1994-12-16,1999-02-19 04:51:41.000000,D,I,T,1985-07-12 11:58:42.000000,B,T,B
41,1991-11-22 02:48:24.000000,41,41,1991-11-16 04:52:20.000000,41,R,B,41.0000000,41.0000000,41.00000000000000000000,41.00000000000000000000,1982-09-30 22:13:17.000000,41.0000000,V,1976-01-02 22:41:02.000000,2005-07-28,1975-10-20 19:55:22.000000,I,A,Q,1993-12-26 14:25:23.000000,P,R,T
42,2004-09-30 03:15:06.000000,42,42,2020-08-29 14:34:57.000000,42,J,U,42.0000000,42.0000000,42.00000000000000000000,42.00000000000000000000,1994-02-22 09:16:23.000000,42.0000000,S,2023-01-12 13:32:57.000000,2009-08-06,2013-10-05 12:00:30.000000,S,Q,A,1979-11-08 17:07:54.000000,C,V,B
43,1997-10-21 05:02:48.000000,43,43,1975-03-06 00:41:19.000000,43,C,I,43.0000000,43.0000000,43.00000000000000000000,43.00000000000000000000,2018-12-08 05:01:10.000000,43.0000000,P,2002-05-19 01:02:26.000000,1981-06-21,2016-05-05 04:49:45.000000,L,M,F,1993-11-04 13:12:45.000000,Y,L,R
44,2013-05-18 22:58:00.000000,44,44,1975-12-07 07:46:23.000000,44,I,S,44.0000000,44.0000000,44.00000000000000000000,44.00000000000000000000,1991-05-19 12:55:04.000000,44.0000000,A,2001-11-14 13:38:36.000000,1993-01-07,1993-12-29 23:38:44.000000,B,L,M,1997-10-25 00:23:41.000000,I,C,G
45,1981-08-10 07:47:41.000000,45,45,2021-01-13 23:48:01.000000,45,T,K,45.0000000,45.0000000,45.00000000000000000000,45.00000000000000000000,2000-05-02 21:06:24.000000,45.0000000,K,1974-11-09 19:38:39.000000,1987-06-14,2011-04-21 09:25:23.000000,D,B,B,2000-01-31 08:56:37.000000,C,C,S
46,1980-02-21 06:54:12.000000,46,46,1980-08-15 21:16:47.000000,46,B,T,46.0000000,46.0000000,46.00000000000000000000,46.00000000000000000000,1990-01-16 16:31:54.000000,46.0000000,N,2013-07-30 10:34:42.000000,1990-11-15,1991-05-25 07:10:40.000000,S,K,B,1981-09-27 07:31:13.000000,L,L,G
47,1993-08-23 19:40:06.000000,47,47,1981-09-10 07:47:34.000000,47,C,C,47.0000000,47.0000000,47.00000000000000000000,47.00000000000000000000,2002-02-04 22:54:03.000000,47.0000000,I,2014-04-25 10:46:54.000000,1971-09-20,1970-12-27 21:19:19.000000,K,S,G,1986-11-06 23:22:10.000000,C,U,E
48,1998-01-28 04:00:33.000000,48,48,2012-06-02 20:40:55.000000,48,F,M,48.0000000,48.0000000,48.00000000000000000000,48.00000000000000000000,1994-07-09 15:05:52.000000,48.0000000,C,1994-11-22 14:53:36.000000,1987-12-22,2006-04-16 19:03:36.000000,T,P,P,2010-07-22 00:48:54.000000,B,D,N
49,2014-11-13 22:32:53.000000,49,49,1988-10-17 13:54:13.000000,49,T,K,49.0000000,49.0000000,49.00000000000000000000,49.00000000000000000000,2006-11-20 14:54:42.000000,49.0000000,K,2016-05-11 04:12:43.000000,2010-01-30,1974-09-23 18:52:37.000000,L,U,S,2020-12-02 14:41:49.000000,P,A,A
50,1992-05-07 19:37:03.000000,50,50,2011-07-22 06:41:18.000000,50,D,A,50.0000000,50.0000000,50.00000000000000000000,50.00000000000000000000,1997-01-19 07:17:28.000000,50.0000000,P,1986-09-26 17:17:05.000000,1985-10-28,1981-12-07 11:43:03.000000,R,H,Z,1976-07-19 13:39:24.000000,I,A,S
51,1987-08-17 22:23:47.000000,51,51,2016-05-26 11:23:57.000000,51,E,N,51.0000000,51.0000000,51.00000000000000000000,51.00000000000000000000,2011-08-30 13:50:32.000000,51.0000000,L,2006-11-07 06:39:06.000000,1996-09-05,2012-05-07 04:08:00.000000,M,U,I,1997-10-08 11:48:08.000000,L,A,R
52,1997-03-26 14:22:26.000000,52,52,2001-12-28 01:56:58.000000,52,T,S,52.0000000,52.0000000,52.00000000000000000000,52.00000000000000000000,1993-07-07 01:26:14.000000,52.0000000,T,2008-12-24 07:41:38.000000,1987-06-18,2008-07-20 05:53:38.000000,I,U,R,2011-06-04 20:35:20.000000,C,K,Z
53,2003-07-15 00:01:55.000000,53,53,2002-04-18 20:30:31.000000,53,S,C,53.0000000,53.0000000,53.00000000000000000000,53.00000000000000000000,1983-02-04 20:31:03.000000,53.0000000,S,1988-10-08 20:49:19.000000,1988-10-15,2004-09-21 19:37:12.000000,G,L,C,2014-08-07 19:42:25.000000,L,M,M
54,1971-01-06 16:16:33.000000,54,54,1995-03-06 06:40:32.000000,54,K,T,54.0000000,54.0000000,54.00000000000000000000,54.00000000000000000000,1981-05-20 12:39:02.000000,54.0000000,P,1999-02-21 17:53:19.000000,1986-01-13,1987-10-31 04:58:46.000000,C,E,K,1996-07-14 21:04:55.000000,E,E,U
55,1970-12-02 14:35:32.000000,55,55,1979-12-23 04:25:57.000000,55,C,A,55.0000000,55.0000000,55.00000000000000000000,55.00000000000000000000,2014-10-02 20:14:42.000000,55.0000000,M,1982-06-27 20:43:36.000000,1974-11-21,1974-07-29 03:22:41.000000,I,D,K,2011-05-03 12:11:24.000000,M,U,H
56,1976-02-25 08:20:24.000000,56,56,2008-12-19 07:57:10.000000,56,A,N,56.0000000,56.0000000,56.00000000000000000000,56.00000000000000000000,1985-11-29 20:00:23.000000,56.0000000,B,2006-08-03 00:48:00.000000,2011-06-27,1985-05-03 16:42:12.000000,N,N,S,2011-12-07 15:37:47.000000,G,C,F
