uuid_query,date_stamp,asset_id,asset_isin,pos_curry,asset_name,maa_lvl_01_sort,maa_lvl_01_hobs_tag,maa_lvl_01_sort_alpha,maa_lvl_01_name,maa_lvl_01_intl_id,maa_lvl_02_sort,maa_lvl_02_hobs_tag,maa_lvl_02_sort_alpha,maa_lvl_02_name,maa_lvl_02_intl_id,maa_lvl_03_sort,maa_lvl_03_hobs_tag,maa_lvl_03_sort_alpha,maa_lvl_03_name,maa_lvl_03_intl_id,sp_rating,moody_rating,fitch_rating,asset_ccy,msci_industry_name,msci_industry_grp_name,msci_sector_name,msci_region_name
0,2018-09-14,I,U,K,T,B,0,G,P,I,C,0,M,P,N,T,0,L,S,G,U,A,C,M,P,M,P,E
1,1991-09-24,S,A,P,C,H,1,H,Z,V,C,1,K,A,F,B,1,C,G,I,M,C,B,Q,S,K,H,I
2,1983-05-17,H,L,I,M,B,2,T,Q,C,M,2,N,E,S,C,2,C,V,M,P,P,T,S,T,D,S,K
3,2007-04-26,P,D,A,A,E,3,A,M,H,B,3,B,N,R,A,3,G,P,S,C,T,G,U,T,C,C,L
4,2011-04-13,L,N,T,T,D,4,A,P,T,C,4,L,E,T,T,4,A,R,M,A,O,D,B,S,R,I,E
5,2013-06-17,G,S,F,B,O,5,N,I,Z,G,5,T,C,G,C,5,M,A,T,R,L,L,U,K,G,G,P
6,1985-05-04,L,S,B,D,P,6,M,C,I,C,6,S,B,L,P,6,L,V,M,Z,L,K,Z,Z,I,S,S
7,2017-12-29,A,A,M,I,K,7,C,F,B,B,7,C,B,L,L,7,K,T,Z,G,S,T,E,P,K,G,D
8,2019-09-19,C,C,S,G,U,8,M,P,M,B,8,C,C,T,G,8,D,N,T,F,M,S,M,S,B,G,T
9,1992-08-27,R,C,M,F,T,9,G,I,S,G,9,T,F,C,S,9,H,S,T,A,E,W,S,F,G,B,B
10,1988-03-05,G,B,G,V,M,10,S,L,M,L,10,R,M,T,M,10,M,R,G,K,I,E,V,S,K,S,L
11,2016-01-27,G,L,G,B,A,11,M,Z,L,S,11,T,M,V,P,11,B,Y,A,B,A,J,A,B,G,M,L
12,2000-01-31,L,T,T,C,S,12,B,G,I,L,12,M,T,T,A,12,A,D,E,B,P,K,G,M,S,S,K
13,1978-07-24,N,U,T,I,H,13,C,A,B,I,13,U,S,T,C,13,B,S,A,L,A,S,G,C,P,B,C
14,2011-08-31,I,C,C,K,M,14,Z,T,A,I,14,B,K,G,M,14,A,B,C,B,P,B,C,C,T,K,F
15,2020-03-10,N,L,I,P,P,15,B,B,T,S,15,G,G,K,T,15,C,T,S,B,U,M,E,L,B,H,D
16,2011-12-31,M,P,A,U,L,16,B,R,P,S,16,A,T,Z,B,16,R,A,T,E,P,G,G,V,T,S,G
17,1991-07-15,C,L,T,K,M,17,T,D,S,F,17,S,C,E,M,17,B,P,S,D,B,N,Z,E,S,V,C
18,2020-07-20,K,H,L,A,M,18,C,K,B,U,18,M,F,N,L,18,G,V,M,B,C,B,N,K,T,G,L
19,1989-03-07,K,C,T,M,H,19,T,V,S,S,19,L,N,T,C,19,I,V,M,C,M,R,C,P,B,P,K
20,1992-02-26,M,I,L,G,M,20,K,N,D,T,20,G,C,S,B,20,K,B,G,C,F,S,I,T,C,G,N
21,1995-11-19,L,M,F,B,L,21,P,Z,L,M,21,B,T,S,T,21,E,S,L,M,I,A,M,J,A,N,S
22,1975-09-15,S,L,A,S,S,22,E,C,Z,G,22,D,I,B,I,22,P,K,S,C,M,I,M,C,K,C,B
23,1986-07-14,C,C,G,C,A,23,G,I,G,S,23,C,G,L,B,23,J,H,G,C,G,I,M,S,K,E,G
24,2007-04-09,T,G,K,A,T,24,S,S,E,G,24,S,I,K,B,24,G,S,B,S,S,T,G,S,P,C,I
25,1996-05-13,N,G,B,T,U,25,S,L,L,B,25,I,T,T,H,25,D,T,L,L,D,A,B,A,B,V,D
26,1990-01-05,C,C,C,C,G,26,M,A,A,C,26,P,C,U,T,26,C,C,G,K,Y,R,S,K,I,I,E
27,2020-08-13,G,K,N,M,I,27,E,S,M,B,27,A,N,E,T,27,S,F,G,V,O,A,S,A,M,A,M
28,2005-04-22,G,M,A,C,M,28,H,T,H,M,28,S,G,R,D,28,C,A,I,C,M,P,M,I,I,P,C
29,2013-12-24,Z,K,D,M,M,29,K,A,V,B,29,T,E,M,A,29,P,I,M,P,M,T,R,K,T,S,P
30,2002-04-13,G,L,U,N,M,30,M,O,T,L,30,P,B,Y,T,30,G,H,L,S,C,K,G,L,U,S,E
31,2009-10-21,R,S,C,C,P,31,C,L,T,M,31,G,P,D,B,31,L,N,M,A,T,I,N,C,F,L,F
32,2004-02-22,C,S,V,C,U,32,P,V,B,C,32,L,B,S,M,32,S,L,A,P,C,F,I,B,S,S,N
33,2000-06-10,N,S,S,A,R,33,I,I,T,E,33,A,C,M,F,33,M,U,G,K,T,H,G,T,S,F,G
34,1989-10-21,O,B,B,B,L,34,P,D,C,L,34,K,K,G,T,34,U,C,B,D,R,B,B,B,A,B,R
35,2001-01-26,T,G,E,M,R,35,S,T,T,E,35,M,C,B,R,35,L,H,P,Z,M,B,K,T,T,G,T
36,2003-10-08,G,T,P,H,A,36,R,N,B,L,36,R,S,K,I,36,G,S,N,B,V,M,E,T,A,U,C
37,2012-09-30,E,T,B,L,V,37,B,A,I,G,37,I,H,K,F,37,V,P,I,A,B,C,M,B,E,S,Y
38,2008-08-13,P,A,T,N,I,38,L,G,L,M,38,P,M,E,R,38,G,A,B,A,N,C,G,E,B,Q,L
39,1996-11-18,M,U,M,U,L,39,S,G,M,A,39,P,U,M,M,39,B,S,T,N,Z,B,M,L,E,V,M
40,2022-06-06,B,D,A,N,M,40,T,I,T,T,40,P,S,C,S,40,Y,T,S,D,S,C,I,L,U,C,P
41,1993-01-22,G,A,Y,V,I,41,M,I,P,P,41,G,S,B,T,41,T,Z,I,C,I,B,D,G,S,N,B
42,2004-10-01,P,A,V,S,V,42,S,D,L,Z,42,L,T,L,T,42,A,G,P,I,A,I,H,H,B,C,G
43,1995-07-09,Z,B,Z,C,W,43,S,M,P,N,43,A,L,T,B,43,T,S,C,E,D,S,P,L,Z,I,T
44,1982-09-29,B,M,N,F,B,44,C,G,M,E,44,B,T,S,B,44,S,R,S,A,M,A,C,E,F,C,V
45,1999-07-18,J,M,D,B,L,45,E,M,T,R,45,S,A,B,P,45,C,P,V,D,V,T,H,S,G,B,Z
46,2005-10-07,T,W,B,G,D,46,C,S,P,E,46,C,H,A,C,46,T,J,L,S,B,R,G,W,T,N,H
47,1991-08-04,M,M,L,A,P,47,N,S,U,G,47,I,T,M,C,47,S,G,B,S,B,Q,H,D,I,I,T
48,1987-03-23,E,S,A,B,V,48,T,A,S,I,48,M,K,M,V,48,E,S,S,K,B,S,G,B,L,I,B
49,2014-09-18,R,W,A,E,M,49,C,G,G,R,49,I,G,C,P,49,M,G,I,P,N,U,G,P,P,H,I
50,1992-01-07,S,B,S,P,P,50,R,S,V,I,50,C,G,B,M,50,G,I,G,S,R,T,T,Z,C,E,H
51,1973-08-30,M,A,B,A,B,51,I,A,K,I,51,F,D,V,M,51,W,S,N,V,C,C,E,F,R,M,Y
52,1997-06-20,B,R,E,B,I,52,N,M,G,I,52,Q,G,T,B,52,B,S,J,M,E,B,M,C,A,K,D
53,1988-11-25,L,P,Z,C,K,53,G,S,T,S,53,N,C,A,A,53,Z,C,Z,S,M,M,P,T,S,B,S
54,2005-12-22,G,A,A,C,I,54,S,M,F,C,54,P,B,C,G,54,L,C,J,B,A,I,H,V,L,B,T
55,2019-03-27,W,S,A,T,D,55,C,D,N,I,55,A,I,M,T,55,D,L,S,M,Z,L,M,F,C,M,I
56,2018-11-11,S,C,A,P,D,56,S,D,E,D,56,I,S,T,N,56,M,P,L,B,M,A,B,M,V,V,U
57,1991-07-31,F,L,B,N,S,57,B,S,M,S,57,K,A,B,A,57,T,N,V,I,V,M,H,V,C,H,R
58,1975-12-10,B,L,C,E,I,58,B,G,G,L,58,G,G,V,M,58,I,G,K,A,G,T,T,K,D,M,B
59,1979-10-11,B,C,Z,A,S,59,S,A,Q,Z,59,B,C,M,C,59,P,R,M,H,C,M,S,K,T,T,Y
60,1972-11-18,Z,A,R,D,W,60,T,S,I,T,60,S,M,M,T,60,L,E,S,C,B,R,H,I,M,S,T
61,1995-05-31,S,T,B,U,L,61,M,R,B,K,61,I,N,R,N,61,A,Z,A,K,G,C,D,N,S,Q,B
62,1971-07-11,V,C,H,H,K,62,D,M,B,V,62,F,G,J,K,62,D,B,C,L,A,M,B,S,B,S,P
63,2019-02-23,I,Z,N,G,R,63,G,A,U,I,63,G,B,I,Y,63,M,I,T,T,D,T,A,G,A,C,M
