uuid_query,date_stamp,cont_nr,ref_ccy,adv_pm,adv_pm_team,resp_rm,resp_rm_team,bp_nr,bp_ccy,mngt_prof_name,mngt_prof_intl_id,busi_type_intl_id,busi_type_name,risk_prof_intl_id,risk_prof_name,ptf_type_intl_id,ptf_type_name,kpi_risk_profile_lvl,apt_var
0,1996-03-16,T,B,S,S,L,P,U,E,T,B,B,S,R,M,V,S,,0.00
1,2016-06-13,M,T,N,I,J,K,G,G,K,D,G,I,C,S,S,G,,1.00
2,1972-08-23,S,T,B,K,A,S,L,C,S,C,S,B,F,B,M,G,,2.00
3,2000-04-20,V,N,T,D,U,I,U,Q,N,N,V,C,A,C,M,T,,3.00
4,1990-05-27,A,G,T,T,E,V,N,C,V,C,P,G,M,M,C,S,,4.00
5,1970-04-26,C,C,L,B,S,T,V,V,T,Y,K,A,N,I,N,B,,5.00
6,1993-07-06,P,M,S,S,L,K,M,N,M,M,T,P,C,Z,S,R,,6.00
7,1979-04-02,G,C,B,S,L,L,M,M,J,C,H,I,F,H,S,V,,7.00
8,2011-08-18,A,M,Z,K,C,B,Z,C,C,C,P,M,B,L,S,F,,8.00
9,1995-07-14,H,G,U,M,S,B,L,B,T,D,L,M,R,C,C,V,,9.00
10,2021-07-06,J,P,B,C,M,S,M,E,I,N,S,P,A,C,D,P,,10.00
11,2007-10-04,A,M,M,A,H,H,I,A,M,R,K,S,S,K,C,B,,11.00
12,1975-05-28,Q,N,J,M,K,N,M,M,M,N,T,K,S,K,T,N,,12.00
13,1987-08-13,P,I,C,G,T,S,M,B,A,T,S,V,S,D,N,I,,13.00
14,1973-04-21,S,K,N,Z,F,C,S,B,P,C,L,I,C,F,H,E,,14.00
15,1999-08-11,K,S,I,T,I,B,S,C,B,T,U,C,J,B,T,E,,15.00
16,1974-03-18,U,I,D,G,V,M,N,C,G,T,G,G,J,M,M,S,,16.00
17,1983-02-01,I,M,A,P,R,B,A,M,A,V,F,B,P,C,N,A,,17.00
18,2013-03-07,M,A,E,K,B,J,C,T,T,K,J,R,S,A,I,N,,18.00
19,2004-06-29,D,L,N,S,C,A,J,G,U,N,G,S,B,C,T,S,,19.00
20,2023-03-06,G,B,E,S,M,P,S,M,I,M,G,T,N,C,G,B,,20.00
21,1972-07-20,F,P,U,B,K,T,P,R,A,H,A,V,M,D,P,A,,21.00
22,2000-08-01,S,M,W,Z,D,S,B,V,H,K,C,V,D,P,G,C,,22.00
23,1973-01-14,K,M,H,G,G,M,J,L,C,D,I,B,D,K,N,S,,23.00
24,1989-01-05,T,K,C,B,A,I,R,S,T,M,T,A,L,H,T,G,,24.00
25,2011-03-31,M,A,Y,E,G,C,T,G,V,C,S,A,K,G,A,N,,25.00
26,2022-06-08,K,B,R,V,S,M,K,A,T,A,E,S,S,S,M,F,,26.00
27,1973-06-26,E,V,B,B,C,A,A,P,T,V,C,V,S,Q,S,L,,27.00
28,1978-02-13,K,C,K,H,D,M,M,B,M,K,T,N,K,N,N,B,,28.00
29,2013-09-26,L,B,S,T,T,G,S,K,Z,T,S,N,B,M,K,B,,29.00
30,2023-01-15,P,D,M,B,K,B,C,G,S,M,G,P,N,G,S,Z,,30.00
31,2000-07-08,T,R,T,S,I,P,N,P,C,U,G,R,C,B,M,P,,31.00
32,2009-05-04,S,Z,G,N,M,M,E,S,C,U,E,S,E,B,M,K,,32.00
33,2006-08-12,C,S,I,P,M,S,Z,M,W,V,M,V,C,U,T,P,,33.00
34,1987-11-05,A,K,M,T,K,U,M,M,C,S,N,L,N,G,T,A,,34.00
35,1993-01-04,K,P,L,P,B,B,T,C,P,N,K,K,D,L,B,I,,35.00
36,2001-11-03,T,B,M,B,P,K,N,C,I,E,P,G,U,K,Q,P,,36.00
37,2019-08-12,C,A,S,T,N,A,E,T,M,P,E,U,G,E,O,Q,,37.00
38,1973-02-10,S,G,S,G,N,N,T,T,P,T,G,C,T,N,A,I,,38.00
39,1999-01-02,T,M,L,V,A,G,B,N,C,Z,T,M,F,O,B,C,,39.00
40,2001-08-14,T,L,I,C,P,V,A,I,B,S,S,E,T,A,I,R,,40.00
41,2019-07-01,M,G,B,R,V,C,S,S,I,N,D,C,M,I,C,K,,41.00
42,1992-07-11,B,G,K,O,T,T,R,F,V,T,S,I,Z,E,F,T,,42.00
43,1980-02-03,V,L,I,M,T,U,B,S,C,T,D,V,C,C,Q,P,,43.00
44,1983-11-02,M,D,B,G,W,T,P,E,F,B,I,M,Y,B,V,G,,44.00
45,2018-01-19,A,K,W,M,C,D,K,S,L,M,B,E,M,T,O,O,,45.00
46,1991-04-05,N,Z,G,K,T,A,B,S,S,M,G,A,M,U,T,L,,46.00
47,1982-12-21,E,Z,C,M,L,P,M,I,M,T,T,A,T,M,E,V,,47.00
48,2012-10-02,M,H,H,K,Z,G,K,L,U,T,V,C,H,M,M,S,,48.00
49,2015-09-24,P,U,A,T,N,B,C,N,L,Z,L,Z,I,U,M,L,,49.00
50,2011-01-18,U,G,J,K,T,A,M,U,Z,C,L,E,B,S,W,Y,,50.00
51,1999-09-06,A,T,P,K,N,C,P,A,T,U,Y,K,C,M,T,B,,51.00
52,2014-01-20,M,M,C,S,S,P,A,S,H,B,P,P,T,G,B,S,,52.00
53,2009-10-16,M,S,V,C,J,V,F,K,E,E,J,I,P,J,C,T,,53.00
54,1986-01-14,S,Z,B,S,D,P,U,S,C,G,M,L,C,G,B,U,,54.00
