uuid_query,date_stamp,perf_level,period_sop_day,period_eop,cont_nr,asset_id,twrr_net_day_cumul,twrr_gross_day_cumul,twrr_contri_net_day_cumul,twrr_contri_gross_day_cumul,twrr_contri_cap_eff_net_day_cumul,twrr_contri_ccy_eff_net_day_cumul,twrr_contri_inc_eff_net_day_cumul,twrr_contri_taxfee_eff_net_day_cumul,twrr_contri_taxrec_eff_net_day_cumul,twrr_contri_res_eff_net_day_cumul,vol_on_return,vol_on_contrib,maxdd,sop_mkt_val_cont_day,eop_mkt_val,gain_day,real_unreal_pl_day,aic_day,aic_day_ptf,weight,ncf_net_day,ncf_gross_day,twrr_net_day,twrr_gross_day,twrr_cap_eff_net_day,twrr_ccy_eff_net_day,twrr_inc_eff_net_day,twrr_taxfee_eff_net_day,twrr_taxrec_eff_net_day,twrr_res_eff_net_day,twrr_contri_net_day,twrr_contri_gross_day,twrr_contri_cap_eff_net_day,twrr_contri_ccy_eff_net_day,twrr_contri_inc_eff_net_day,twrr_contri_taxfee_eff_net_day,twrr_contri_taxrec_eff_net_day,twrr_contri_res_eff_net_day,cf_fees_day,cf_nrtax_day,cf_rtax_day,cf_tax_day,cf_nnm_day,cf_purch_day,cf_sale_day,cf_rdmpt_day,cf_income_day,cf_cost_day,cf_exp_day
0,2009-05-29,0,2009-02-07,2008-12-10,B,N,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.000000,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0,0
1,1975-08-14,1,2002-04-09,2020-03-10,T,Z,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.000000,1.00,1.000000,1.00,1.00,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.00,1.00,1.00,1.00,1.00,1,1,1,1.00,1,1
2,1981-05-02,2,1998-03-21,2017-05-15,M,I,,,,,,,,,,,,,,2.00,2.00,2.00,2.00,2.000000,2.00,2.000000,2.00,2.00,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.00,2.00,2.00,2.00,2.00,2,2,2,2.00,2,2
3,2017-08-04,3,1985-12-30,1975-08-29,A,L,,,,,,,,,,,,,,3.00,3.00,3.00,3.00,3.000000,3.00,3.000000,3.00,3.00,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.00,3.00,3.00,3.00,3.00,3,3,3,3.00,3,3
4,2014-02-24,4,2013-09-14,1988-09-17,M,A,,,,,,,,,,,,,,4.00,4.00,4.00,4.00,4.000000,4.00,4.000000,4.00,4.00,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.00,4.00,4.00,4.00,4.00,4,4,4,4.00,4,4
5,2018-11-16,5,2003-02-11,1988-09-26,B,K,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.000000,5.00,5.000000,5.00,5.00,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.00,5.00,5.00,5.00,5.00,5,5,5,5.00,5,5
6,1977-07-03,6,2001-06-28,2017-01-05,V,L,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,6.000000,6.00,6.000000,6.00,6.00,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.00,6.00,6.00,6.00,6.00,6,6,6,6.00,6,6
7,2007-03-03,7,2008-12-28,1994-03-30,T,C,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.000000,7.00,7.000000,7.00,7.00,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.00,7.00,7.00,7.00,7.00,7,7,7,7.00,7,7
8,1973-06-22,8,1991-10-02,2021-08-20,L,C,,,,,,,,,,,,,,8.00,8.00,8.00,8.00,8.000000,8.00,8.000000,8.00,8.00,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.00,8.00,8.00,8.00,8.00,8,8,8,8.00,8,8
9,2010-09-16,9,2002-07-24,2010-02-17,L,K,,,,,,,,,,,,,,9.00,9.00,9.00,9.00,9.000000,9.00,9.000000,9.00,9.00,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.00,9.00,9.00,9.00,9.00,9,9,9,9.00,9,9
10,1993-06-13,10,1975-05-03,1973-12-27,R,U,,,,,,,,,,,,,,10.00,10.00,10.00,10.00,10.000000,10.00,10.000000,10.00,10.00,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.00,10.00,10.00,10.00,10.00,10,10,10,10.00,10,10
11,2005-09-30,11,2014-08-31,1998-07-16,L,E,,,,,,,,,,,,,,11.00,11.00,11.00,11.00,11.000000,11.00,11.000000,11.00,11.00,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.00,11.00,11.00,11.00,11.00,11,11,11,11.00,11,11
12,2000-11-12,12,1976-04-28,1984-08-10,G,L,,,,,,,,,,,,,,12.00,12.00,12.00,12.00,12.000000,12.00,12.000000,12.00,12.00,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.00,12.00,12.00,12.00,12.00,12,12,12,12.00,12,12
13,2012-03-11,13,1988-06-13,1985-03-24,D,L,,,,,,,,,,,,,,13.00,13.00,13.00,13.00,13.000000,13.00,13.000000,13.00,13.00,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.00,13.00,13.00,13.00,13.00,13,13,13,13.00,13,13
14,1994-11-01,14,2008-02-14,2005-08-16,A,T,,,,,,,,,,,,,,14.00,14.00,14.00,14.00,14.000000,14.00,14.000000,14.00,14.00,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.00,14.00,14.00,14.00,14.00,14,14,14,14.00,14,14
15,2008-06-28,15,1985-12-05,1985-03-23,G,C,,,,,,,,,,,,,,15.00,15.00,15.00,15.00,15.000000,15.00,15.000000,15.00,15.00,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.00,15.00,15.00,15.00,15.00,15,15,15,15.00,15,15
16,1994-07-26,16,2011-05-31,1978-12-31,B,S,,,,,,,,,,,,,,16.00,16.00,16.00,16.00,16.000000,16.00,16.000000,16.00,16.00,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.00,16.00,16.00,16.00,16.00,16,16,16,16.00,16,16
