uuid_query,date_stamp,cont_nr,kpi_risk_profile_lvl,apt_var,asset_id,asset_isin,asset_ccy,asset_name,maturity_date,maa_lvl_01_sort,maa_lvl_01_name,maa_lvl_02_sort,maa_lvl_02_name,maa_lvl_03_sort,maa_lvl_03_name,perf_level,period_sop_day,period_eop,twrr_net_day_cumul,twrr_contri_net_day_cumul,twrr_contri_cap_eff_net_day_cumul,twrr_contri_ccy_eff_net_day_cumul,twrr_contri_inc_eff_net_day_cumul,twrr_contri_taxfee_eff_net_day_cumul,twrr_contri_taxrec_eff_net_day_cumul,eop_mkt_val,ncf_net_day,twrr_contri_net_day,curr_price,gross_mkt_val_cont,net_mkt_val_cont,pos_ccy,pos_id,pos_split_category,pos_split_id,pos_type_id,pos_wgt,qty,ref_date,root_pos_id,ass_mifid_risclass_val,mkt_exp
0,1981-09-01,M,,0.00,M,S,F,G,1973-05-13,N,A,A,I,N,G,0,1983-06-26,1980-01-15,,,,,,,,0.00,0.00,0.000000,0.000000000000,0.00,0.00,V  ,0,0,0,0,0.00000000000000000000,0.0000000,W,0,0,0.0000000
1,1984-03-06,A,,1.00,M,L,M,C,1974-01-18,A,S,F,A,K,N,1,2011-02-05,2007-01-01,,,,,,,,1.00,1.00,1.000000,1.000000000000,1.00,1.00,G  ,1,1,1,1,1.00000000000000000000,1.0000000,B,1,1,1.0000000
2,1989-09-03,K,,2.00,S,B,R,N,1999-05-23,P,E,I,Y,C,K,2,2017-09-17,1984-10-29,,,,,,,,2.00,2.00,2.000000,2.000000000000,2.00,2.00,B  ,2,2,2,2,2.00000000000000000000,2.0000000,C,2,2,2.0000000
3,1982-10-07,N,,3.00,U,L,M,T,2005-02-05,B,S,E,C,B,A,3,2005-08-23,2010-08-19,,,,,,,,3.00,3.00,3.000000,3.000000000000,3.00,3.00,S  ,3,3,3,3,3.00000000000000000000,3.0000000,V,3,3,3.0000000
4,1977-05-26,A,,4.00,L,G,Z,G,1992-09-30,R,M,A,T,I,D,4,1982-01-31,1975-04-15,,,,,,,,4.00,4.00,4.000000,4.000000000000,4.00,4.00,P  ,4,4,4,4,4.00000000000000000000,4.0000000,E,4,4,4.0000000
5,1989-08-20,N,,5.00,T,S,G,B,1986-02-21,M,G,M,M,N,S,5,2009-03-21,1996-11-19,,,,,,,,5.00,5.00,5.000000,5.000000000000,5.00,5.00,A  ,5,5,5,5,5.00000000000000000000,5.0000000,E,5,5,5.0000000
6,2021-02-28,K,,6.00,C,M,S,U,1984-08-16,A,G,L,H,Z,L,6,2015-05-08,1998-08-23,,,,,,,,6.00,6.00,6.000000,6.000000000000,6.00,6.00,U  ,6,6,6,6,6.00000000000000000000,6.0000000,M,6,6,6.0000000
7,2013-08-06,L,,7.00,S,L,J,B,1988-08-04,K,D,T,M,B,W,7,2013-12-31,1994-04-08,,,,,,,,7.00,7.00,7.000000,7.000000000000,7.00,7.00,M  ,7,7,7,7,7.00000000000000000000,7.0000000,L,7,7,7.0000000
8,2020-07-01,K,,8.00,T,D,B,D,1982-07-08,M,K,H,G,M,H,8,2021-05-18,1989-01-20,,,,,,,,8.00,8.00,8.000000,8.000000000000,8.00,8.00,C  ,8,8,8,8,8.00000000000000000000,8.0000000,S,8,8,8.0000000
9,1992-07-11,L,,9.00,T,I,W,D,2016-09-25,A,I,N,A,R,N,9,2001-08-18,1982-08-30,,,,,,,,9.00,9.00,9.000000,9.000000000000,9.00,9.00,C  ,9,9,9,9,9.00000000000000000000,9.0000000,B,9,9,9.0000000
