uuid_query,date_stamp,row_id,ref_date,bu_id,bu_ccy,bp_nr,cont_nr,cont_ccy,asset_id,asset_name,asset_group,asset_isin,maturity_date,ass_mifid_risclass_val,pos_id,pos_ccy,adj_pos_ccy,qty,net_mkt_val_cont,net_mkt_val_pos,net_mkt_val_bu,maa_lvl_1_sort_name,maa_lvl_2_sort_name,maa_lvl_3_sort_name,price_date,pos_wgt,root_pos_id,pos_type_id,pos_split_category,pos_split_id,bp_id,bp_ccy,cont_id,curr_price,pos_cont_ccy,gross_mkt_val_cont,gross_mkt_val_pos,gross_mkt_val_bu,is_split_view,is_non_split_view,pos_type_name,pos_split_name,mkt_exp
0,1997-11-02,0,N,0,L  ,C,R,U  ,0,C,D,R,M,0,0,A  ,C  ,0.0000000,0.0000000,0.0000000,0.0000000,I,B,L,1972-12-06,0.00000000000000000000,0,0,0,0,0,Z  ,0,0.000000000000,T      ,0.0000000,0.0000000,0.0000000,0,0,K,S,0.0000000
1,1993-03-04,1,M,1,T  ,C,V,L  ,1,S,Z,P,M,1,1,D  ,J  ,1.0000000,1.0000000,1.0000000,1.0000000,K,U,B,2001-12-02,1.00000000000000000000,1,1,1,1,1,A  ,1,1.000000000000,G      ,1.0000000,1.0000000,1.0000000,1,1,C,M,1.0000000
2,2001-03-07,2,U,2,A  ,A,L,E  ,2,B,M,A,I,2,2,S  ,U  ,2.0000000,2.0000000,2.0000000,2.0000000,S,V,A,2001-07-04,2.00000000000000000000,2,2,2,2,2,G  ,2,2.000000000000,P      ,2.0000000,2.0000000,2.0000000,2,2,V,M,2.0000000
3,1972-01-13,3,N,3,D  ,P,A,C  ,3,G,M,M,L,3,3,B  ,F  ,3.0000000,3.0000000,3.0000000,3.0000000,G,C,B,1988-01-20,3.00000000000000000000,3,3,3,3,3,M  ,3,3.000000000000,V      ,3.0000000,3.0000000,3.0000000,3,3,D,I,3.0000000
4,1985-11-22,4,P,4,B  ,N,A,B  ,4,F,M,R,U,4,4,B  ,U  ,4.0000000,4.0000000,4.0000000,4.0000000,B,B,B,1970-11-28,4.00000000000000000000,4,4,4,4,4,G  ,4,4.000000000000,L      ,4.0000000,4.0000000,4.0000000,4,4,P,F,4.0000000
5,2001-09-17,5,V,5,M  ,S,F,I  ,5,A,S,A,S,5,5,A  ,T  ,5.0000000,5.0000000,5.0000000,5.0000000,M,L,D,2007-01-27,5.00000000000000000000,5,5,5,5,5,L  ,5,5.000000000000,O      ,5.0000000,5.0000000,5.0000000,5,5,M,B,5.0000000
6,1977-12-03,6,B,6,I  ,I,P,S  ,6,F,S,B,H,6,6,P  ,S  ,6.0000000,6.0000000,6.0000000,6.0000000,P,G,J,1986-10-09,6.00000000000000000000,6,6,6,6,6,B  ,6,6.000000000000,E      ,6.0000000,6.0000000,6.0000000,6,6,S,T,6.0000000
7,2019-03-26,7,G,7,T  ,P,T,L  ,7,P,C,K,E,7,7,S  ,I  ,7.0000000,7.0000000,7.0000000,7.0000000,I,M,T,2000-05-18,7.00000000000000000000,7,7,7,7,7,B  ,7,7.000000000000,L      ,7.0000000,7.0000000,7.0000000,7,7,P,N,7.0000000
8,1987-09-20,8,G,8,D  ,P,H,L  ,8,B,P,K,R,8,8,N  ,P  ,8.0000000,8.0000000,8.0000000,8.0000000,S,K,U,2015-10-23,8.00000000000000000000,8,8,8,8,8,M  ,8,8.000000000000,U      ,8.0000000,8.0000000,8.0000000,8,8,P,A,8.0000000
9,2020-06-19,9,R,9,T  ,E,T,R  ,9,C,P,B,S,9,9,M  ,F  ,9.0000000,9.0000000,9.0000000,9.0000000,N,K,R,2014-09-25,9.00000000000000000000,9,9,9,9,9,V  ,9,9.000000000000,A      ,9.0000000,9.0000000,9.0000000,9,9,K,I,9.0000000
