dh_sys,ref_date,bp_id,cont_id,asset_id,pos_id,is_leverage_breach,is_concentration_breach,concentration_breach_type_id,concentration_breach_type_name,is_equities_concentration_breach,is_bonds_concentration_breach,is_debit_account,is_threedays_debit_account,is_unreco_asset,is_outside_invest_universe,is_cash_exposition_breach,is_near_maturities,is_bonds_quality_sp_rating_breach,is_bonds_quality_mdy_rating_breach,is_bonds_quality_fit_rating_breach,is_prifund,is_home_product,is_price_variation_1d_breach,is_price_variation_7d_breach,price_variation_minus_1d,price_variation_minus_7d,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
2009-08-18 13:56:53.000000,2008-01-12,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1978-07-05 21:49:25.000000,M,E,G,1972-04-18 02:29:23.000000,G,C,V
2005-09-28 00:43:36.000000,2009-11-07,1,1,1,1,1,1,1,N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.000000000000,1.000000000000,1977-07-22 10:20:48.000000,S,M,V,2007-11-18 02:30:58.000000,M,S,S
1980-12-06 08:13:21.000000,1977-04-03,2,2,2,2,2,2,2,P,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.000000000000,2.000000000000,2008-11-20 18:57:43.000000,K,M,G,1990-10-07 07:24:15.000000,M,T,U
2022-07-07 16:52:47.000000,1971-10-31,3,3,3,3,3,3,3,T,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.000000000000,3.000000000000,1985-09-22 04:53:24.000000,F,G,B,2019-09-10 20:21:25.000000,L,M,T
2001-02-15 14:52:04.000000,2022-02-19,4,4,4,4,4,4,4,B,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.000000000000,4.000000000000,1975-07-31 00:51:15.000000,P,P,C,2020-10-07 05:02:29.000000,I,H,P
2007-09-22 23:20:38.000000,2017-04-09,5,5,5,5,5,5,5,G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.000000000000,5.000000000000,2013-06-23 08:10:38.000000,S,P,H,2003-11-19 22:51:41.000000,I,B,K
1987-01-05 07:02:32.000000,1991-02-03,6,6,6,6,6,6,6,B,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.000000000000,6.000000000000,1978-03-23 10:49:36.000000,M,G,A,1979-03-27 21:09:18.000000,U,G,M
2001-10-22 21:25:28.000000,2019-06-05,7,7,7,7,7,7,7,C,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.000000000000,7.000000000000,2008-08-21 06:13:58.000000,G,A,P,2011-05-05 06:31:50.000000,C,A,V
2009-09-12 07:37:16.000000,2004-12-24,8,8,8,8,8,8,8,M,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.000000000000,8.000000000000,2011-02-07 17:16:52.000000,A,A,C,1976-07-02 16:16:35.000000,T,A,M
2015-11-25 10:51:37.000000,1979-12-08,9,9,9,9,9,9,9,M,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.000000000000,9.000000000000,1974-05-24 05:49:03.000000,B,P,T,2003-02-10 06:44:16.000000,L,N,U
2018-04-21 13:49:51.000000,1994-07-23,10,10,10,10,10,10,10,T,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.000000000000,10.000000000000,2011-05-18 04:22:44.000000,L,H,S,2019-11-11 05:43:13.000000,T,P,V
1978-11-03 21:16:16.000000,2016-10-31,11,11,11,11,11,11,11,R,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.000000000000,11.000000000000,2021-08-03 08:57:55.000000,M,M,K,2001-09-17 22:45:02.000000,B,C,S
1977-04-10 03:10:33.000000,1986-11-21,12,12,12,12,12,12,12,G,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.000000000000,12.000000000000,2005-04-18 21:47:36.000000,R,B,A,1972-01-21 12:45:09.000000,S,C,B
2011-01-09 11:50:28.000000,2009-07-02,13,13,13,13,13,13,13,M,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.000000000000,13.000000000000,1974-11-10 08:18:30.000000,C,M,U,1983-12-29 21:14:45.000000,M,B,T
1999-05-24 03:53:44.000000,2003-02-28,14,14,14,14,14,14,14,R,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.000000000000,14.000000000000,2003-10-04 08:15:50.000000,H,M,A,1978-12-31 03:45:03.000000,K,G,P
1994-04-01 21:22:54.000000,1998-09-10,15,15,15,15,15,15,15,S,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.000000000000,15.000000000000,1980-10-07 06:44:39.000000,G,N,M,2010-02-19 01:43:43.000000,P,P,B
1988-09-01 11:56:32.000000,1992-05-04,16,16,16,16,16,16,16,P,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16.000000000000,16.000000000000,1988-07-08 22:22:07.000000,A,S,T,1977-09-29 22:09:13.000000,I,I,E
2010-05-23 23:03:17.000000,1975-12-18,17,17,17,17,17,17,17,P,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17.000000000000,17.000000000000,1995-09-23 10:11:51.000000,K,T,M,2011-05-18 04:47:05.000000,K,I,M
1999-12-24 01:35:59.000000,2014-07-01,18,18,18,18,18,18,18,E,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.000000000000,18.000000000000,2008-05-25 05:54:05.000000,B,G,Q,2010-12-25 19:03:23.000000,L,L,K
1976-06-15 08:15:44.000000,1980-11-26,19,19,19,19,19,19,19,B,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.000000000000,19.000000000000,1996-01-02 10:20:44.000000,E,G,N,1971-08-13 10:13:31.000000,G,N,R
1972-10-06 20:44:47.000000,2019-11-30,20,20,20,20,20,20,20,C,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.000000000000,20.000000000000,1971-01-24 04:52:32.000000,M,M,A,1984-12-01 16:12:29.000000,I,T,L
1987-11-10 19:06:55.000000,1988-05-29,21,21,21,21,21,21,21,D,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21.000000000000,21.000000000000,2007-06-14 21:31:53.000000,S,S,S,2020-12-30 03:33:47.000000,K,P,T
2012-04-30 03:51:32.000000,2012-04-06,22,22,22,22,22,22,22,S,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.000000000000,22.000000000000,1983-06-08 22:49:16.000000,G,C,T,1975-10-05 14:25:47.000000,A,V,P
1993-10-27 21:08:03.000000,1977-08-01,23,23,23,23,23,23,23,C,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.000000000000,23.000000000000,1981-11-17 23:09:11.000000,S,U,B,1978-08-04 07:47:10.000000,T,D,M
1985-03-17 22:41:43.000000,2020-02-29,24,24,24,24,24,24,24,M,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.000000000000,24.000000000000,1990-01-05 00:15:00.000000,G,C,L,1997-03-28 11:17:15.000000,G,F,F
1998-06-30 06:26:55.000000,1978-03-31,25,25,25,25,25,25,25,C,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25.000000000000,25.000000000000,1978-04-03 07:39:52.000000,S,A,R,1990-04-05 06:03:35.000000,S,J,N
2003-06-24 18:14:27.000000,2017-10-25,26,26,26,26,26,26,26,C,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26.000000000000,26.000000000000,1998-06-30 16:55:52.000000,B,L,T,1983-12-30 04:24:52.000000,T,U,C
1986-02-05 00:05:02.000000,2019-05-08,27,27,27,27,27,27,27,B,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27.000000000000,27.000000000000,2018-09-13 07:37:07.000000,M,M,A,1972-01-11 18:58:28.000000,D,M,S
1982-06-15 13:29:48.000000,2005-11-10,28,28,28,28,28,28,28,K,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.000000000000,28.000000000000,1993-01-24 13:54:10.000000,L,C,B,1986-07-29 04:16:04.000000,S,H,G
2007-05-13 04:17:12.000000,1990-10-23,29,29,29,29,29,29,29,J,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29.000000000000,29.000000000000,1988-07-10 22:24:01.000000,G,C,P,1982-06-17 20:47:12.000000,L,G,B
2009-02-28 08:35:31.000000,2006-01-11,30,30,30,30,30,30,30,G,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30.000000000000,30.000000000000,1991-11-06 19:34:41.000000,R,P,M,1986-06-29 09:37:12.000000,P,A,S
2011-09-04 20:19:04.000000,2015-12-21,31,31,31,31,31,31,31,V,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31.000000000000,31.000000000000,1986-10-13 17:21:33.000000,H,I,F,2001-04-24 16:18:59.000000,S,K,E
2022-01-23 18:52:06.000000,1997-11-11,32,32,32,32,32,32,32,S,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32.000000000000,32.000000000000,1984-06-09 15:36:31.000000,C,B,B,2010-10-22 12:34:18.000000,E,U,S
2022-01-23 10:36:23.000000,2019-04-01,33,33,33,33,33,33,33,U,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33.000000000000,33.000000000000,2014-11-29 23:07:04.000000,N,G,S,2006-07-13 01:26:41.000000,P,T,G
1971-10-23 15:41:09.000000,2017-05-11,34,34,34,34,34,34,34,L,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.000000000000,34.000000000000,1995-05-10 22:23:38.000000,I,C,S,2002-11-29 10:11:20.000000,B,B,B
2004-09-17 07:12:04.000000,1987-09-03,35,35,35,35,35,35,35,V,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35.000000000000,35.000000000000,1997-08-20 18:07:21.000000,T,B,C,1977-11-05 20:26:45.000000,L,C,C
1981-10-03 21:40:46.000000,1974-01-11,36,36,36,36,36,36,36,D,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36.000000000000,36.000000000000,2000-11-26 01:13:10.000000,B,A,T,2004-09-01 04:38:40.000000,E,S,K
2013-03-23 16:25:11.000000,2003-04-29,37,37,37,37,37,37,37,S,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37.000000000000,37.000000000000,1977-04-14 12:34:47.000000,U,Q,U,1992-11-24 17:00:33.000000,L,V,W
2002-06-24 13:12:33.000000,2005-12-12,38,38,38,38,38,38,38,E,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38.000000000000,38.000000000000,1970-09-16 19:48:46.000000,Y,H,B,1979-01-31 00:50:57.000000,L,B,V
2003-06-27 04:51:56.000000,2011-09-02,39,39,39,39,39,39,39,A,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39.000000000000,39.000000000000,2015-12-06 13:15:15.000000,R,M,B,1991-01-25 03:34:24.000000,S,H,C
1977-08-05 19:50:30.000000,1996-11-13,40,40,40,40,40,40,40,M,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40.000000000000,40.000000000000,1997-08-28 14:01:26.000000,M,N,K,2001-04-21 22:31:24.000000,L,K,I
1986-06-29 11:31:05.000000,2002-03-04,41,41,41,41,41,41,41,Z,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41.000000000000,41.000000000000,1975-11-15 05:32:20.000000,M,I,T,1993-06-09 09:34:26.000000,L,T,M
1978-07-18 12:17:09.000000,1984-05-14,42,42,42,42,42,42,42,S,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42.000000000000,42.000000000000,1975-06-20 06:01:04.000000,U,H,K,1991-04-11 18:04:48.000000,V,T,L
2012-08-08 11:03:16.000000,1988-03-06,43,43,43,43,43,43,43,Q,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43.000000000000,43.000000000000,1997-06-27 04:14:04.000000,E,S,C,2008-03-24 00:52:54.000000,G,A,I
1974-01-29 02:42:18.000000,1977-09-17,44,44,44,44,44,44,44,I,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44.000000000000,44.000000000000,2017-04-11 02:50:44.000000,U,S,A,2005-06-22 20:59:29.000000,P,S,L
1986-01-23 06:55:13.000000,2009-05-12,45,45,45,45,45,45,45,T,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45.000000000000,45.000000000000,1997-02-24 15:13:12.000000,C,V,E,2014-12-09 03:08:15.000000,L,B,R
2015-09-02 17:26:44.000000,2014-07-08,46,46,46,46,46,46,46,I,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46.000000000000,46.000000000000,2016-12-04 21:15:20.000000,M,T,M,1996-11-29 09:19:52.000000,M,I,S
2010-05-03 07:04:00.000000,1991-10-29,47,47,47,47,47,47,47,S,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47.000000000000,47.000000000000,2015-09-13 06:32:47.000000,M,J,C,1977-12-07 08:57:16.000000,Z,T,K
2011-08-05 22:54:02.000000,2009-01-12,48,48,48,48,48,48,48,T,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48.000000000000,48.000000000000,1980-01-31 10:36:35.000000,B,A,R,2016-11-16 06:20:28.000000,G,S,S
1972-05-30 19:34:23.000000,1982-05-12,49,49,49,49,49,49,49,S,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49.000000000000,49.000000000000,2012-11-02 18:43:21.000000,G,H,S,1983-05-06 16:52:46.000000,C,G,T
2006-03-16 23:40:15.000000,1995-09-19,50,50,50,50,50,50,50,S,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50.000000000000,50.000000000000,2022-05-01 02:31:37.000000,P,M,A,1991-07-23 00:21:26.000000,J,C,M
1989-07-04 23:03:05.000000,2023-02-05,51,51,51,51,51,51,51,M,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51.000000000000,51.000000000000,2004-03-24 03:00:34.000000,B,N,F,2000-08-07 19:57:10.000000,E,A,B
1995-09-26 17:31:32.000000,2003-05-01,52,52,52,52,52,52,52,G,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52.000000000000,52.000000000000,1980-04-08 17:30:59.000000,E,J,L,1992-10-31 22:25:15.000000,G,D,B
