dh_sys,id_ds_vrs,cd_evn,dh_evn,lb_folder,dt_time_id,dt_bal_adj,cd_version_type,lb_version_type,lb_description,dt_run,yn_delete,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1973-12-24 03:21:42.000000,0,0,2002-08-13 20:13:05.000000,N,S,R,A,T,N,1990-05-25,N,1978-05-08 23:46:59.000000,J,T,G,1981-11-04 15:48:40.000000,U,G,E
2010-10-19 07:22:32.000000,1,1,2016-04-08 20:14:07.000000,P,E,L,D,E,M,1995-04-15,B,2017-01-22 11:42:14.000000,T,P,E,1970-05-04 18:03:58.000000,E,G,U
1976-01-08 23:17:16.000000,2,2,1974-07-20 23:10:58.000000,L,M,U,J,T,M,1995-11-19,C,1993-03-09 14:38:24.000000,T,S,M,2022-11-16 16:56:56.000000,S,C,C
1994-04-16 15:50:36.000000,3,3,1976-02-29 12:26:49.000000,T,Z,N,G,S,E,2007-07-22,K,1999-07-07 02:11:50.000000,B,S,K,1975-07-25 17:53:18.000000,S,A,D
1986-09-25 06:32:44.000000,4,4,2021-08-06 18:10:42.000000,S,S,F,J,N,D,1971-01-29,R,1983-04-07 08:51:26.000000,T,C,K,2014-12-18 08:29:12.000000,S,D,T
2022-04-19 21:30:07.000000,5,5,1979-05-09 14:40:31.000000,C,A,I,A,M,P,1981-01-11,N,1975-10-28 15:12:57.000000,I,S,M,1982-09-30 23:06:01.000000,S,T,H
1972-10-18 03:53:42.000000,6,6,1978-10-17 08:10:15.000000,B,K,S,B,R,L,2018-01-19,V,1991-01-08 05:46:49.000000,S,K,L,2018-07-19 09:46:28.000000,M,G,N
2018-10-03 02:40:43.000000,7,7,1992-05-08 06:10:42.000000,S,P,P,L,A,T,1972-05-11,K,1993-04-03 15:25:25.000000,R,T,S,1984-06-02 11:52:30.000000,M,M,K
1982-05-24 21:32:28.000000,8,8,1982-01-16 11:35:27.000000,G,M,G,B,A,L,2001-12-28,P,2004-01-10 01:56:56.000000,C,L,C,1972-02-13 18:56:33.000000,C,M,B
2011-02-20 03:56:02.000000,9,9,1992-07-03 16:25:00.000000,G,G,A,G,C,V,2020-10-19,A,2003-09-16 07:43:42.000000,T,M,L,2015-08-14 18:42:47.000000,B,C,M
2015-10-22 14:33:23.000000,10,10,2007-11-10 07:56:13.000000,B,D,C,I,C,G,1979-11-15,A,1996-05-21 22:26:50.000000,G,V,R,1974-05-30 12:54:48.000000,H,U,D
1998-01-07 02:57:19.000000,11,11,2015-05-01 23:42:09.000000,E,E,B,B,M,K,1970-04-03,D,1994-03-06 06:39:34.000000,C,K,U,2005-09-15 00:22:19.000000,H,M,P
1974-06-04 22:49:42.000000,12,12,1979-07-15 19:42:59.000000,A,K,L,I,Q,T,2002-07-29,H,1983-01-23 08:20:03.000000,S,Q,P,2009-10-23 16:20:18.000000,S,M,S
1979-04-05 19:38:45.000000,13,13,1976-09-16 13:21:08.000000,J,E,B,S,C,N,1995-01-22,U,2022-10-22 20:19:34.000000,M,S,L,2011-05-20 13:56:02.000000,P,S,G
