rk,is_new_month,is_new_week,is_new_year,cont_nr,ref_date,twrr_net_dly,twrr_net_wtd,twrr_net_mtd,twrr_net_ytd
0,0,0,0,T,L,,,,
1,1,1,1,Z,L,,,,
2,2,2,2,K,G,,,,
3,3,3,3,A,J,,,,
4,4,4,4,B,O,,,,
5,5,5,5,E,A,,,,
6,6,6,6,T,K,,,,
7,7,7,7,N,G,,,,
8,8,8,8,S,D,,,,
9,9,9,9,B,G,,,,
10,10,10,10,S,N,,,,
11,11,11,11,T,T,,,,
12,12,12,12,M,I,,,,
13,13,13,13,G,T,,,,
14,14,14,14,B,T,,,,
15,15,15,15,U,C,,,,
16,16,16,16,S,V,,,,
17,17,17,17,Z,G,,,,
18,18,18,18,N,A,,,,
19,19,19,19,B,T,,,,
20,20,20,20,G,U,,,,
21,21,21,21,M,G,,,,
22,22,22,22,E,I,,,,
23,23,23,23,B,C,,,,
24,24,24,24,D,K,,,,
25,25,25,25,C,M,,,,
26,26,26,26,L,S,,,,
27,27,27,27,G,Z,,,,
28,28,28,28,T,L,,,,
29,29,29,29,M,L,,,,
30,30,30,30,M,G,,,,
31,31,31,31,U,N,,,,
32,32,32,32,T,K,,,,
33,33,33,33,D,L,,,,
34,34,34,34,G,P,,,,
35,35,35,35,I,A,,,,
36,36,36,36,S,L,,,,
37,37,37,37,T,D,,,,
38,38,38,38,G,S,,,,
39,39,39,39,M,P,,,,
40,40,40,40,M,U,,,,
41,41,41,41,N,B,,,,
42,42,42,42,E,P,,,,
43,43,43,43,S,S,,,,
44,44,44,44,B,C,,,,
45,45,45,45,C,I,,,,
46,46,46,46,D,P,,,,
47,47,47,47,M,D,,,,
48,48,48,48,Z,M,,,,
49,49,49,49,A,G,,,,
50,50,50,50,S,B,,,,
51,51,51,51,E,K,,,,
52,52,52,52,C,A,,,,
53,53,53,53,S,T,,,,
54,54,54,54,U,U,,,,
55,55,55,55,R,W,,,,
56,56,56,56,E,B,,,,
57,57,57,57,M,P,,,,
58,58,58,58,S,I,,,,
59,59,59,59,I,L,,,,
60,60,60,60,K,S,,,,
61,61,61,61,T,B,,,,
62,62,62,62,H,E,,,,
63,63,63,63,Z,M,,,,
64,64,64,64,C,M,,,,
65,65,65,65,V,E,,,,
66,66,66,66,P,K,,,,
67,67,67,67,F,B,,,,
68,68,68,68,L,E,,,,
69,69,69,69,V,J,,,,
70,70,70,70,P,C,,,,
71,71,71,71,R,J,,,,
72,72,72,72,J,D,,,,
73,73,73,73,L,U,,,,
74,74,74,74,B,M,,,,
75,75,75,75,M,S,,,,
76,76,76,76,M,M,,,,
77,77,77,77,G,H,,,,
78,78,78,78,N,E,,,,
79,79,79,79,T,S,,,,
80,80,80,80,K,J,,,,
81,81,81,81,U,E,,,,
82,82,82,82,E,I,,,,
83,83,83,83,S,T,,,,
84,84,84,84,E,M,,,,
85,85,85,85,R,S,,,,
86,86,86,86,T,B,,,,
87,87,87,87,N,E,,,,
88,88,88,88,A,A,,,,
89,89,89,89,B,C,,,,
90,90,90,90,M,T,,,,
91,91,91,91,C,O,,,,
92,92,92,92,C,D,,,,
93,93,93,93,V,P,,,,
94,94,94,94,K,S,,,,
95,95,95,95,L,C,,,,
96,96,96,96,P,A,,,,
97,97,97,97,P,M,,,,
98,98,98,98,H,G,,,,
99,99,99,99,I,G,,,,
-1848905207,866435122,991209650,-1711082293,"Blue drop seven everyone forget. They hear bit others find surface.
Assume pretty wrong leader repor",Keep hap,0.0,0.0,0.0,0.0
475248298,-580495980,-1998344871,-1887847758,"Point require have professor story enjoy. Action which peace.
Dinner structure figure force history.",Hospital,0.5624470585721849,0.9255200502378004,0.03523457291171961,0.300281128698202
695775994,-280897154,1503607368,789114634,"Challenge all fast need determine hear certain seem. Return themselves health pick paper.
Coach read",But poor,1.0484210691960587,1.4920984041890142,0.18739042747688028,1.3158812637608577
841819525,-2145042491,812605554,1467739824,"Research stuff notice once Democrat. Program large each.
Miss spend direction home building dog cent",Tree loo,1.4795632968820631,0.5820601144974408,0.034909812393758344,2.3017201220334544
-608633239,-728743237,-230666839,1828537039,Instead feeling door. Big support easy commercial buy theory. Much tonight campaign put daughter the,Law audi,0.17955595697276783,1.472399992301645,1.8658147283917819,3.8541983195943725
-919788234,-261728148,1872057674,1826782489,To home phone compare. Finally born me interesting yourself event. Popular friend herself movement a,Four mee,2.5973394902191,1.2364754462405099,4.08501133161434,0.4832424470368868
14723922,-128183913,1750936370,911233167,Subject fall themselves reveal almost. Organization get machine open nothing. Doctor boy sort put tw,Us relat,2.779585399735572,4.558424055321488,3.0720292945376366,1.7978232577735003
1746640557,1596644062,1167033318,491835315,For my fact sport future contain. Itself send let pick guy expect others. Grow culture leg strong ha,Name qui,3.57025214878899,5.120500570390685,5.796802246082681,0.6295121022352363
-232282901,1405291743,825143451,234222163,Too two her quite. Politics reason heavy reality performance poor choose. Condition realize share cu,Magazine,0.981542144704755,2.673710273958214,2.4414865582305065,1.5984029014872299
1183070367,2026967065,848803169,-674317234,"Better usually thank. Set cover movie yet manager yourself.
Environmental popular actually produce e",Worker t,1.5062482339913075,2.1652173706894207,3.701786299124606,5.352371655009219
-2101947021,-1694322150,1369634652,632612845,Subject far gun draw heart value. Per speech on baby energy ground. Hand for indeed if age explain s,Carry sc,8.30564064782833,2.342360048452017,1.2704911573256938,3.7834899943713483
-1326489520,-1839464020,1910165256,-1009888473,"Know report financial mention. Friend game significant television share rule.
Fall reach if stock be",Police m,0.6255532603422478,1.9375957644231847,0.4516819336989214,2.019222911644135
-568475162,-465339560,529112454,1949478084,"Indeed current Congress sort first tough little produce.
Writer senior resource upon.
Make have exis",Environm,10.414028248748117,11.341781936259538,1.628128354497779,2.6423825674503783
760327611,1466496258,-1182362207,1190900747,"These own record language sure take outside. Own maybe a evidence sing rich price.
Account night col",Else fee,11.878135163779948,6.749253027947272,2.7452842264948276,5.938375336246397
-1671022823,1650408799,-1896550486,-1395764536,Leg serious police clearly three. Congress business manager worker. Democratic whom respond agree te,Large my,8.95122341120681,7.8049311032916675,2.2153191016432965,8.59812472436711
-1318113464,897277106,1550888857,-564288201,Success line wall crime nature herself. Road cost machine art. Data story forward exist various thro,How site,1.42690615866699,12.204522082166273,7.5985009319015955,8.439117123253508
2112992733,1837921828,-1294078768,-1755011545,"Necessary door source read lead special. Budget anything each.
Town age always offer cause me so. Si",Step los,3.282862417011307,12.545005197508734,6.939627980928087,4.179056695831644
-709745985,1883625879,746929078,1445478990,"Father risk however picture get.
Center society safe read feeling. Difference share operation recent",I along ,12.983593702691214,16.69789463003711,7.104399693978767,11.508360560748866
-1367122744,532746600,-1257141702,-2008344766,Professional short public value cold the. Religious if other happy center analysis young. Next soon ,Town whe,8.9407822348047,11.04097689179123,5.4044350815696145,17.553602832041292
2073113240,-315480764,862651208,80168044,Long lot bank. Tell answer space girl some be. Start word role wear role. Tv stop because less busin,Common s,14.61034290146104,7.3279266951717785,13.016744964043584,16.846490192726296
-1160210186,-1347207700,-1691743360,142282986,"Wrong job nice ok. Ability voice wish car team why left. Rise spend way.
Reduce manage garden tree h",Back poo,9.087164461517778,4.977643788281867,6.828816751157689,15.615966594805395
795886164,-2093269943,-1212656034,1858473096,Life husband nice television ahead. Decide together state smile. Minute carry poor left offer note m,Citizen ,15.830121385441949,15.894912738618121,14.19416237569438,6.143058613786364
934964498,-1779124799,-532883386,396514022,"Nice before air method. Activity just career discuss year.
Very way model happy many. Building many ",Availabl,8.061406965059815,9.731879277554405,10.462912673139897,21.609248208029317
-413809460,1909031346,-64021668,-934622569,Reach manage manager parent service game result. Himself last whether majority positive. Talk drug w,Operatio,10.062550841023194,22.58389849217093,1.9354962018317428,5.368766585101967
1938463683,972729271,303500788,2089435540,"Meet school whose left physical. Admit poor civil street imagine father.
Number newspaper prove add ",Quite ac,17.509410697997872,2.7104238351534216,17.1034287954663,1.3812963506580225
1310922984,-1367439688,82066119,-1650082929,"Run later cup recently.
Indicate amount investment up traditional west. Improve produce rest choice ",Station ,5.1973126301996135,11.633251175737374,1.8792971909492084,4.633954221377265
1465906697,1859156840,-1060160768,1796261352,Across some stop receive from of story. Husband report need serious lawyer.,Difficul,15.089340034432432,20.315719816437262,0.10916323505635406,3.5107068804162536
-1199121682,988928718,-1020307939,-541883969,"Morning well foreign.
Animal economic age music site. Seven never total inside in. Relationship gene",Thus bed,7.0303180391415845,20.921320788072716,4.789349261604285,18.427722511384452
-1640827811,-1076772280,466963613,-1573035908,Old ability decision science stop culture human. Partner whose available where bag. Rest show her si,Spring p,27.778660153750604,17.687377304210035,9.55243975764393,26.707162301871662
-1940442323,-154586178,-245859132,1463024763,"Tree father writer dinner claim college dark. North add onto establish long.
Chair perhaps recognize",Keep if ,17.161163515572582,12.679603129426006,9.066161784994234,0.29009820687422616
-96855147,-424232347,1129261205,90798637,Yet practice those position line employee. Involve black paper enjoy lose police blue. Many differen,Trouble ,1.4117202096726944,27.386968689820797,11.272312299440623,24.960117264208602
-2074059027,-1225696665,1409716998,-228551439,Experience property who life loss. Ok send it song also. Themselves put response executive visit cou,Far yet ,1.1524448402696965,9.835865582931746,14.416216653954281,8.988914398215872
-354547238,725580496,222673125,-77190382,"Measure perform behind perhaps.
Social stage guy. Head just detail organization statement idea. Main",City the,9.073657663041878,5.274254995102005,18.043851138012073,14.392059156290639
1580072893,-1614569738,1390275008,-495426661,"Air skin player. The child wish suddenly agent.
Quality from book happen owner against consumer. Wro",Stage di,30.871430498086077,7.806236587527659,0.6795403278163221,0.7131086855378637
-1576575427,-956994105,1730492035,1491980829,Like forward computer nice fly produce doctor clearly. Edge sense everybody prove order life. Confer,Whole li,11.787620049524081,7.192237519732538,6.921198212356376,16.73784469359428
1269808639,-1454736533,-489396969,1987253236,Dinner government officer nor score traditional week girl. Bad huge fight late ground continue leg. ,Civil sh,16.64782651281628,19.304008664795642,27.22079473346519,13.705643830352091
-1094162696,-358269612,688690779,-653087762,Party father argue make. Management both certainly leave author moment. Shoulder there thing thus ma,Value to,16.356052609761807,20.90841413871752,20.13279815608467,17.1290716546505
-1961180693,899414257,-423169420,267975284,"Down case who true. Point stage attack whether.
Agree hope see fish. Hand main note own tough total ",Morning ,36.31815046102194,2.1026977587646702,14.241116775517506,13.299405223327668
88715978,-2029207823,1160238834,-909756101,Forward develop those accept benefit imagine. Model property number firm at. Better pattern standard,Cut hit ,14.013235457297998,12.658252534177395,22.314138433549992,36.68480003101534
-236418324,-1932372195,-409214638,296942726,"Allow story just production.
Particular citizen beat. Certain technology wonder several forget attor",Attorney,35.70912266173584,7.688080626233996,25.700287114979698,23.445203490661306
