rk,is_new_month,is_new_week,is_new_year,cont_nr,ref_date,twrr_net_dly
0,0,0,0,S,J,
1,1,1,1,B,H,
2,2,2,2,I,L,
3,3,3,3,F,K,
4,4,4,4,I,S,
5,5,5,5,E,J,
6,6,6,6,M,U,
7,7,7,7,T,D,
8,8,8,8,H,C,
9,9,9,9,L,C,
10,10,10,10,S,E,
11,11,11,11,S,H,
12,12,12,12,A,M,
13,13,13,13,N,S,
14,14,14,14,W,A,
15,15,15,15,M,S,
16,16,16,16,R,P,
17,17,17,17,M,C,
18,18,18,18,C,S,
19,19,19,19,H,T,
20,20,20,20,T,M,
21,21,21,21,A,M,
22,22,22,22,B,P,
23,23,23,23,L,S,
24,24,24,24,E,C,
25,25,25,25,D,S,
26,26,26,26,G,I,
27,27,27,27,S,H,
28,28,28,28,C,L,
29,29,29,29,M,K,
30,30,30,30,K,L,
31,31,31,31,C,H,
32,32,32,32,B,M,
33,33,33,33,Z,G,
34,34,34,34,I,L,
35,35,35,35,K,U,
36,36,36,36,C,S,
37,37,37,37,G,B,
38,38,38,38,A,N,
39,39,39,39,M,M,
40,40,40,40,R,B,
41,41,41,41,P,K,
42,42,42,42,I,S,
43,43,43,43,Q,I,
44,44,44,44,T,A,
45,45,45,45,T,M,
46,46,46,46,M,O,
47,47,47,47,P,I,
48,48,48,48,G,G,
49,49,49,49,L,S,
50,50,50,50,T,C,
51,51,51,51,S,C,
52,52,52,52,T,V,
53,53,53,53,O,N,
54,54,54,54,K,K,
55,55,55,55,A,T,
56,56,56,56,T,R,
57,57,57,57,S,C,
58,58,58,58,M,R,
59,59,59,59,B,T,
60,60,60,60,L,P,
61,61,61,61,I,K,
62,62,62,62,G,M,
63,63,63,63,D,K,
64,64,64,64,S,B,
65,65,65,65,T,S,
66,66,66,66,F,C,
67,67,67,67,S,M,
68,68,68,68,T,T,
69,69,69,69,T,P,
70,70,70,70,T,A,
71,71,71,71,A,Y,
72,72,72,72,G,K,
73,73,73,73,I,T,
74,74,74,74,G,L,
75,75,75,75,C,S,
76,76,76,76,B,M,
77,77,77,77,M,M,
78,78,78,78,L,D,
79,79,79,79,M,Z,
80,80,80,80,P,H,
81,81,81,81,G,C,
82,82,82,82,S,Z,
83,83,83,83,G,T,
84,84,84,84,N,C,
85,85,85,85,O,G,
86,86,86,86,H,N,
87,87,87,87,G,E,
88,88,88,88,O,B,
89,89,89,89,S,S,
90,90,90,90,V,C,
91,91,91,91,J,S,
92,92,92,92,B,F,
93,93,93,93,C,M,
94,94,94,94,E,A,
95,95,95,95,C,B,
96,96,96,96,T,K,
