dh_sys,id_ds_vrs,cd_evn,dh_evn,pos_id,name,sort_nr,sort_alpha,ref_date,curr_price,curr_price_curry,curr_price_quote_type,curr_val_pos,curr_pos_ref_curry,curr_val_ref,curr_val_ref_curry,curr_val_bu,accr_pos,accr_comm_pos,accr_ref,accr_comm_ref,accr_bu,accr_comm_bu,curr_price_xrate,curr_xrate,qty,maturity,open_date,close_date,asset_id,asset_isin,asset_tkn,asset_name,asset_type_id,asset_type,ass_group_intl_id,ass_group,asset_option_type_id,asset_option_type,asset_price,asset_eval_date,contr_size,asset_intr_rate,bp_id,bp_name,bp_sort_nr,bp_sort_alpha,bu_id,bu_name,bu_sort_nr,bu_sort_alpha,cont_id,cont_name,cont_sort_nr,cont_sort_alpha,undrly_id,strike,pos_typ_id,pos_typ,ass_par_val,dflt_cont_nr,is_limit,time_id,pos_twrr_perf,cust_bp_id,cust_cont_id,cred_intr_rate,deb_intr_rate,hist_price_pos,hist_price_ref,issue_price,hist_xrate,ytm,duration,root_pos_id,hist_val_pos,hist_val_ref,dh_uti_cre,lb_uti_cre,lb_wkf_cre,lb_ses_cre,dh_uti_upd,lb_uti_upd,lb_wkf_upd,lb_ses_upd
1993-05-22 17:24:23.000000,0,0,1985-06-25 09:18:28.000000,0,T,M,S,2001-01-29 11:42:41.000000,0.000000000000,T,E,0.0000000,C,0.0000000,S,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.00000000000000000000,0.00000000000000000000,0.0000000,1978-10-23 15:49:32.000000,2000-02-14 20:43:11.000000,2003-01-10 20:40:56.000000,0,K,T,L,T,K,B,M,N,T,0.000000000000,2011-12-16 12:54:33.000000,0.0000000,0.00000000000000000000,0,C,0.0000000,J,0,S,0.0000000,F,0,N,0.0000000,N,0,0.0000000,0,N,0.0000000,U,M,M,0.0000000,0,0,0.00000000000000000000,0.00000000000000000000,0.000000000000,0.000000000000,0.000000000000,U,K,C,0,0.0000000,0.0000000,2002-01-14 00:46:11.000000,G,T,V,1990-02-12 06:01:44.000000,G,Y,D
1976-02-05 03:50:16.000000,1,1,2002-05-08 16:23:59.000000,1,P,R,N,2016-04-02 00:20:59.000000,1.000000000000,I,B,1.0000000,M,1.0000000,G,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.00000000000000000000,1.00000000000000000000,1.0000000,1977-07-04 00:58:04.000000,1990-12-25 04:47:19.000000,1974-04-17 06:01:26.000000,1,G,K,E,P,M,K,V,M,A,1.000000000000,2016-05-18 04:00:49.000000,1.0000000,1.00000000000000000000,1,F,1.0000000,S,1,L,1.0000000,N,1,I,1.0000000,B,1,1.0000000,1,C,1.0000000,T,M,L,1.0000000,1,1,1.00000000000000000000,1.00000000000000000000,1.000000000000,1.000000000000,1.000000000000,T,A,C,1,1.0000000,1.0000000,1996-04-27 20:11:12.000000,L,K,M,2001-05-05 05:34:05.000000,C,S,S
2008-03-25 12:46:29.000000,2,2,1998-06-13 06:04:14.000000,2,S,L,C,1982-06-19 02:43:32.000000,2.000000000000,A,M,2.0000000,V,2.0000000,R,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.00000000000000000000,2.00000000000000000000,2.0000000,1971-02-26 16:26:14.000000,1996-03-25 03:14:23.000000,2014-09-06 19:50:26.000000,2,P,B,Q,G,S,J,D,M,M,2.000000000000,1998-10-22 09:24:07.000000,2.0000000,2.00000000000000000000,2,M,2.0000000,L,2,J,2.0000000,G,2,B,2.0000000,A,2,2.0000000,2,E,2.0000000,S,P,B,2.0000000,2,2,2.00000000000000000000,2.00000000000000000000,2.000000000000,2.000000000000,2.000000000000,B,G,S,2,2.0000000,2.0000000,1976-05-23 03:22:53.000000,I,J,B,2008-08-16 22:03:30.000000,B,B,I
1994-03-22 03:28:37.000000,3,3,2014-06-02 06:57:40.000000,3,C,D,M,2003-01-27 04:40:34.000000,3.000000000000,G,Z,3.0000000,C,3.0000000,D,3.0000000,3.0000000,3.0000000,3.0000000,3.0000000,3.0000000,3.0000000,3.00000000000000000000,3.00000000000000000000,3.0000000,2010-04-02 04:44:22.000000,1998-06-13 18:32:40.000000,2013-10-11 06:08:56.000000,3,T,V,M,I,A,M,Z,S,B,3.000000000000,2021-05-10 22:10:13.000000,3.0000000,3.00000000000000000000,3,S,3.0000000,L,3,C,3.0000000,T,3,N,3.0000000,C,3,3.0000000,3,P,3.0000000,C,K,G,3.0000000,3,3,3.00000000000000000000,3.00000000000000000000,3.000000000000,3.000000000000,3.000000000000,F,C,M,3,3.0000000,3.0000000,1978-07-13 20:50:04.000000,V,V,V,1999-04-21 09:51:57.000000,B,T,C
1974-02-08 19:46:35.000000,4,4,1983-03-20 02:53:32.000000,4,A,L,U,1998-01-05 15:52:39.000000,4.000000000000,G,L,4.0000000,P,4.0000000,N,4.0000000,4.0000000,4.0000000,4.0000000,4.0000000,4.0000000,4.0000000,4.00000000000000000000,4.00000000000000000000,4.0000000,2010-05-18 15:50:01.000000,2012-08-19 13:48:24.000000,2011-06-14 03:50:02.000000,4,L,S,P,L,C,B,Z,I,N,4.000000000000,2003-06-13 00:03:15.000000,4.0000000,4.00000000000000000000,4,K,4.0000000,R,4,T,4.0000000,N,4,C,4.0000000,T,4,4.0000000,4,I,4.0000000,T,B,M,4.0000000,4,4,4.00000000000000000000,4.00000000000000000000,4.000000000000,4.000000000000,4.000000000000,K,E,S,4,4.0000000,4.0000000,1990-06-04 10:58:31.000000,M,B,K,2022-04-29 01:12:43.000000,C,T,G
2016-06-13 00:19:37.000000,5,5,1991-09-16 08:52:37.000000,5,C,S,N,2003-02-27 11:17:31.000000,5.000000000000,G,B,5.0000000,S,5.0000000,G,5.0000000,5.0000000,5.0000000,5.0000000,5.0000000,5.0000000,5.0000000,5.00000000000000000000,5.00000000000000000000,5.0000000,1993-03-25 23:52:19.000000,1999-08-03 06:15:50.000000,2009-01-30 15:52:42.000000,5,M,C,L,H,P,M,M,M,C,5.000000000000,1978-10-03 17:47:08.000000,5.0000000,5.00000000000000000000,5,S,5.0000000,T,5,S,5.0000000,R,5,K,5.0000000,R,5,5.0000000,5,D,5.0000000,C,H,H,5.0000000,5,5,5.00000000000000000000,5.00000000000000000000,5.000000000000,5.000000000000,5.000000000000,K,N,N,5,5.0000000,5.0000000,2022-06-07 23:50:30.000000,C,G,Z,1986-02-17 17:56:43.000000,I,B,P
1996-11-15 19:17:02.000000,6,6,2011-12-24 20:05:02.000000,6,E,G,S,2015-10-12 09:41:49.000000,6.000000000000,C,V,6.0000000,P,6.0000000,G,6.0000000,6.0000000,6.0000000,6.0000000,6.0000000,6.0000000,6.0000000,6.00000000000000000000,6.00000000000000000000,6.0000000,1974-07-05 22:11:13.000000,1992-03-15 11:51:47.000000,1971-02-14 08:16:30.000000,6,P,D,M,P,I,I,N,S,I,6.000000000000,2003-03-19 00:00:30.000000,6.0000000,6.00000000000000000000,6,C,6.0000000,B,6,N,6.0000000,M,6,U,6.0000000,M,6,6.0000000,6,T,6.0000000,P,B,F,6.0000000,6,6,6.00000000000000000000,6.00000000000000000000,6.000000000000,6.000000000000,6.000000000000,C,S,M,6,6.0000000,6.0000000,2002-07-24 05:55:21.000000,J,S,R,2015-02-04 02:31:38.000000,C,G,Z
1971-11-22 18:41:16.000000,7,7,2013-04-11 08:33:29.000000,7,T,M,C,2006-05-17 13:31:39.000000,7.000000000000,S,M,7.0000000,Z,7.0000000,D,7.0000000,7.0000000,7.0000000,7.0000000,7.0000000,7.0000000,7.0000000,7.00000000000000000000,7.00000000000000000000,7.0000000,2014-11-15 04:05:45.000000,1971-03-09 06:52:55.000000,2004-06-05 02:22:54.000000,7,T,L,V,G,N,N,T,C,S,7.000000000000,1992-02-03 01:07:37.000000,7.0000000,7.00000000000000000000,7,N,7.0000000,L,7,N,7.0000000,E,7,T,7.0000000,H,7,7.0000000,7,E,7.0000000,D,C,A,7.0000000,7,7,7.00000000000000000000,7.00000000000000000000,7.000000000000,7.000000000000,7.000000000000,L,P,N,7,7.0000000,7.0000000,2003-11-16 01:38:42.000000,E,C,P,1996-04-11 08:13:46.000000,L,G,B
2012-06-20 23:07:00.000000,8,8,1990-12-26 19:02:43.000000,8,C,D,G,1992-08-28 21:22:01.000000,8.000000000000,C,S,8.0000000,L,8.0000000,Y,8.0000000,8.0000000,8.0000000,8.0000000,8.0000000,8.0000000,8.0000000,8.00000000000000000000,8.00000000000000000000,8.0000000,2020-05-04 09:37:46.000000,1985-12-01 13:33:24.000000,2000-03-01 04:45:35.000000,8,R,M,S,G,U,C,J,T,G,8.000000000000,2001-09-04 00:01:55.000000,8.0000000,8.00000000000000000000,8,V,8.0000000,B,8,A,8.0000000,S,8,B,8.0000000,K,8,8.0000000,8,B,8.0000000,N,N,E,8.0000000,8,8,8.00000000000000000000,8.00000000000000000000,8.000000000000,8.000000000000,8.000000000000,T,S,M,8,8.0000000,8.0000000,2017-02-03 18:52:02.000000,G,A,A,2015-12-25 20:30:59.000000,V,C,N
2013-01-22 08:23:37.000000,9,9,1981-10-29 12:30:11.000000,9,L,K,R,1993-09-04 18:32:28.000000,9.000000000000,S,F,9.0000000,I,9.0000000,S,9.0000000,9.0000000,9.0000000,9.0000000,9.0000000,9.0000000,9.0000000,9.00000000000000000000,9.00000000000000000000,9.0000000,1996-07-18 04:03:18.000000,1994-09-10 02:40:11.000000,1999-01-13 10:48:07.000000,9,T,P,M,S,S,L,T,T,A,9.000000000000,2020-09-05 10:01:32.000000,9.0000000,9.00000000000000000000,9,K,9.0000000,E,9,M,9.0000000,T,9,M,9.0000000,B,9,9.0000000,9,N,9.0000000,P,L,K,9.0000000,9,9,9.00000000000000000000,9.00000000000000000000,9.000000000000,9.000000000000,9.000000000000,L,G,V,9,9.0000000,9.0000000,1980-05-28 08:18:47.000000,C,F,L,2014-03-18 14:28:20.000000,S,C,E
