source_database,source_schema,source_table,target_database,target_schema,target_table,excluded_columns
RBEL_ADS002_C3_SHADOW,RBEL_ADMIN,DS1_BSM_POSITIONS_EOM,edr_poc,rbel_admin,ds1_bsm_positions_eom,
RBEL_ADS002_C3_SHADOW,RBEL_ADMIN,TEC_DSF_EOM_VRS,edr_poc,rbel_admin,tec_dsf_eom_vrs,
RFRA_ADS002_C3_SHADOW,RFRA_ADMIN,DS1_BSM_POSITIONS_EOM,edr_poc,rfra_admin,ds1_bsm_positions_eom,
RFRA_ADS002_C3_SHADOW,RFRA_ADMIN,TEC_DSF_EOM_VRS,edr_poc,rfra_admin,tec_dsf_eom_vrs,
RGRP_MASFIN002_C3_SHADOW,RGRP_ADMIN,DS1_MFI_MF_DWH2_DBREC,edr_poc,rgrp_admin,ds1_mfi_mf_dwh2_dbrec,
RGRP_MASFIN002_C3_SHADOW,RGRP_ADMIN,DS1_MFI_MF_DWH_DBREC,edr_poc,rgrp_admin,ds1_mfi_mf_dwh_dbrec,
RGRP_MASFIN002_C3_SHADOW,RGRP_ADMIN,DS1_MFI_MF_DWH_EXTENSION_DBREC,edr_poc,rgrp_admin,ds1_mfi_mf_dwh_extension_dbrec,
RGRP_MASFIN002_C3_SHADOW,RGRP_ADMIN,DS1_MFI_MF_DWH_INSTRUMENT_DATA_DBREC,edr_poc,rgrp_admin,ds1_mfi_mf_dwh_instrument_data_dbrec,
RGRP_MASFIN002_C3_SHADOW,RGRP_ADMIN,DS1_XT_SDM_CAT_POS_CHANGE_MF,edr_poc,rgrp_admin,ds1_xt_sdm_cat_pos_change_mf,
RGRP_MASFIN002_C3_SHADOW,RGRP_ADMIN,DSF_MFI_POSITIONS,edr_poc,rgrp_admin,dsf_mfi_positions,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,MET_PFM_POS_INDICATORS,edr_poc,rgva_admin,met_pfm_pos_indicators,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,TEC_DSF_EOM_VRS,edr_poc,rgva_admin,tec_dsf_eom_vrs,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,TMP_PERF_CUMUL_TER,edr_poc,rgva_admin,tmp_perf_cumul_ter,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,TMP_PERF_DLY_TER,edr_poc,rgva_admin,tmp_perf_dly_ter,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_CODE,edr_poc,rgva_admin,ds1_bsm_code,
RGVA_ADS002_C3_SHADOW,RGVA_ADMIN,DS1_BSM_CONTAINER,edr_poc,rgva_admin,ds1_bsm_container,
